onset	duration	trial_type	stim	stimulus_side	sub
3.1	5	1_inacc	c14.jpg	2	105
13	5	5_inacc	c17.jpg	1	105
23.7	5	5_acc	c21.jpg	2	105
30.8	5	1_inacc	c7.jpg	2	105
41.8	5	1_acc	c5.jpg	2	105
49.6	5	5_inacc	c2.jpg	1	105
59.9	5	5_inacc	c19.jpg	2	105
69.5	5	5_inacc	c10.jpg	2	105
78.4	5	5_inacc	c6.jpg	2	105
87.6	5	1_acc	c24.jpg	1	105
97.2	5	1_acc	c12.jpg	2	105
105.3	5	1_inacc	c15.jpg	2	105
113.8	5	1_acc	c23.jpg	1	105
123.1	5	1_inacc	c4.jpg	1	105
133.7	5	5_inacc	c13.jpg	2	105
141.2	5	5_inacc	c1.jpg	1	105
149.7	5	5_inacc	c18.jpg	1	105
157.5	5	1_acc	c20.jpg	1	105
166.3	5	5_inacc	c8.jpg	1	105
176.3	5	5_acc	c11.jpg	2	105
184.4	5	5_inacc	c16.jpg	1	105
195.5	5	1_acc	c9.jpg	2	105
205.8	5	1_acc	c3.jpg	1	105
212.8	5	1_acc	c22.jpg	1	105
3.08	5	1_inacc	c5.jpg	1	106
12.328	5	5_acc	c10.jpg	1	106
19.396	5	5_inacc	c1.jpg	1	106
29.371	5	1_inacc	c14.jpg	2	106
38.243	5	5_inacc	c6.jpg	2	106
45.663	5	1_acc	c23.jpg	1	106
55.276	5	1_inacc	c3.jpg	1	106
63.427	5	5_inacc	c18.jpg	2	106
73.026	5	5_acc	c11.jpg	1	106
81.538	5	1_inacc	c4.jpg	2	106
88.59	5	5_acc	c21.jpg	1	106
98.93	5	1_inacc	c12.jpg	2	106
106.341	5	5_inacc	c17.jpg	2	106
117.025	5	1_acc	c9.jpg	1	106
128.082	5	5_acc	c8.jpg	1	106
136.961	5	1_inacc	c24.jpg	2	106
146.919	5	1_inacc	c20.jpg	1	106
155.426	5	1_inacc	c22.jpg	2	106
166.111	5	5_acc	c19.jpg	2	106
173.887	5	5_acc	c13.jpg	1	106
182.05	5	5_inacc	c2.jpg	2	106
193.103	5	5_inacc	c16.jpg	2	106
202.338	5	1_inacc	c15.jpg	1	106
212.65	5	1_acc	c7.jpg	2	106
3.05	5	5_inacc	c3.jpg	2	111
10.83	5	1_inacc	c10.jpg	1	111
17.87	5	1_inacc	c8.jpg	1	111
26.74	5	1_inacc	c16.jpg	2	111
36.32	5	5_acc	c7.jpg	2	111
45.9	5	5_inacc	c5.jpg	2	111
56.58	5	5_acc	c23.jpg	2	111
67.61	5	5_acc	c24.jpg	1	111
75.02	5	5_acc	c15.jpg	1	111
83.89	5	1_acc	c21.jpg	2	111
91.3	5	5_acc	c20.jpg	1	111
100.52	5	1_acc	c17.jpg	1	111
111.56	5	1_acc	c11.jpg	2	111
119.69	5	5_acc	c14.jpg	1	111
126.73	5	1_acc	c6.jpg	1	111
137.05	5	1_acc	c13.jpg	1	111
147	5	1_inacc	c19.jpg	2	111
157.68	5	1_acc	c2.jpg	2	111
166.91	5	5_acc	c12.jpg	1	111
176.87	5	1_acc	c1.jpg	2	111
185.38	5	5_acc	c9.jpg	2	111
193.51	5	5_inacc	c4.jpg	1	111
202	5	5_inacc	c22.jpg	2	111
212.31	5	1_inacc	c18.jpg	1	111
3.03	5	5_acc	c15.jpg	1	114
13.72	5	1_inacc	c17.jpg	1	114
20.76	5	5_inacc	c14.jpg	1	114
29.28	5	1_acc	c1.jpg	2	114
38.87	5	1_inacc	c8.jpg	1	114
49.55	5	5_acc	c12.jpg	1	114
59.13	5	5_acc	c5.jpg	2	114
67.98	5	1_inacc	c11.jpg	2	114
78.29	5	1_acc	c16.jpg	1	114
86.07	5	5_acc	c3.jpg	2	114
94.21	5	1_acc	c21.jpg	1	114
103.06	5	1_acc	c10.jpg	1	114
113.01	5	5_acc	c23.jpg	2	114
122.24	5	5_inacc	c22.jpg	1	114
132.55	5	1_acc	c18.jpg	2	114
141.78	5	5_acc	c9.jpg	2	114
151.74	5	5_inacc	c7.jpg	2	114
159.51	5	1_acc	c13.jpg	2	114
167.99	5	5_acc	c4.jpg	1	114
175.03	5	5_acc	c24.jpg	2	114
