onset	duration	trial_type	response	response_time	stim	sub
49.19	6	5_acc	1	1.306143	c12.jpg	111
58.35	6	5_acc	3	1.30111	c20.jpg	111
67.14	6	1_acc	4	2.866385	c6.jpg	111
76.3	6	5_inacc	3	3.790931	c4.jpg	111
86.19	6	5_acc	2	1.129683	c9.jpg	111
97.52	6	5_acc	2	2.746267	c23.jpg	111
105.95	6	1_inacc	3	3.959694	c19.jpg	111
114.37	6	1_inacc	4	3.955819	c10.jpg	111
125.36	6	1_inacc	3	2.243138	c8.jpg	111
135.98	6	1_acc	3	2.760252	c2.jpg	111
145.51	6	1_acc	3	2.715287	c11.jpg	111
157.58	6	1_inacc	2	3.734122	c18.jpg	111
167.45	6	5_acc	2	1.514923	c24.jpg	111
175.53	6	5_acc	3	4.176347	c7.jpg	111
185.78	6	5_acc	3	2.578037	c14.jpg	111
195.3	6	1_inacc	1	3.605931	c16.jpg	111
203.38	6	1_acc	4	2.179771	c1.jpg	111
212.19	6	5_inacc	3	3.831103	c5.jpg	111
222.8	6	1_acc	4	3.814735	c17.jpg	111
233.05	6	5_inacc	1	1.86269	c22.jpg	111
3.07	6	5_inacc	4	2.659953	c22.jpg	114
12.26	6	1_acc	4	3.310928	c1.jpg	114
20.69	6	1_acc	1	3.681266	c10.jpg	114
30.22	6	1_inacc	2	4.043458	c2.jpg	114
40.47	6	1_inacc	1	2.417679	c11.jpg	114
51.09	6	1_inacc	4	2.395995	c17.jpg	114
60.98	6	5_acc	1	2.487035	c5.jpg	114
72.32	6	1_acc	2	2.458184	c16.jpg	114
80.38	6	5_acc	1	1.389721	c24.jpg	114
92.08	6	5_acc	4	3.448619	c20.jpg	114
101.6	6	5_inacc	2	5.011372	c14.jpg	114
112.21	6	1_inacc	4	2.212459	c8.jpg	114
124.28	6	1_acc	1	3.478623	c19.jpg	114
133.06	6	1_acc	1	4.385498	c13.jpg	114
144.4	6	1_acc	2	3.830861	c18.jpg	114
153.55	6	1_inacc	2	2.640505	c6.jpg	114
164.52	6	5_acc	4	1.06491	c9.jpg	114
173.32	6	5_acc	1	5.954927	c23.jpg	114
185.4	6	5_acc	4	3.728123	c3.jpg	114
195.67	6	1_acc	2	4.844026	c21.jpg	114
207.37	6	5_acc	1	1.188256	c12.jpg	114
218.34	6	5_acc	4	1.699194	c15.jpg	114
226.41	6	5_acc	1	1.28546	c4.jpg	114
236.3	6	5_inacc	1	3.861484	c7.jpg	114
