onset	duration	weight	object	emotion
18.005	2	1	abacus	aversive
334.005	2	1	babyplayard	aversive
44.996	2	1	banana	aversive
395.995	2	1	bed	aversive
0	2	1	bench	aversive
325.997	2	1	bike	neutral
306.003	2	1	binoculars	aversive
452.994	2	1	boppypillow	aversive
94.004	2	1	bowl	neutral
173.004	2	1	bowlingpin	neutral
264.008	2	1	bowtie	aversive
63.996	2	1	bucket	aversive
161.001	2	1	butterfly	aversive
369.004	2	1	button	aversive
599.007	2	1	ceilingfan	neutral
85.996	2	1	cherry	aversive
236.005	2	1	clownfish	neutral
556.001	2	1	coconut	neutral
116.005	2	1	compass	aversive
316	2	1	computermouse	aversive
150.009	2	1	cookingpan	aversive
357	2	1	cookpot	aversive
139.995	2	1	crab	aversive
255.005	2	1	crown	neutral
55.01	2	1	cupsaucer	aversive
207.008	2	1	dolphin	aversive
25.996	2	1	dragonfly	neutral
568.004	2	1	durian	aversive
404.003	2	1	fan	neutral
529.01	2	1	flashlight	neutral
185.008	2	1	fork	aversive
442.002	2	1	gecko	neutral
414	2	1	glasses	aversive
104.996	2	1	glove	aversive
75.004	2	1	grape	neutral
344.997	2	1	guitar	neutral
651.995	2	1	hairbrush	neutral
539.007	2	1	hairdryer	aversive
196	2	1	handmirror	neutral
284.997	2	1	hat	neutral
703.009	2	1	headband	neutral
8.008	2	1	hourglass	aversive
425.008	2	1	icecreamcones	aversive
589.01	2	1	kettle	neutral
486.998	2	1	kiwifruit	aversive
507.009	2	1	lamp	neutral
218.995	2	1	lemon	neutral
227.997	2	1	lightbulb	neutral
293.999	2	1	lock	aversive
711.995	2	1	loster	aversive
694.006	2	1	motorcycle	aversive
36.01	2	1	nailpolish	neutral
606.999	2	1	necktie	aversive
464.003	2	1	orifan	neutral
388.004	2	1	paintbrush	aversive
615.006	2	1	pen	neutral
495.006	2	1	pipe	neutral
274.005	2	1	printer	neutral
624.009	2	1	rollingpin	neutral
476.006	2	1	rubberduck	neutral
632	2	1	scale	neutral
128.008	2	1	shirt	aversive
673.995	2	1	shoe	neutral
433	2	1	sofa	aversive
641.997	2	1	stapler	aversive
379.001	2	1	starfish	neutral
246.003	2	1	strawberry	neutral
580.008	2	1	tent	aversive
662.009	2	1	tire	neutral
546.998	2	1	washer	neutral
518.996	2	1	watergun	neutral
685.004	2	1	watermelon	neutral
