onset	duration	trial_type	response_time
238.0282	0.9845	feedback_positive_reward	n/a
242.0134	0.7489	cue_reward	n/a
242.0134	2.749	anticipation_reward	n/a
242.7625	2.0001	isi_reward	n/a
244.7627	0.23	target	0.2166
245.2924	0.9873	feedback_positive_reward	n/a
248.7799	0.7491	cue_neutral	n/a
248.7799	2.2492	anticipation_neutral	n/a
249.5293	1.5001	isi_neutral	n/a
251.0294	0.2133	target	0.2003
251.5543	0.9918	feedback_positive_neutral	n/a
259.5467	0.749	cue_neutral	n/a
259.5467	2.2493	anticipation_neutral	n/a
260.2959	1.5003	isi_neutral	n/a
261.7963	0.2133	target	0.2002
262.3186	0.9941	feedback_positive_neutral	n/a
266.3135	0.7489	cue_neutral	n/a
266.3135	2.2489	anticipation_neutral	n/a
267.0626	1.5001	isi_neutral	n/a
268.5628	0.1967	target	n/a
269.0713	0.9921	feedback_negative_neutral	n/a
272.0632	0.7495	cue_reward	n/a
272.0632	2.7494	anticipation_reward	n/a
272.8129	1.9999	isi_reward	n/a
274.8129	0.2133	target	0.2004
275.3335	0.9797	feedback_positive_reward	n/a
278.8132	0.7492	cue_reward	n/a
278.8132	2.2493	anticipation_reward	n/a
279.5626	1.5002	isi_reward	n/a
281.0628	0.2133	target	0.2006
281.5912	0.9883	feedback_positive_reward	n/a
287.5803	0.749	cue_neutral	n/a
287.5803	2.2494	anticipation_neutral	n/a
288.3296	1.5003	isi_neutral	n/a
289.83	0.1967	target	n/a
290.3455	0.9844	feedback_negative_neutral	n/a
294.3306	0.7491	cue_reward	n/a
294.3306	2.2491	anticipation_reward	n/a
295.0799	1.5	isi_reward	n/a
296.58	0.2133	target	0.2
297.1197	0.9769	feedback_positive_reward	n/a
300.0967	0.7492	cue_reward	n/a
300.0967	3.7496	anticipation_reward	n/a
300.8461	3.0004	isi_reward	n/a
303.8466	0.2133	target	0.2
304.3763	0.9872	feedback_positive_reward	n/a
309.8641	0.7486	cue_neutral	n/a
309.8641	3.2487	anticipation_neutral	n/a
310.613	2.5001	isi_neutral	n/a
313.1131	0.1967	target	n/a
313.6297	0.9839	feedback_negative_neutral	n/a
320.614	0.7487	cue_reward	n/a
320.614	3.249	anticipation_reward	n/a
321.3629	2.5003	isi_reward	n/a
323.8633	0.2133	target	0.2007
324.4029	0.977	feedback_positive_reward	n/a
333.3804	0.7496	cue_reward	n/a
333.3804	2.2497	anticipation_reward	n/a
334.1302	1.5001	isi_reward	n/a
