onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.098	8	1	mirror	start_session	n/a	n/a
26.144	3.50022954686255	1	mirror	erasing	downward	0
35.675	3.50640683213383	1	mirror	erasing	rightward	1
45.21	2.29219480933957	1	mirror	erasing	rightward	7
54.727	3.50012885344329	1	mirror	erasing	upward	1
64.258	3.50242176206657	1	mirror	erasing	leftward	5
73.788	3.50994902182317	1	mirror	erasing	leftward	4
83.322	3.50005589338103	1	mirror	erasing	downward	4
92.837	3.50348629630831	1	mirror	erasing	downward	1
102.368	3.50001706668123	1	mirror	erasing	upward	4
111.896	3.50209109511773	1	mirror	erasing	upward	4
121.423	3.5148812926987	1	mirror	erasing	downward	3
130.962	3.50001322667795	1	mirror	erasing	leftward	6
140.481	2.66445582033563	1	mirror	erasing	rightward	7
149.989	3.50000640000546	1	mirror	erasing	leftward	5
159.502	3.51718700133291	1	mirror	erasing	upward	2
169.045	2.86196468220986	1	mirror	erasing	rightward	7
178.553	3.50983382172486	1	mirror	erasing	downward	3
198.197	4	1	mirror	score	n/a	n/a
202.197	8	1	mirror	end_session	n/a	n/a
220.217	8	2	mirror	start_session	n/a	n/a
234.225	3.50006400005461	2	mirror	erasing	downward	1
243.738	3.0365781645467	2	mirror	erasing	leftward	7
253.247	1.56543408250375	2	mirror	erasing	leftward	7
262.756	3.50004394670417	2	mirror	erasing	upward	2
272.274	1.36241822926356	2	mirror	erasing	rightward	7
281.782	1.25945792807077	2	mirror	erasing	rightward	7
291.289	3.50806230021316	2	mirror	erasing	downward	3
300.822	3.51182038342006	2	mirror	erasing	downward	3
310.359	3.51290369101115	2	mirror	erasing	upward	2
319.896	3.50015317346404	2	mirror	erasing	upward	2
329.417	3.513192971258	2	mirror	erasing	downward	5
338.956	2.17945999313919	2	mirror	erasing	rightward	7
348.465	3.5000166400142	2	mirror	erasing	leftward	5
357.978	1.19768507535793	2	mirror	erasing	rightward	7
367.487	3.51102763607692	2	mirror	erasing	upward	3
377.022	1.91270307217329	2	mirror	erasing	leftward	7
386.531	3.50002986669215	2	mirror	erasing	downward	5
406.068	4	2	mirror	score	n/a	n/a
410.068	8	2	mirror	end_session	n/a	n/a
428.091	8	3	rotation-90	start_session	n/a	n/a
442.1	3.51548203987801	3	rotation-90	erasing	leftward	0
451.64	3.51285121096637	3	rotation-90	erasing	upward	2
461.177	3.51267713081782	3	rotation-90	erasing	upward	1
470.715	3.50010154675332	3	rotation-90	erasing	downward	3
480.236	3.50005034670963	3	rotation-90	erasing	rightward	0
489.749	3.50000426667031	3	rotation-90	erasing	rightward	0
499.263	3.51283926428951	3	rotation-90	erasing	leftward	0
508.8	3.50007466673038	3	rotation-90	erasing	leftward	1
518.309	3.51021056871302	3	rotation-90	erasing	downward	4
527.843	3.12763274891328	3	rotation-90	erasing	downward	7
537.352	3.50015914680247	3	rotation-90	erasing	leftward	1
546.865	3.51508779954159	3	rotation-90	erasing	rightward	1
556.404	3.50005461337994	3	rotation-90	erasing	upward	3
565.917	3.50449451050198	3	rotation-90	erasing	rightward	2
575.446	3.36272201618945	3	rotation-90	erasing	downward	7
584.953	2.27554498179838	3	rotation-90	erasing	upward	7
594.463	3.50002005335045	3	rotation-90	erasing	leftward	1
614.02	4	3	rotation-90	score	n/a	n/a
618.02	8	3	rotation-90	end_session	n/a	n/a
636.044	8	4	rotation+90	start_session	n/a	n/a
650.051	3.50910934110664	4	rotation+90	erasing	upward	0
659.585	3.51252054401753	4	rotation+90	erasing	leftward	0
669.122	3.50008405340506	4	rotation+90	erasing	leftward	1
678.634	3.50520107110491	4	rotation+90	erasing	rightward	1
688.165	3.50009344007974	4	rotation+90	erasing	downward	0
697.686	3.51243051727404	4	rotation+90	erasing	downward	0
707.223	3.50000768000655	4	rotation+90	erasing	upward	1
716.735	3.50480043076303	4	rotation+90	erasing	upward	1
726.265	3.50001024000874	4	rotation+90	erasing	rightward	1
735.776	3.50170240145272	4	rotation+90	erasing	rightward	3
745.306	3.50007082672711	4	rotation+90	erasing	upward	1
754.818	3.50502443095418	4	rotation+90	erasing	downward	0
