onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.014	2.000	remember	0.905	updating	retprac	1	scene	face	object	target	scene	competitor	forget	1	3	33	105	257	33	1.000	7
6.763	2.000	forget	0.475	updating	retprac	1	scene	face	object	competitor	face	target	remember	2	3	35	107	259	35	6.755	10
11.296	2.000	forget	0.318	updating	retprac	1	object	scene	face	competitor	scene	other	forget	3	3	131	83	183	235	11.276	1
16.313	2.000	forget	0.646	updating	retprac	1	face	scene	object	competitor	scene	competitor	forget	4	3	105	33	81	209	16.303	2
21.529	2.000	remember	0.270	updating	restudy	1	face	scene	object	target	face	other	forget	5	3	108	36	84	212	21.515	17
27.795	2.000	remember	0.323	updating	restudy	1	scene	object	face	target	scene	other	forget	6	3	84	132	284	136	27.777	24
36.561	2.000	remember	0.365	updating	retprac	1	face	object	scene	target	face	competitor	forget	7	3	59	11	59	111	36.539	3
41.527	2.000	remember	0.303	updating	restudy	1	object	scene	face	target	object	competitor	forget	8	3	132	84	184	236	41.508	21
46.076	2.000	remember	0.289	updating	restudy	1	scene	face	object	target	scene	target	remember	9	3	36	108	260	36	46.064	15
50.609	2.000	forget	0.324	updating	retprac	1	object	face	scene	other	scene	target	remember	10	3	11	59	159	11	50.598	8
56.176	2.000	forget	0.398	updating	retprac	1	object	scene	face	competitor	scene	other	forget	11	3	129	81	181	233	56.167	6
63.742	2.000	forget	0.440	updating	retprac	1	object	face	scene	competitor	face	other	forget	12	3	9	57	157	9	63.724	11
68.458	2.000	remember	0.259	updating	restudy	1	face	object	scene	target	face	target	remember	13	3	60	12	60	112	68.447	18
73.974	2.000	remember	0.191	updating	restudy	1	object	scene	face	target	object	competitor	forget	14	3	130	82	182	234	73.961	20
79.007	2.000	remember	0.318	updating	restudy	1	object	face	scene	target	object	competitor	forget	15	3	12	60	160	12	78.992	14
83.723	2.000	remember	0.297	updating	restudy	1	object	face	scene	target	object	competitor	forget	16	3	10	58	158	10	83.701	13
88.723	2.000	forget	0.482	updating	retprac	1	scene	object	face	competitor	object	target	remember	17	3	81	129	281	133	88.703	12
94.756	2.000	remember	0.280	updating	restudy	1	face	object	scene	target	face	target	remember	18	3	58	10	58	110	94.747	22
104.705	2.000	remember	0.643	updating	retprac	1	face	scene	object	target	face	target	remember	19	3	107	35	83	211	104.693	9
109.688	2.000	remember	0.324	updating	restudy	1	scene	object	face	target	scene	competitor	forget	20	3	82	130	282	134	109.674	19
114.670	2.000	remember	0.285	updating	restudy	2	scene	object	face	target	scene	other	forget	21	3	84	132	284	136	114.657	24
121.086	2.000	remember	0.357	updating	restudy	2	face	scene	object	target	face	other	forget	22	3	108	36	84	212	121.070	17
126.069	2.000	remember	0.454	updating	restudy	2	scene	face	object	target	scene	target	remember	23	3	36	108	260	36	126.053	15
131.369	2.000	remember	0.442	updating	restudy	2	object	scene	face	target	object	competitor	forget	24	3	132	84	184	236	131.348	21
137.168	2.000	forget	0.874	updating	retprac	2	object	scene	face	other	face	other	forget	25	3	131	83	183	235	137.152	1
142.035	2.000	remember	0.304	updating	retprac	2	face	object	scene	target	face	competitor	forget	26	3	59	11	59	111	142.024	3
146.851	2.000	remember	0.383	updating	restudy	1	scene	face	object	target	scene	target	remember	27	3	34	106	258	34	146.834	16
156.717	2.000	remember	0.334	updating	restudy	1	face	scene	object	target	face	target	remember	28	3	106	34	82	210	156.693	23
161.316	2.000	forget	0.742	updating	retprac	2	scene	face	object	other	object	competitor	forget	29	3	33	105	257	33	161.305	7
166.282	2.000	forget	0.639	updating	retprac	2	face	scene	object	competitor	scene	competitor	forget	30	3	105	33	81	209	166.272	2
176.432	2.000	forget	0.705	updating	retprac	2	object	face	scene	other	scene	other	forget	31	3	9	57	157	9	176.409	11
181.481	2.000	forget	0.344	updating	retprac	2	object	scene	face	other	face	other	forget	32	3	129	81	181	233	181.460	6
187.964	2.000	forget	0.326	updating	retprac	2	scene	face	object	competitor	face	target	remember	33	3	35	107	259	35	187.954	10
194.013	2.000	forget	0.292	updating	retprac	1	scene	object	face	competitor	object	target	remember	34	3	83	131	283	135	193.993	4
199.779	2.000	forget	0.694	updating	retprac	1	face	object	scene	other	scene	target	remember	35	3	57	9	57	109	199.770	5
209.362	2.000	remember	0.679	updating	restudy	2	object	face	scene	target	object	competitor	forget	36	3	10	58	158	10	209.340	13
214.395	2.000	remember	0.518	updating	restudy	3	object	scene	face	target	object	competitor	forget	37	3	132	84	184	236	214.387	21
223.444	2.000	remember	0.500	updating	restudy	2	face	object	scene	target	face	target	remember	38	3	60	12	60	112	223.430	18
228.627	2.000	remember	0.357	updating	retprac	2	object	face	scene	target	object	target	remember	39	3	11	59	159	11	228.606	8
234.710	2.000	remember	0.714	updating	retprac	2	face	scene	object	target	face	target	remember	40	3	107	35	83	211	234.702	9
239.293	2.000	remember	0.291	updating	restudy	2	face	object	scene	target	face	target	remember	41	3	58	10	58	110	239.272	22
244.542	2.000	remember	0.410	updating	restudy	3	face	scene	object	target	face	other	forget	42	3	108	36	84	212	244.523	17
249.342	2.000	no response	n/a	updating	retprac	3	scene	face	object	no response	no response	competitor	forget	43	3	33	105	257	33	249.328	7
254.308	2.000	remember	0.644	updating	restudy	3	scene	face	object	target	scene	target	remember	44	3	36	108	260	36	254.291	15
259.108	2.000	remember	0.700	updating	restudy	2	object	face	scene	target	object	competitor	forget	45	3	12	60	160	12	259.086	14
268.757	2.000	remember	0.434	updating	restudy	2	object	scene	face	target	object	competitor	forget	46	3	130	82	182	234	268.732	20
273.806	2.000	remember	0.393	updating	retprac	2	scene	object	face	target	scene	target	remember	47	3	81	129	281	133	273.785	12
