onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.015	2.000	remember	0.600	updating	restudy	1	scene	face	object	target	scene	competitor	forget	1	1	26	98	250	26	1.000	14
6.315	2.000	remember	0.676	updating	retprac	1	face	object	scene	target	face	competitor	forget	2	1	51	3	51	103	6.297	12
11.548	2.000	forget	0.443	updating	retprac	1	scene	object	face	other	face	other	forget	3	1	75	123	275	127	11.526	7
17.530	2.000	remember	0.444	updating	restudy	1	face	object	scene	target	face	competitor	forget	4	1	52	4	52	104	17.523	18
22.763	2.000	forget	0.619	updating	retprac	1	object	scene	face	other	face	competitor	forget	5	1	121	73	173	225	22.749	6
29.413	2.000	remember	0.521	updating	restudy	1	object	scene	face	target	object	other	forget	6	1	124	76	176	228	29.402	19
37.145	2.000	forget	0.501	updating	retprac	1	scene	face	object	competitor	face	no response	no response	7	1	25	97	249	25	37.131	11
45.495	2.000	remember	0.591	updating	retprac	1	object	scene	face	target	object	target	remember	8	1	123	75	175	227	45.481	4
50.694	2.000	remember	0.511	updating	restudy	1	face	object	scene	target	face	target	remember	9	1	50	2	50	102	50.681	20
56.394	2.000	remember	0.476	updating	restudy	1	scene	face	object	target	scene	competitor	forget	10	1	28	100	252	28	56.376	22
62.510	2.000	remember	0.479	updating	retprac	1	face	scene	object	target	face	no response	no response	11	1	97	25	73	201	62.493	9
67.109	2.000	forget	0.576	updating	retprac	1	object	face	scene	other	scene	competitor	forget	12	1	3	51	151	3	67.096	10
77.592	2.000	forget	0.629	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	13	1	1	49	149	1	77.567	5
82.491	2.000	remember	0.522	updating	restudy	1	object	face	scene	target	object	other	forget	14	1	2	50	150	2	82.484	13
87.374	2.000	remember	0.566	updating	restudy	1	scene	object	face	target	scene	other	forget	15	1	74	122	274	126	87.361	23
