onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.018	2.000	remember	0.349	updating	restudy	1	scene	face	object	target	scene	other	forget	1	6	48	120	272	48	1.000	22
5.817	2.000	forget	0.302	updating	retprac	1	scene	object	face	other	face	target	remember	2	6	93	141	293	145	5.792	7
11.317	2.000	forget	0.626	updating	retprac	1	object	face	scene	other	scene	target	remember	3	6	21	69	169	21	11.296	12
16.266	2.000	forget	0.356	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	4	6	45	117	269	45	16.249	6
20.783	2.000	remember	0.304	updating	retprac	1	object	scene	face	target	object	competitor	forget	5	6	141	93	193	245	20.762	9
29.282	2.000	remember	0.428	updating	restudy	1	face	object	scene	target	face	other	forget	6	6	70	22	70	122	29.264	13
35.048	2.000	forget	0.286	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	7	6	23	71	171	23	35.030	11
40.748	2.000	remember	0.306	updating	restudy	1	scene	face	object	target	scene	target	remember	8	6	46	118	270	46	40.725	17
45.430	2.000	remember	0.399	updating	restudy	1	object	face	scene	target	object	competitor	forget	9	6	22	70	170	22	45.415	14
54.613	2.000	remember	0.249	updating	restudy	1	face	scene	object	target	face	target	remember	10	6	120	48	96	224	54.591	23
61.812	2.000	remember	0.273	updating	restudy	1	face	object	scene	target	face	target	remember	11	6	72	24	72	124	61.802	20
66.595	2.000	forget	0.426	updating	retprac	1	scene	object	face	competitor	object	competitor	forget	12	6	95	143	295	147	66.573	1
71.095	2.000	remember	0.366	updating	restudy	1	object	face	scene	target	object	competitor	forget	13	6	24	72	172	24	71.074	16
76.211	2.000	remember	0.618	updating	retprac	1	face	object	scene	target	face	target	remember	14	6	71	23	71	123	76.191	5
84.744	2.000	remember	0.453	updating	retprac	1	face	scene	object	target	face	target	remember	15	6	119	47	95	223	84.734	4
89.543	2.000	remember	0.469	updating	retprac	1	object	scene	face	target	object	target	remember	16	6	143	95	195	247	89.537	3
94.543	2.000	remember	0.342	updating	restudy	1	scene	object	face	target	scene	competitor	forget	17	6	94	142	294	146	94.531	24
100.409	2.000	forget	0.436	updating	retprac	2	scene	object	face	competitor	object	target	remember	18	6	93	141	293	145	100.387	7
105.159	2.000	remember	0.310	updating	restudy	1	object	scene	face	target	object	other	forget	19	6	142	94	194	246	105.137	21
109.942	2.000	remember	0.263	updating	restudy	2	scene	face	object	target	scene	target	remember	20	6	46	118	270	46	109.917	17
115.258	2.000	remember	0.458	updating	retprac	1	scene	face	object	target	scene	other	forget	21	6	47	119	271	47	115.245	8
119.840	2.000	remember	0.603	updating	retprac	1	face	scene	object	target	face	target	remember	22	6	117	45	93	221	119.825	2
124.873	2.000	remember	0.274	updating	restudy	2	scene	face	object	target	scene	other	forget	23	6	48	120	272	48	124.852	22
130.890	2.000	remember	0.218	updating	restudy	2	face	object	scene	target	face	target	remember	24	6	72	24	72	124	130.869	20
138.572	2.000	forget	0.368	updating	retprac	2	scene	face	object	competitor	face	competitor	forget	25	6	45	117	269	45	138.559	6
143.555	2.000	remember	0.352	updating	restudy	2	object	face	scene	target	object	competitor	forget	26	6	24	72	172	24	143.538	16
