onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.016	2.000	remember	0.503	updating	restudy	1	face	scene	object	target	face	target	remember	1	2	104	32	80	208	1.000	16
5.916	2.000	remember	0.380	updating	restudy	1	face	object	scene	target	face	other	forget	2	2	56	8	56	108	5.898	20
10.765	2.000	forget	0.473	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	3	2	7	55	155	7	10.754	11
18.464	2.000	remember	0.326	updating	restudy	1	scene	face	object	target	scene	competitor	forget	4	2	30	102	254	30	18.443	17
25.247	2.000	forget	0.392	updating	retprac	1	object	scene	face	other	face	target	remember	5	2	127	79	179	231	25.239	8
30.047	2.000	forget	0.495	updating	retprac	1	scene	face	object	other	object	competitor	forget	6	2	29	101	253	29	30.026	12
35.013	2.000	forget	0.377	updating	retprac	1	object	scene	face	other	face	no response	no response	7	2	125	77	177	229	34.992	7
40.312	2.000	remember	0.517	updating	retprac	1	scene	face	object	target	scene	other	forget	8	2	31	103	255	31	40.296	3
45.545	2.000	remember	0.485	updating	restudy	1	scene	object	face	target	scene	other	forget	9	2	80	128	280	132	45.526	24
50.412	2.000	remember	0.466	updating	retprac	1	scene	object	face	target	scene	other	forget	10	2	79	127	279	131	50.389	6
55.444	2.000	remember	0.449	updating	restudy	1	object	scene	face	target	object	competitor	forget	11	2	128	80	180	232	55.433	19
60.894	2.000	remember	0.311	updating	restudy	1	object	face	scene	target	object	other	forget	12	2	6	54	154	6	60.878	13
71.260	2.000	forget	0.465	updating	retprac	1	scene	object	face	competitor	object	other	forget	13	2	77	125	277	129	71.242	1
76.276	2.000	remember	0.385	updating	restudy	2	face	scene	object	target	face	target	remember	14	2	104	32	80	208	76.256	16
82.009	2.000	forget	0.348	updating	retprac	1	face	object	scene	other	scene	competitor	forget	15	2	53	5	53	105	82.001	9
88.875	2.000	forget	0.818	updating	retprac	2	object	face	scene	competitor	face	competitor	forget	16	2	7	55	155	7	88.867	11
93.408	2.000	remember	0.308	updating	restudy	1	scene	object	face	target	scene	other	forget	17	2	78	126	278	130	93.394	21
98.074	2.000	forget	0.410	updating	retprac	2	object	scene	face	competitor	scene	target	remember	18	2	127	79	179	231	98.062	8
102.740	2.000	forget	0.400	updating	retprac	1	face	scene	object	competitor	scene	competitor	forget	19	2	101	29	77	205	102.729	5
107.523	2.000	remember	0.136	updating	restudy	2	face	object	scene	target	face	other	forget	20	2	56	8	56	108	107.504	20
113.639	2.000	remember	0.325	updating	restudy	2	scene	object	face	target	scene	other	forget	21	2	80	128	280	132	113.619	24
121.522	2.000	remember	0.314	updating	restudy	1	scene	face	object	target	scene	competitor	forget	22	2	32	104	256	32	121.514	18
126.521	2.000	forget	0.450	updating	retprac	2	scene	object	face	other	face	other	forget	23	2	79	127	279	131	126.513	6
131.254	2.000	remember	0.405	updating	restudy	1	object	face	scene	target	object	competitor	forget	24	2	8	56	156	8	131.234	22
137.937	2.000	remember	0.354	updating	restudy	1	object	scene	face	target	object	other	forget	25	2	126	78	178	230	137.925	23
143.387	2.000	remember	0.400	updating	restudy	2	scene	face	object	target	scene	competitor	forget	26	2	30	102	254	30	143.365	17
148.619	2.000	remember	0.375	updating	restudy	2	object	scene	face	target	object	competitor	forget	27	2	128	80	180	232	148.601	19
156.069	2.000	forget	0.366	updating	retprac	1	face	object	scene	other	scene	competitor	forget	28	2	55	7	55	107	156.062	4
165.234	2.000	remember	0.632	updating	retprac	2	scene	face	object	target	scene	other	forget	29	2	31	103	255	31	165.228	3
175.550	2.000	forget	0.404	updating	retprac	2	object	scene	face	competitor	scene	no response	no response	30	2	125	77	177	229	175.532	7
180.783	2.000	forget	0.403	updating	retprac	3	object	scene	face	competitor	scene	target	remember	31	2	127	79	179	231	180.762	8
185.599	2.000	remember	0.370	updating	restudy	3	face	scene	object	target	face	target	remember	32	2	104	32	80	208	185.582	16
190.299	2.000	forget	0.679	updating	retprac	2	face	object	scene	other	scene	competitor	forget	33	2	53	5	53	105	190.290	9
195.032	2.000	remember	0.473	updating	retprac	2	scene	face	object	target	scene	competitor	forget	34	2	29	101	253	29	195.018	12
199.698	2.000	forget	0.351	updating	retprac	2	face	scene	object	competitor	scene	competitor	forget	35	2	101	29	77	205	199.678	5
207.781	2.000	remember	0.421	updating	restudy	2	object	face	scene	target	object	other	forget	36	2	6	54	154	6	207.759	13
215.763	2.000	forget	0.557	updating	retprac	1	object	face	scene	competitor	face	target	remember	37	2	5	53	153	5	215.754	2
220.530	2.000	remember	0.295	updating	restudy	2	object	scene	face	target	object	other	forget	38	2	126	78	178	230	220.509	23
226.696	2.000	remember	0.353	updating	restudy	1	face	object	scene	target	face	target	remember	39	2	54	6	54	106	226.678	14
232.012	2.000	forget	0.516	updating	retprac	2	face	object	scene	other	scene	competitor	forget	40	2	55	7	55	107	231.993	4
