onset	duration	trial	value	instruction
5329	6	1	1	rest
11260	1	1	2	ready
12264	6	1	3	task
18216	8	1	4	interval
26300	6	2	1	rest
32260	1	2	2	ready
33270	6	2	3	task
39221	8	2	4	interval
47295	6	3	1	rest
53285	1	3	2	ready
54268	6	3	3	task
60215	8	3	4	interval
68297	6	4	1	rest
74277	1	4	2	ready
75271	6	4	3	task
81223	8	4	4	interval
89298	6	5	1	rest
95265	1	5	2	ready
96273	6	5	3	task
102224	8	5	4	interval
110303	6	6	1	rest
116271	1	6	2	ready
117304	6	6	3	task
123220	8	6	4	interval
131306	6	7	1	rest
137274	1	7	2	ready
138281	6	7	3	task
144232	8	7	4	interval
152310	6	8	1	rest
158268	1	8	2	ready
159276	6	8	3	task
165230	8	8	4	interval
173310	6	9	1	rest
179271	1	9	2	ready
180279	6	9	3	task
186232	8	9	4	interval
194306	6	10	1	rest
200275	1	10	2	ready
201281	6	10	3	task
207233	8	10	4	interval
215314	6	11	1	rest
221290	1	11	2	ready
222315	6	11	3	task
228234	8	11	4	interval
236309	6	12	1	rest
242280	1	12	2	ready
243292	6	12	3	task
249236	8	12	4	interval
257318	6	13	1	rest
263301	1	13	2	ready
264286	6	13	3	task
270242	8	13	4	interval
278323	6	14	1	rest
284317	1	14	2	ready
285305	6	14	3	task
291252	8	14	4	interval
299324	6	15	1	rest
305287	1	15	2	ready
306310	6	15	3	task
312246	8	15	4	interval
320329	6	16	1	rest
326290	1	16	2	ready
327326	6	16	3	task
333251	8	16	4	interval
341324	6	17	1	rest
347301	1	17	2	ready
348317	6	17	3	task
354255	8	17	4	interval
362327	6	18	1	rest
368317	1	18	2	ready
369333	6	18	3	task
375254	8	18	4	interval
383334	6	19	1	rest
389313	1	19	2	ready
390329	6	19	3	task
396257	8	19	4	interval
404331	6	20	1	rest
410299	1	20	2	ready
411308	6	20	3	task
417254	8	20	4	interval
