participant_id	Group
401	Musician
402	Musician
403	Musician
404	NonMusician
405	Musician
406	Musician
407	Musician
408	NonMusician
409	NonMusician
410	NonMusician
411	Musician
412	NonMusician
413	Musician
414	Musician
415	Musician
416	Musician
417	NonMusician
418	Musician
419	Musician
420	Musician
421	NonMusician
422	Musician
423	NonMusician
424	NonMusician
425	NonMusician
426	Musician
427	Musician
428	NonMusician
429	NonMusician
430	NonMusician
432	NonMusician
433	NonMusician
434	NonMusician
