onset	duration	condition	stim	resp	RT
211.2	0.8	n/a	5	n/a	n/a
212.8	0.8	n/a	7	n/a	n/a
214.4	0.8	n/a	5	n/a	n/a
216	0.8	n/a	7	n/a	n/a
217.6	0.8	n/a	5	n/a	n/a
219.2	0.8	n/a	7	n/a	n/a
220.8	0.8	n/a	7	n/a	n/a
222.4	0.8	n/a	5	n/a	n/a
224	0.8	n/a	5	n/a	n/a
225.6	0.8	n/a	5	n/a	n/a
227.2	0.8	n/a	7	n/a	n/a
228.8	0.8	n/a	5	n/a	n/a
230.4	0.8	n/a	7	n/a	n/a
232	0.8	n/a	5	n/a	n/a
233.6	0.8	n/a	7	n/a	n/a
235.2	0.8	n/a	7	n/a	n/a
236.8	0.8	n/a	7	n/a	n/a
238.4	0.8	n/a	5	n/a	n/a
240	0.8	n/a	7	n/a	n/a
241.6	0.8	n/a	7	n/a	n/a
243.2	0.8	n/a	7	n/a	n/a
244.8	0.8	n/a	5	n/a	n/a
246.4	0.8	n/a	5	n/a	n/a
248	0.8	n/a	7	n/a	n/a
249.6	0.8	n/a	7	n/a	n/a
251.2	0.8	n/a	7	n/a	n/a
252.8	0.8	n/a	5	n/a	n/a
254.4	0.8	n/a	7	n/a	n/a
256	0.8	n/a	7	n/a	n/a
257.6	0.8	n/a	5	n/a	n/a
259.2	0.8	n/a	7	n/a	n/a
260.8	0.8	n/a	5	n/a	n/a
262.4	0.8	n/a	7	n/a	n/a
264	0.8	n/a	7	n/a	n/a
265.6	0.8	n/a	5	n/a	n/a
267.2	0.8	n/a	5	n/a	n/a
268.8	0.8	n/a	7	n/a	n/a
270.4	0.8	n/a	7	n/a	n/a
272	0.8	n/a	7	n/a	n/a
273.6	0.8	n/a	5	n/a	n/a
275.2	0.8	n/a	7	n/a	n/a
276.8	0.8	n/a	7	n/a	n/a
278.4	0.8	n/a	7	n/a	n/a
280	0.8	n/a	5	n/a	n/a
281.6	0.8	n/a	5	n/a	n/a
283.2	0.8	n/a	5	n/a	n/a
284.8	0.8	n/a	7	n/a	n/a
286.4	0.8	n/a	7	n/a	n/a
288	0.8	n/a	7	n/a	n/a
289.6	0.8	n/a	5	n/a	n/a
291.2	0.8	n/a	7	n/a	n/a
292.8	0.8	n/a	5	n/a	n/a
294.4	0.8	n/a	7	n/a	n/a
296	0.8	n/a	5	n/a	n/a
297.6	0.8	n/a	7	n/a	n/a
299.2	0.8	n/a	5	n/a	n/a
300.8	0.8	n/a	5	n/a	n/a
302.4	0.8	n/a	7	n/a	n/a
