onset	duration	stimulus
19.0	4.0	112.5cal
30.0	0.0	rinse
41.2	8.0	tless
56.2	0.0	rinse
66.2	11.0	75cal
83.2	0.0	rinse
94.4	6.0	0cal
107.4	0.0	rinse
118.5	4.0	112.5cal
129.5	0.0	rinse
140.6	5.0	tless
152.6	0.0	rinse
160.7	6.0	37.5cal
173.7	0.0	rinse
188.8	11.0	37.5cal
205.8	0.0	rinse
216.9	8.0	0cal
231.9	0.0	rinse
245.0	5.0	0cal
257.0	0.0	rinse
269.1	4.0	150cal
280.1	0.0	rinse
297.2	4.0	tless
308.2	0.0	rinse
312.3	6.0	tless
325.3	0.0	rinse
331.4	4.0	112.5cal
342.4	0.0	rinse
354.5	11.0	150cal
371.5	0.0	rinse
384.6	4.0	37.5cal
395.6	0.0	rinse
410.7	5.0	37.5cal
422.7	0.0	rinse
439.9	8.0	75cal
454.9	0.0	rinse
467.0	4.0	150cal
478.0	0.0	rinse
493.1	4.0	112.5cal
504.1	0.0	rinse
517.2	5.0	112.5cal
529.2	0.0	rinse
540.3	11.0	tless
557.3	0.0	rinse
562.4	6.0	tless
575.4	0.0	rinse
579.4	8.0	0cal
594.4	0.0	rinse
607.5	5.0	37.5cal
619.5	0.0	rinse
636.7	4.0	112.5cal
647.7	0.0	rinse
658.8	4.0	150cal
669.8	0.0	rinse
684.9	6.0	75cal
697.9	0.0	rinse
715.0	8.0	75cal
730.0	0.0	rinse
745.1	11.0	37.5cal
762.1	0.0	rinse
775.2	8.0	150cal
790.2	0.0	rinse
801.4	6.0	150cal
814.4	0.0	rinse
825.4	4.0	0cal
836.4	0.0	rinse
853.6	11.0	0cal
870.6	0.0	rinse
881.7	4.0	75cal
892.7	0.0	rinse
904.8	5.0	75cal
916.8	0.0	rinse
