onset	duration	stimulus
19.0	4.0	37.5cal
30.032	0.0	rinse
45.2	8.0	37.5cal
60.177	0.0	rinse
73.3	8.0	37.5cal
88.288	0.0	rinse
99.4	6.0	75cal
112.39	0.0	rinse
124.5	11.0	0cal
141.5	0.0	rinse
152.6	4.0	112.5cal
163.618	0.0	rinse
180.7	4.0	112.5cal
191.736	0.0	rinse
206.9	8.0	150cal
221.867	0.0	rinse
239.0	5.0	150cal
250.995	0.0	rinse
264.1	6.0	tless
277.123	0.0	rinse
281.2	4.0	tless
292.208	0.0	rinse
300.3	4.0	37.5cal
311.279	0.0	rinse
322.4	8.0	37.5cal
337.396	0.0	rinse
350.5	5.0	tless
362.532	0.0	rinse
372.6	11.0	112.5cal
389.614	0.0	rinse
401.7	8.0	75cal
416.737	0.0	rinse
427.9	4.0	75cal
438.856	0.0	rinse
454.0	8.0	112.5cal
468.96	0.0	rinse
481.1	6.0	tless
494.078	0.0	rinse
504.1	5.0	tless
516.147	0.0	rinse
520.2	4.0	75cal
531.232	0.0	rinse
548.4	6.0	0cal
561.351	0.0	rinse
572.5	4.0	0cal
583.47	0.0	rinse
596.6	4.0	0cal
607.589	0.0	rinse
618.7	5.0	112.5cal
630.709	0.0	rinse
645.8	11.0	112.5cal
662.828	0.0	rinse
673.9	4.0	150cal
684.939	0.0	rinse
702.0	4.0	37.5cal
713.049	0.0	rinse
726.2	5.0	150cal
738.164	0.0	rinse
753.3	4.0	tless
764.278	0.0	rinse
769.4	6.0	150cal
782.356	0.0	rinse
795.5	11.0	150cal
812.476	0.0	rinse
823.6	5.0	75cal
835.59	0.0	rinse
847.7	11.0	75cal
864.714	0.0	rinse
875.8	6.0	0cal
888.834	0.0	rinse
899.9	11.0	0cal
916.937	0.0	rinse
