onset	duration	trial	value	instruction
5105	8	1	2	task
13038	7	1	3	interval
19976	5	2	1	rest
25081	8	2	2	task
33049	7	2	3	interval
39983	5	3	1	rest
45100	8	3	2	task
53068	7	3	3	interval
59984	5	4	1	rest
65085	8	4	2	task
73047	7	4	3	interval
79990	5	5	1	rest
85082	8	5	2	task
93044	7	5	3	interval
100010	5	6	1	rest
105092	8	6	2	task
113051	7	6	3	interval
119987	5	7	1	rest
125096	8	7	2	task
133048	7	7	3	interval
139985	5	8	1	rest
145091	8	8	2	task
153080	7	8	3	interval
159993	5	9	1	rest
165097	8	9	2	task
173056	7	9	3	interval
179999	5	10	1	rest
185103	8	10	2	task
193063	7	10	3	interval
200002	5	11	1	rest
205101	8	11	2	task
213058	7	11	3	interval
219999	5	12	1	rest
225106	8	12	2	task
233085	7	12	3	interval
239998	5	13	1	rest
245106	8	13	2	task
253073	7	13	3	interval
260006	5	14	1	rest
265102	8	14	2	task
273064	7	14	3	interval
280004	5	15	1	rest
285109	8	15	2	task
293090	7	15	3	interval
300010	5	16	1	rest
305104	8	16	2	task
313089	7	16	3	interval
320016	5	17	1	rest
325114	8	17	2	task
333077	7	17	3	interval
340141	5	18	1	rest
345117	8	18	2	task
353075	7	18	3	interval
360017	5	19	1	rest
365129	8	19	2	task
373081	7	19	3	interval
380023	5	20	1	rest
385120	8	20	2	task
393112	7	20	3	interval
400024	5	21	1	rest
405123	8	21	2	task
413084	7	21	3	interval
420020	5	22	1	rest
425133	8	22	2	task
433088	7	22	3	interval
440338	5	23	1	rest
445126	8	23	2	task
453109	7	23	3	interval
460028	5	24	1	rest
465131	8	24	2	task
473092	12	24	3	interval
485131	8	25	1	rest
493085	7	25	2	task
500031	5	25	3	interval
