onset	duration	condition
2.028	36.052	tasteless
38.08	0	rinse
53.08	45	Sucrose
98.08	0	rinse
113.08	45	NaCl
158.08	0	rinse
173.08	36	citric_acid
209.08	0	rinse
224.08	35.992	tasteless
260.072	0	rinse
275.081	53.992	Sucrose
329.073	0	rinse
344.081	44.999	NaCl
389.08	0	rinse
404.08	54	tasteless
458.08	0	rinse
473.08	36	MPG
509.08	0	rinse
524.081	54.0079999999999	citric_acid
578.089	0	rinse
593.081	44.999	MPG
638.08	0	rinse
653.08	53.968	tasteless
707.048	0	rinse
