participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses 1	name ses2	weight ses2	age ses 2
sub-E329	Sub1	mus musculus	C57BL/6J	M	HET	SYN	25.4	73.1429	UCBJ	26.6	72.1429
sub-E330	Sub2	mus musculus	C57BL/6J	M	HET	SYN	27.8	73.1429	UCBJ	28.3	72.1429
sub-E331	Sub3	mus musculus	C57BL/6J	M	HET	SYN	27.2	73.1429	UCBJ	28.1	72.1429
sub-E332	Sub4	mus musculus	C57BL/6J	M	HET	SYN	25.9	73.2857	UCBJ	26.7	72.2857
sub-E333	Sub5	mus musculus	C57BL/6J	M	HET	SYN	26.5	73.1429	UCBJ	25.3	72.1429
sub-E334	Sub6	mus musculus	C57BL/6J	M	HET	SYN	27.2	72.7143	UCBJ	27.5	73.5714
sub-E336	Sub7	mus musculus	C57BL/6J	M	HET	SYN	27.4	73.2857	UCBJ	27.5	72.2857
sub-E337	Sub8	mus musculus	C57BL/6J	M	HET	SYN	26.4	73.2857	UCBJ	25.6	72.2857
sub-E338	Sub9	mus musculus	C57BL/6J	M	HET	SYN	26.9	71.8571	UCBJ	27.7	71.4286
sub-E339	Sub10	mus musculus	C57BL/6J	M	HET	SYN	25.1	71.4286	UCBJ	24.9	72.2857
sub-E341	Sub11	mus musculus	C57BL/6J	M	HET	SYN	26.7	73.5714	UCBJ	27.8	72.1429
sub-E342	Sub12	mus musculus	C57BL/6J	M	HET	SYN	28.9	73.1429	UCBJ	28.6	71.7143
sub-E343	Sub13	mus musculus	C57BL/6J	M	HET	SYN	25.6	71.5714	UCBJ	24.3	74.2857
sub-E344	Sub14	mus musculus	C57BL/6J	M	HET	SYN	25	71.5714	UCBJ	24.9	72.2857
sub-E345	Sub15	mus musculus	C57BL/6J	M	HET	SYN	27	73.8571	UCBJ	27.3	73.4286
sub-E348	Sub16	mus musculus	C57BL/6J	M	HET	SYN	26.5	72.4286	UCBJ	26.8	72
sub-E349	Sub17	mus musculus	C57BL/6J	M	HET	SYN	26.3	70	UCBJ	26.2	69.7143
sub-E350	Sub18	mus musculus	C57BL/6J	M	HET	SYN	26.4	69.1429	UCBJ	26.2	69.7143
sub-E351	Sub19	mus musculus	C57BL/6J	M	HET	SYN	27	70	UCBJ	27.8	69.7143
sub-E352	Sub20	mus musculus	C57BL/6J	M	HET	SYN	28.2	70	UCBJ	29.1	69.7143
sub-E353	Sub21	mus musculus	C57BL/6J	M	WT	SYN	33	73.1429	UCBJ	33.1	72.1429
sub-E354	Sub22	mus musculus	C57BL/6J	M	WT	SYN	33.8	73.2857	UCBJ	32.6	72.2857
sub-E355	Sub23	mus musculus	C57BL/6J	M	WT	SYN	38.5	73.1429	UCBJ	37.6	72.1429
sub-E356	Sub24	mus musculus	C57BL/6J	M	WT	SYN	41.9	73	UCBJ	42.4	73.8571
sub-E357	Sub25	mus musculus	C57BL/6J	M	WT	SYN	34.8	73.2857	UCBJ	34.2	72.2857
sub-E358	Sub26	mus musculus	C57BL/6J	M	WT	SYN	36.8	74.4286	UCBJ	37.3	72.2857
sub-E359	Sub27	mus musculus	C57BL/6J	M	WT	SYN	36.9	73.2857	UCBJ	38.2	72.2857
sub-E360	Sub28	mus musculus	C57BL/6J	M	WT	SYN	40.4	73	UCBJ	40.4	73.8571
sub-E361	Sub29	mus musculus	C57BL/6J	M	WT	SYN	35.3	74.4286	UCBJ	35	72.2857
sub-E362	Sub30	mus musculus	C57BL/6J	M	WT	SYN	32.1	73.2857	UCBJ	31.9	72.2857
sub-E363	Sub31	mus musculus	C57BL/6J	M	WT	SYN	37.9	74.1429	UCBJ	39	73.7143
sub-E365	Sub32	mus musculus	C57BL/6J	M	WT	SYN	32.5	71.4286	UCBJ	32.1	72.1429
sub-E366	Sub33	mus musculus	C57BL/6J	M	WT	SYN	40.9	72.5714	UCBJ	40.7	72.1429
sub-E368	Sub34	mus musculus	C57BL/6J	M	WT	SYN	41.7	74.1429	UCBJ	42.5	73.7143
sub-E369	Sub35	mus musculus	C57BL/6J	M	WT	SYN	45.4	73.8571	UCBJ	45.8	73.4286
sub-E371	Sub36	mus musculus	C57BL/6J	M	WT	SYN	37.7	73.1429	UCBJ	37.9	72.1429
sub-E374	Sub37	mus musculus	C57BL/6J	M	WT	SYN	46.2	70.1429	UCBJ	46.7	69.8571
sub-E375	Sub38	mus musculus	C57BL/6J	M	WT	SYN	42.4	70	UCBJ	43.9	69.7143
sub-E376	Sub39	mus musculus	C57BL/6J	M	WT	SYN	33.6	70.5714	UCBJ	34.5	70.2857
