onset	duration	value	sample
0.414	0.0	7	414
0.529	0.0	92	529
1.815	0.0	10	1815
1.931	0.0	92	1931
3.217	0.0	3	3217
3.333	0.0	92	3333
4.619	0.0	3	4619
4.736	0.0	92	4736
6.021	0.0	91	6021
7.569	0.0	94	7569
8.875	0.0	9	8875
8.991	0.0	92	8991
10.277	0.0	9	10277
10.393	0.0	92	10393
11.679	0.0	6	11679
11.796	0.0	92	11796
13.081	0.0	5	13081
13.197	0.0	92	13197
14.483	0.0	5	14483
14.599	0.0	92	14599
15.885	0.0	91	15885
16.21	0.0	93	16210
17.504	0.0	1	17504
17.619	0.0	92	17619
18.906	0.0	2	18906
19.021	0.0	92	19021
20.307	0.0	8	20307
20.423	0.0	92	20423
21.709	0.0	8	21709
21.826	0.0	92	21826
23.111	0.0	91	23111
23.764	0.0	93	23764
25.064	0.0	9	25064
25.179	0.0	92	25179
26.466	0.0	4	26466
26.581	0.0	92	26581
27.868	0.0	6	27868
27.983	0.0	92	27983
29.27	0.0	91	29270
30.433	0.0	94	30433
31.74	0.0	9	31740
31.856	0.0	92	31856
33.141	0.0	4	33141
33.257	0.0	92	33257
34.543	0.0	5	34543
34.659	0.0	92	34659
35.945	0.0	2	35945
36.061	0.0	92	36061
37.347	0.0	6	37347
37.463	0.0	92	37463
38.749	0.0	91	38749
39.669	0.0	94	39669
40.969	0.0	9	40969
41.084	0.0	92	41084
42.371	0.0	5	42371
42.486	0.0	92	42486
43.772	0.0	10	43772
43.888	0.0	92	43888
45.174	0.0	1	45174
45.29	0.0	92	45290
46.576	0.0	4	46576
46.692	0.0	92	46692
47.978	0.0	91	47978
48.903	0.0	94	48903
50.198	0.0	10	50198
50.313	0.0	92	50313
51.6	0.0	3	51600
51.715	0.0	92	51715
53.001	0.0	3	53001
53.117	0.0	92	53117
54.403	0.0	91	54403
55.949	0.0	94	55949
57.257	0.0	8	57257
57.373	0.0	92	57373
58.658	0.0	1	58658
58.776	0.0	92	58776
60.061	0.0	8	60061
60.177	0.0	92	60177
61.463	0.0	3	61463
61.579	0.0	92	61579
62.865	0.0	91	62865
64.062	0.0	93	64062
65.368	0.0	1	65368
65.484	0.0	92	65484
66.77	0.0	2	66770
66.886	0.0	92	66886
68.172	0.0	1	68172
68.288	0.0	92	68288
69.574	0.0	91	69574
70.503	0.0	93	70503
71.81	0.0	10	71810
71.926	0.0	92	71926
73.212	0.0	4	73212
73.328	0.0	92	73328
74.614	0.0	5	74614
74.73	0.0	92	74730
76.016	0.0	91	76016
79.12	0.0	7	79120
79.236	0.0	92	79236
80.522	0.0	6	80522
80.638	0.0	92	80638
81.924	0.0	1	81924
82.04	0.0	92	82040
83.326	0.0	2	83326
83.441	0.0	92	83441
84.728	0.0	91	84728
86.225	0.0	94	86225
87.532	0.0	6	87532
87.647	0.0	92	87647
88.933	0.0	2	88933
89.049	0.0	92	89049
90.335	0.0	4	90335
90.451	0.0	92	90451
91.737	0.0	91	91737
94.841	0.0	10	94841
94.957	0.0	92	94957
96.243	0.0	1	96243
96.359	0.0	92	96359
97.645	0.0	8	97645
97.761	0.0	92	97761
99.047	0.0	91	99047
99.73	0.0	94	99730
101.033	0.0	6	101033
101.149	0.0	92	101149
102.435	0.0	1	102435
102.551	0.0	92	102551
103.837	0.0	2	103837
103.953	0.0	92	103953
105.239	0.0	4	105239
105.354	0.0	92	105354
106.64	0.0	3	106640
106.756	0.0	92	106756
108.042	0.0	91	108042
108.403	0.0	93	108403
109.711	0.0	6	109711
109.828	0.0	92	109828
111.113	0.0	6	111113
111.23	0.0	92	111230
112.515	0.0	3	112515
112.631	0.0	92	112631
113.951	0.0	3	113951
114.066	0.0	92	114066
115.352	0.0	91	115352
115.971	0.0	94	115971
117.272	0.0	9	117272
117.387	0.0	92	117387
118.674	0.0	5	118674
118.79	0.0	92	118790
120.075	0.0	4	120075
120.191	0.0	92	120191
121.477	0.0	7	121477
121.593	0.0	92	121593
122.879	0.0	7	122879
122.995	0.0	92	122995
124.281	0.0	91	124281
126.08	0.0	93	126080
127.385	0.0	2	127385
127.501	0.0	92	127501
128.787	0.0	6	128787
128.903	0.0	92	128903
130.189	0.0	10	130189
130.305	0.0	92	130305
131.591	0.0	7	131591
131.707	0.0	92	131707
132.993	0.0	7	132993
133.109	0.0	92	133109
134.395	0.0	91	134395
135.952	0.0	93	135952
137.249	0.0	8	137249
137.364	0.0	92	137364
138.651	0.0	5	138651
138.766	0.0	92	138766
140.052	0.0	5	140052
140.169	0.0	92	140169
141.454	0.0	8	141454
141.57	0.0	92	141570
142.856	0.0	8	142856
142.972	0.0	92	142972
144.258	0.0	91	144258
145.031	0.0	93	145031
146.328	0.0	10	146328
146.443	0.0	92	146443
147.729	0.0	8	147729
147.846	0.0	92	147846
149.131	0.0	5	149131
149.247	0.0	92	149247
150.533	0.0	4	150533
150.649	0.0	92	150649
151.935	0.0	4	151935
152.051	0.0	92	152051
153.337	0.0	91	153337
154.484	0.0	93	154484
155.79	0.0	9	155790
155.907	0.0	92	155907
228.756	0.0	6	228756
228.872	0.0	92	228872
230.157	0.0	9	230157
230.274	0.0	92	230274
231.559	0.0	4	231559
231.675	0.0	92	231675
232.961	0.0	1	232961
233.077	0.0	92	233077
234.363	0.0	6	234363
234.479	0.0	92	234479
235.765	0.0	91	235765
236.523	0.0	94	236523
237.818	0.0	2	237818
237.934	0.0	92	237934
239.22	0.0	9	239220
239.335	0.0	92	239335
240.622	0.0	1	240622
240.737	0.0	92	240737
242.024	0.0	4	242024
242.139	0.0	92	242139
243.425	0.0	4	243425
243.541	0.0	92	243541
244.827	0.0	91	244827
245.984	0.0	93	245984
247.281	0.0	6	247281
247.396	0.0	92	247396
248.683	0.0	3	248683
248.798	0.0	92	248798
250.084	0.0	4	250084
250.2	0.0	92	250200
