onset	duration	value	sample
27.138	0.0	3	27138
27.249	0.0	92	27249
28.502	0.0	8	28502
28.618	0.0	92	28618
29.871	0.0	4	29871
29.986	0.0	92	29986
31.238	0.0	91	31238
32.138	0.0	94	32138
33.425	0.0	5	33425
33.541	0.0	92	33541
34.794	0.0	10	34794
34.909	0.0	92	34909
36.162	0.0	2	36162
36.278	0.0	92	36278
37.531	0.0	2	37531
37.647	0.0	92	37647
38.899	0.0	91	38899
39.577	0.0	93	39577
40.869	0.0	10	40869
40.984	0.0	92	40984
42.237	0.0	2	42237
42.354	0.0	92	42354
43.606	0.0	6	43606
43.722	0.0	92	43722
44.974	0.0	91	44974
46.163	0.0	94	46163
47.444	0.0	7	47444
47.56	0.0	92	47560
48.813	0.0	9	48813
48.928	0.0	92	48928
50.181	0.0	9	50181
50.297	0.0	92	50297
51.55	0.0	8	51550
51.666	0.0	92	51666
52.918	0.0	8	52918
53.035	0.0	92	53035
54.304	0.0	91	54304
55.983	0.0	94	55983
57.274	0.0	3	57274
57.391	0.0	92	57391
58.643	0.0	8	58643
58.759	0.0	92	58759
60.028	0.0	2	60028
60.144	0.0	92	60144
61.397	0.0	91	61397
62.296	0.0	94	62296
63.583	0.0	4	63583
63.699	0.0	92	63699
64.952	0.0	3	64952
65.068	0.0	92	65068
66.336	0.0	6	66336
66.452	0.0	92	66452
67.721	0.0	2	67721
67.837	0.0	92	67837
69.09	0.0	91	69090
69.598	0.0	94	69598
70.876	0.0	9	70876
70.992	0.0	92	70992
72.244	0.0	9	72244
72.361	0.0	92	72361
73.613	0.0	8	73613
73.729	0.0	92	73729
74.981	0.0	8	74981
75.097	0.0	92	75097
76.351	0.0	91	76351
76.747	0.0	93	76747
78.036	0.0	10	78036
78.152	0.0	92	78152
79.405	0.0	2	79405
79.521	0.0	92	79521
80.793	0.0	5	80793
80.905	0.0	92	80905
82.158	0.0	91	82158
83.113	0.0	94	83113
84.394	0.0	5	84394
84.51	0.0	92	84510
85.763	0.0	4	85763
85.878	0.0	92	85878
87.131	0.0	5	87131
87.247	0.0	92	87247
88.5	0.0	1	88500
88.615	0.0	92	88615
89.868	0.0	1	89868
89.984	0.0	92	89984
91.237	0.0	91	91237
91.9	0.0	93	91900
93.189	0.0	1	93189
93.305	0.0	92	93305
94.558	0.0	4	94558
94.674	0.0	92	94674
95.943	0.0	8	95943
