onset	duration	value	sample
0.397	0.0	1	397
0.513	0.0	92	513
1.782	0.0	91	1782
2.212	0.0	93	2212
3.518	0.0	10	3518
3.634	0.0	92	3634
4.903	0.0	5	4903
5.02	0.0	92	5020
6.289	0.0	6	6289
6.404	0.0	92	6404
7.674	0.0	91	7674
9.12	0.0	95	9120
10.427	0.0	2	10427
10.543	0.0	92	10543
11.813	0.0	2	11813
11.929	0.0	92	11929
13.198	0.0	9	13198
13.314	0.0	92	13314
14.583	0.0	8	14583
14.699	0.0	92	14699
15.968	0.0	8	15968
16.084	0.0	92	16084
17.353	0.0	91	17353
18.036	0.0	95	18036
19.339	0.0	7	19339
19.455	0.0	92	19455
20.724	0.0	5	20724
20.84	0.0	92	20840
22.11	0.0	8	22110
22.226	0.0	92	22226
23.495	0.0	6	23495
23.611	0.0	92	23611
24.88	0.0	91	24880
26.388	0.0	95	26388
27.684	0.0	10	27684
27.8	0.0	92	27800
29.069	0.0	2	29069
29.185	0.0	92	29185
30.455	0.0	6	30455
30.57	0.0	92	30570
31.84	0.0	91	31840
34.927	0.0	9	34927
35.043	0.0	92	35043
36.312	0.0	5	36312
36.428	0.0	92	36428
37.698	0.0	9	37698
37.813	0.0	92	37813
39.083	0.0	1	39083
39.198	0.0	92	39198
40.468	0.0	1	40468
40.584	0.0	92	40584
41.853	0.0	91	41853
42.485	0.0	95	42485
43.772	0.0	8	43772
43.888	0.0	92	43888
45.158	0.0	1	45158
45.273	0.0	92	45273
46.543	0.0	1	46543
46.658	0.0	92	46658
47.928	0.0	91	47928
49.4	0.0	95	49400
50.698	0.0	1	50698
50.814	0.0	92	50814
52.084	0.0	7	52084
52.199	0.0	92	52199
53.469	0.0	4	53469
53.585	0.0	92	53585
54.854	0.0	91	54854
57.958	0.0	5	57958
58.074	0.0	92	58074
59.342	0.0	7	59342
59.459	0.0	92	59459
60.729	0.0	7	60729
60.844	0.0	92	60844
62.114	0.0	7	62114
62.23	0.0	92	62230
63.499	0.0	91	63499
64.391	0.0	95	64391
65.669	0.0	10	65669
65.784	0.0	92	65784
67.053	0.0	8	67053
67.17	0.0	92	67170
68.439	0.0	7	68439
68.555	0.0	92	68555
69.824	0.0	2	69824
69.94	0.0	92	69940
71.21	0.0	1	71210
71.325	0.0	92	71325
72.595	0.0	91	72595
75.682	0.0	7	75682
75.798	0.0	92	75798
77.067	0.0	4	77067
77.183	0.0	92	77183
78.452	0.0	9	78452
78.568	0.0	92	78568
79.838	0.0	5	79838
79.954	0.0	92	79954
81.223	0.0	3	81223
81.34	0.0	92	81340
82.608	0.0	91	82608
82.904	0.0	93	82904
84.194	0.0	1	84194
84.309	0.0	92	84309
85.579	0.0	8	85579
85.695	0.0	92	85695
86.964	0.0	4	86964
87.08	0.0	92	87080
88.349	0.0	7	88349
88.465	0.0	92	88465
89.735	0.0	4	89735
89.85	0.0	92	89850
91.12	0.0	91	91120
91.882	0.0	93	91882
93.173	0.0	9	93173
93.288	0.0	92	93288
94.558	0.0	6	94558
94.673	0.0	92	94673
95.943	0.0	8	95943
96.06	0.0	92	96060
97.328	0.0	4	97328
97.444	0.0	92	97444
98.713	0.0	91	98713
99.622	0.0	93	99622
100.916	0.0	10	100916
101.033	0.0	92	101033
102.302	0.0	10	102302
102.418	0.0	92	102418
103.687	0.0	3	103687
103.802	0.0	92	103802
105.072	0.0	2	105072
105.188	0.0	92	105188
106.457	0.0	91	106457
107.376	0.0	93	107376
108.677	0.0	5	108677
108.792	0.0	92	108792
110.062	0.0	5	110062
110.178	0.0	92	110178
111.447	0.0	2	111447
111.563	0.0	92	111563
112.832	0.0	1	112832
112.948	0.0	92	112948
114.218	0.0	91	114218
114.759	0.0	95	114759
116.053	0.0	10	116053
116.169	0.0	92	116169
117.439	0.0	10	117439
117.554	0.0	92	117554
118.824	0.0	6	118824
118.94	0.0	92	118940
120.209	0.0	2	120209
120.325	0.0	92	120325
121.593	0.0	7	121593
121.71	0.0	92	121710
122.979	0.0	91	122979
124.161	0.0	95	124161
125.466	0.0	3	125466
125.582	0.0	92	125582
126.851	0.0	3	126851
126.967	0.0	92	126967
128.236	0.0	2	128236
128.352	0.0	92	128352
129.621	0.0	4	129621
129.737	0.0	92	129737
