onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
259.5	1.5	3	3	Switch	Inc	0	1	Physical	0.583	0.385
267	1.5	3	3	Repeat	Con	10	1	Physical	0.446	0.381
274.5	1.5	3	3	Repeat	Con	10	1	Physical	0.426	0.428
282	1.5	3	3	Repeat	Con	10	1	Physical	0.313	0.39
289.5	1.5	3	3	Switch	Inc	0	1	Number	0.34	0.384
297	1.5	3	3	Repeat	Con	10	1	Number	0.298	0.363
304.5	1.5	3	3	Switch	Con	10	1	Physical	0.329	0.345
312	1.5	3	3	Switch	Inc	0	1	Number	0.546	0.404
319.5	1.5	3	3	Repeat	Inc	0	1	Number	0.512	0.467
327	1.5	3	3	Switch	Inc	0	1	Physical	0.489	1.175
334.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.303	0.36
342	1.5	3	3	Repeat	Inc	10	1	Physical	0.298	0.389
349.5	1.5	3	3	Switch	Inc	0	1	Number	1.253	0.62
357	1.5	3	3	Repeat	Con	0	1	Number	0.954	0.454
364.5	1.5	3	3	Switch	Inc	0	0	Physical	0.418	0.596
372	1.5	3	3	Repeat	Inc	0	1	Physical	0.508	0.363
379.5	1.5	3	3	Switch	Con	0	1	Number	0.28	0.602
387	1.5	3	7.5	Repeat	Con	10	1	Number	0.459	0.389
399	1.5	3	3	Switch	Inc	0	1	Physical	0.381	0.537
406.5	1.5	3	3	Repeat	Con	10	1	Physical	0.905	0.372
414	1.5	3	3	Repeat	Inc	0	1	Physical	0.775	0.645
421.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.362	0.426
429	1.5	3	3	Repeat	Con	0	1	Physical	0.373	0.352
436.5	1.5	3	3	Switch	Inc	10	1	Number	0.349	0.485
444	1.5	3	3	Repeat	Con	0	1	Number	0.278	0.37
451.5	1.5	3	3	Switch	Inc	0	0	Physical	0.41	0.41
459	1.5	3	3	Repeat	Inc	0	1	Physical	0.45	0.406
466.5	1.5	3	3	Repeat	Con	0	1	Physical	0.372	0.367
474	1.5	3	3	Repeat	Inc	0	1	Physical	0.616	0.525
481.5	1.5	3	3	Switch	Inc	0	1	Number	0.392	0.48
489	1.5	3	3	Repeat	Inc	0	1	Number	0.653	0.432
0	1.5	4	3	Repeat	Inc	0	0	Number	0.654	0.366
7.5	1.5	4	3	Repeat	Inc	10	1	Number	0.324	0.431
15	1.5	4	3	Switch	Inc	10	1	Physical	0.363	0.38
22.5	1.5	4	3	Repeat	Inc	0	1	Physical	0.389	0.577
30	1.5	4	3	Switch	Con	0	1	Number	0.318	0.433
37.5	1.5	4	3	Repeat	Con	10	1	Number	0.336	0.426
45	1.5	4	3	Repeat	Inc	0	1	Number	0.34	0.6
52.5	1.5	4	3	Repeat	Inc	0	1	Number	0.403	0.457
60	1.5	4	3	Switch	Inc	10	1	Physical	0.369	0.351
67.5	1.5	4	4.5	Repeat	Inc	0	1	Physical	0.401	0.567
76.5	1.5	4	3	Switch	Con	10	1	Number	0.383	0.368
84	1.5	4	6	Switch	Con	0	1	Physical	0.367	0.709
94.5	1.5	4	3	Switch	Inc	0	1	Number	0.344	0.414
102	1.5	4	3	Switch	Con	10	1	Physical	0.397	0.42
109.5	1.5	4	3	Repeat	Con	0	1	Physical	0.765	0.498
117	1.5	4	3	Null	Inc	0	0	NoChoice	0	0.742
124.5	1.5	4	4.5	Switch	Con	0	1	Number	0.453	0.414
133.5	1.5	4	3	Switch	Inc	0	0	Physical	0.371	0.517
141	1.5	4	3	Repeat	Con	0	1	Physical	0.343	0.419
148.5	1.5	4	3	Repeat	Con	0	1	Physical	0.388	0.404
156	1.5	4	3	Repeat	Con	0	1	Physical	0.329	0.32
163.5	1.5	4	3	Repeat	Inc	10	1	Physical	0.382	0.421
171	1.5	4	3	Switch	Con	10	1	Number	0.316	0.376
178.5	1.5	4	3	Repeat	Inc	0	0	Number	0.342	0.388
186	1.5	4	3	Repeat	Con	0	1	Number	0.359	0.461
193.5	1.5	4	3	Repeat	Con	10	1	Number	0.612	0.46
201	1.5	4	3	Switch	Inc	0	1	Physical	0.395	0.408
208.5	1.5	4	3	Repeat	Inc	0	1	Physical	0.344	0.498
216	1.5	4	3	Repeat	Con	10	1	Physical	0.324	0.362
223.5	1.5	4	3	Switch	Inc	10	1	Number	0.352	0.458
231	1.5	4	3	Switch	Con	0	1	Physical	0.358	0.384
238.5	1.5	4	3	Repeat	Con	10	1	Physical	0.302	0.407
246	1.5	4	3	Switch	Con	10	1	Number	0.372	0.498
253.5	1.5	4	3	Repeat	Con	0	1	Number	0.336	0.431
