onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	NumberMatching	1056	1	D7_1	N3	b
11.984	2	NumberMatching	1536	1	D9_1	N5	b
15.5	2	NumberMatching	1492	1	N4	D4_1	c
19.484	2	NumberMatching	1004	1	D3_2	N3	c
22.484	2	NumberMatching	1204	1	D3_1	N7	b
26.484	2	NumberMatching	1356	1	D5_2	N5	c
38.484	2	NumberMatching	1876	1	N6	D6_1	c
42.484	2	NumberMatching	1028	1	N2	D2_1	c
45.984	2	NumberMatching	2432	0	D5_1	N7	b
48.984	2	NumberMatching	1616	0	D7_2	N7	c
52.984	2	NumberMatching	1432	1	D1_1	N3	b
56.484	2	NumberMatching	1436	1	N2	D6_2	b
73.984	2	ShapeMatching	712	1	S6	S6	c
77.484	2	ShapeMatching	756	1	S9	S9	c
80.484	2	ShapeMatching	932	1	S2	S9	b
84.484	2	ShapeMatching	1036	1	S8	S6	b
87.484	2	ShapeMatching	892	1	S4	S2	b
90.984	2	ShapeMatching	944	1	S5	S3	b
103.484	2	FaceMatching	1804	0	Stim3_LargeDistance	Stim3_LargeDistance	c
106.5	2	FaceMatching	1876	0	Stim1_LargeDistance	Stim1_LargeDistance	c
110.0	2	FaceMatching	1408	1	Stim9_LargeDistance	Stim9_LargeDistance	c
114.0	2	FaceMatching	1408	0	Stim8_LargeDistance	Stim8_LargeDistance	c
117.5	2	FaceMatching	1596	1	Stim9_Base	Stim9_SmallDistance	b
121.5	2	FaceMatching	1436	0	Stim3_LargeDistance	Stim3_Base	b
138.984	2	FaceMatching	1360	1	Stim8_Base	Stim8_SmallDistance	b
143.0	2	FaceMatching	1808	1	Stim4_LargeDistance	Stim4_Base	b
146.5	2	FaceMatching	1732	1	Stim6_Base	Stim6_SmallDistance	b
149.5	2	FaceMatching	1956	1	Stim7_LargeDistance	Stim7_LargeDistance	c
153.5	2	FaceMatching	1756	1	Stim2_LargeDistance	Stim2_Base	b
156.5	2	FaceMatching	1556	1	Stim6_LargeDistance	Stim6_LargeDistance	c
168.484	2	ShapeMatching	1580	0	S7	S7	c
172.484	2	ShapeMatching	724	1	S4	S4	c
175.484	2	ShapeMatching	940	1	S5	S5	c
178.984	2	ShapeMatching	1008	1	S6	S4	b
182.984	2	ShapeMatching	944	1	S1	S8	b
185.984	2	ShapeMatching	1504	1	S7	S5	b
203.984	2	FaceMatching	1768	0	Stim5_LargeDistance	Stim5_LargeDistance	c
207.0	2	FaceMatching	1592	1	Stim5_LargeDistance	Stim5_Base	b
211.0	2	FaceMatching	2112	1	Stim1_LargeDistance	Stim1_Base	b
214.484	2	FaceMatching	1644	1	Stim7_Base	Stim7_SmallDistance	b
217.5	2	FaceMatching	1444	1	Stim2_LargeDistance	Stim2_LargeDistance	c
221.0	2	FaceMatching	2096	0	Stim4_LargeDistance	Stim4_LargeDistance	c
236.484	2	NumberMatching	1132	1	N4	D2_2	b
239.984	2	NumberMatching	1392	1	N6	D9_2	b
242.984	2	NumberMatching	2128	0	D9_2	N9	c
246.984	2	NumberMatching	1112	1	D1_2	N1	c
249.984	2	NumberMatching	1856	1	N8	D6_2	b
253.484	2	NumberMatching	0	0	N8	D8_1	c
268.984	2	ShapeMatching	1032	1	S2	S2	c
272.484	2	ShapeMatching	1108	1	S1	S1	c
275.484	2	ShapeMatching	916	1	S3	S3	c
279.484	2	ShapeMatching	900	1	S3	S1	b
282.984	2	ShapeMatching	1049	1	S9	S7	b
285.984	2	ShapeMatching	1008	1	S8	S8	c
