onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	LargeProblem	1969	1	9	5	16
11.984	4.5	LargeProblem	1644	1	7	5	12
18.8	4.5	LargeProblem	4044	1	8	3	13
24.484	4.5	LargeProblem	1664	0	3	9	13
30.984	4.5	LargeProblem	2324	0	7	4	11
36.984	4.5	LargeProblem	4388	1	6	7	14
54.484	4.5	LargeProblem	5064	0	8	6	14
60.467	4.5	LargeProblem	2897	1	2	9	11
66.984	4.5	LargeProblem	3140	0	9	4	14
72.484	4.5	LargeProblem	1456	1	5	6	13
78.984	4.5	LargeProblem	1572	1	4	8	12
84.984	4.5	LargeProblem	3020	0	5	8	13
96.484	4.5	Plus1	2160	1	9	1	12
102.984	4.5	Plus1	1628	1	3	1	5
108.984	4.5	Plus1	1436	1	6	1	7
114.484	4.5	Plus1	1544	1	4	1	6
120.984	4.5	Plus1	1580	1	8	1	9
126.484	4.5	Plus1	1648	1	7	1	8
138.484	4.5	SmallProblem	2424	0	2	5	8
144.984	4.5	SmallProblem	2396	1	2	3	5
150.484	4.5	SmallProblem	3832	1	6	2	8
156.484	4.5	SmallProblem	1688	1	3	6	9
162.984	4.5	SmallProblem	1332	0	8	2	11
168.984	4.5	SmallProblem	3236	1	7	3	12
186.484	4.5	Plus1	1552	1	7	1	9
192.984	4.5	Plus1	1364	1	4	1	5
198.484	4.5	Plus1	1408	1	2	1	3
204.484	4.5	Plus1	1312	1	3	1	4
209.984	4.5	Plus1	1700	1	8	1	11
215.984	4.5	Plus1	1740	1	5	1	8
234.484	4.5	SmallProblem	2320	1	6	4	10
240.484	4.5	SmallProblem	3416	1	5	3	8
246.984	4.5	SmallProblem	0	0	3	4	9
252.484	4.5	SmallProblem	2328	0	4	2	8
258.984	4.5	SmallProblem	3612	1	2	7	9
264.484	4.5	SmallProblem	3248	1	4	5	10
