onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.532	fixation_cross	0	0	 0.000
 4.522	 0.799	pres	1	0	 2147483.647
 5.321	 1.528	resp	0	0	 0.000
 6.849	 0.666	jitter	0	0	 0.000
 7.515	 0.532	fixation_cross	0	0	 0.000
 8.047	 0.798	pres	1	0	 2147483.647
 8.845	 1.529	resp	0	0	 0.000
 10.374	 0.732	jitter	0	0	 0.000
 11.106	 0.531	fixation_cross	0	0	 0.000
 11.637	 0.799	pres	1	0	 2147483.647
 12.436	 1.530	resp	0	0	 0.000
 13.966	 0.930	jitter	0	0	 0.000
 14.896	 0.532	fixation_cross	0	0	 0.000
 15.428	 0.799	pres	1	0	 2147483.647
 16.227	 1.529	resp	0	0	 0.000
 17.756	 0.665	jitter	0	0	 0.000
 18.421	 0.532	fixation_cross	0	0	 0.000
 18.953	 0.798	pres	1	0	 2147483.647
 19.751	 1.529	resp	0	0	 0.000
 21.280	 0.931	jitter	0	0	 0.000
 22.211	 0.533	fixation_cross	0	0	 0.000
 22.744	 0.797	pres	1	0	 2147483.647
 23.541	 1.530	resp	0	0	 0.000
 25.071	 0.532	jitter	0	0	 0.000
 25.603	 0.532	fixation_cross	0	0	 0.000
 26.135	 0.798	pres	1	0	 2147483.647
 26.933	 1.529	resp	0	0	 0.000
 28.462	 0.532	jitter	0	0	 0.000
 28.994	 0.533	fixation_cross	0	0	 0.000
 29.527	 0.798	pres	1	0	 2147483.647
 30.325	 1.529	resp	0	0	 0.000
 31.854	 1.064	jitter	0	0	 0.000
 32.918	 0.532	fixation_cross	0	0	 0.000
 33.450	 0.798	pres	1	0	 2147483.647
 34.248	 1.529	resp	0	0	 0.000
 35.777	 1.064	jitter	0	0	 0.000
 36.841	 0.532	fixation_cross	0	0	 0.000
 37.373	 0.798	pres	1	0	 2147483.647
 38.171	 1.530	resp	0	0	 0.000
 39.701	 0.731	jitter	0	0	 0.000
 40.432	 0.533	fixation_cross	0	0	 0.000
 40.965	 0.797	pres	1	0	 2147483.647
 41.762	 1.530	resp	0	0	 0.000
 43.292	 0.533	jitter	0	0	 0.000
 43.825	 0.531	fixation_cross	0	0	 0.000
 44.356	 0.798	pres	1	0	 2147483.647
 45.154	 1.530	resp	0	0	 0.000
 46.684	 0.930	jitter	0	0	 0.000
 47.614	 0.533	fixation_cross	0	0	 0.000
 48.147	 0.797	pres	1	0	 2147483.647
 48.944	 1.530	resp	0	0	 0.000
 50.474	 0.864	jitter	0	0	 0.000
 51.338	 0.532	fixation_cross	0	0	 0.000
 51.870	 0.798	pres	1	0	 2147483.647
 52.668	 1.530	resp	0	0	 0.000
 54.198	 1.064	jitter	0	0	 0.000
 55.262	 0.532	fixation_cross	0	0	 0.000
 55.794	 0.797	pres	1	0	 2147483.647
 56.591	 1.531	resp	0	0	 0.000
 58.122	 0.864	jitter	0	0	 0.000
 58.986	 0.532	fixation_cross	0	0	 0.000
 59.518	 0.797	pres	1	0	 2147483.647
 60.315	 1.530	resp	0	0	 0.000
 61.845	 0.865	jitter	0	0	 0.000
 62.710	 0.532	fixation_cross	0	0	 0.000
 63.242	 0.798	pres	1	0	 2147483.647
 64.040	 1.529	resp	0	0	 0.000
 65.569	 0.732	jitter	0	0	 0.000
 66.301	 0.532	fixation_cross	0	0	 0.000
 66.833	 0.797	pres	1	0	 2147483.647
 67.630	 1.530	resp	0	0	 0.000
 69.160	 0.665	jitter	0	0	 0.000
