onset	duration	trial_type	expected_response	given_response	response_time
 182.142	 0.533	fixation_cross	0	0	 0.000
 182.675	 0.798	pres	1	0	 2147483.647
 183.473	 1.530	resp	0	0	 0.000
 185.003	 0.664	jitter	0	0	 0.000
 185.667	 0.532	fixation_cross	0	0	 0.000
 186.199	 0.798	pres	1	0	 2147483.647
 186.997	 1.529	resp	0	0	 0.000
 188.526	 1.065	jitter	0	0	 0.000
 189.591	 0.532	fixation_cross	0	0	 0.000
 190.123	 0.798	pres	1	0	 2147483.647
 190.921	 1.529	resp	0	0	 0.000
 192.450	 1.064	jitter	0	0	 0.000
 193.514	 0.532	fixation_cross	0	0	 0.000
 194.046	 0.798	pres	1	0	 2147483.647
 194.844	 1.530	resp	0	0	 0.000
 196.374	 0.731	jitter	0	0	 0.000
 197.105	 0.532	fixation_cross	0	0	 0.000
 197.637	 0.798	pres	1	0	 2147483.647
 198.435	 1.529	resp	0	0	 0.000
 199.964	 0.533	jitter	0	0	 0.000
 200.497	 0.532	fixation_cross	0	0	 0.000
 201.029	 0.797	pres	1	0	 2147483.647
 201.826	 1.530	resp	0	0	 0.000
 203.356	 0.931	jitter	0	0	 0.000
 204.287	 0.532	fixation_cross	0	0	 0.000
 204.819	 0.798	pres	1	0	 2147483.647
 205.617	 1.530	resp	0	0	 0.000
 207.147	 0.531	jitter	0	0	 0.000
 207.678	 0.533	fixation_cross	0	0	 0.000
 208.211	 0.798	pres	1	0	 2147483.647
 209.009	 1.529	resp	0	0	 0.000
 210.538	 0.865	jitter	0	0	 0.000
 211.403	 0.532	fixation_cross	0	0	 0.000
 211.935	 0.798	pres	1	0	 2147483.647
 212.733	 1.529	resp	0	0	 0.000
 214.262	 0.865	jitter	0	0	 0.000
 215.127	 0.531	fixation_cross	0	0	 0.000
 215.658	 0.799	pres	1	0	 2147483.647
 216.457	 1.529	resp	0	0	 0.000
 217.986	 0.665	jitter	0	0	 0.000
 218.651	 0.532	fixation_cross	0	0	 0.000
 219.183	 0.798	pres	1	0	 2147483.647
 219.981	 1.530	resp	0	0	 0.000
 221.511	 0.532	jitter	0	0	 0.000
 222.043	 0.532	fixation_cross	0	0	 0.000
 222.575	 0.797	pres	1	0	 2147483.647
 223.372	 1.530	resp	0	0	 0.000
 224.902	 0.931	jitter	0	0	 0.000
 225.833	 0.532	fixation_cross	0	0	 0.000
 226.365	 0.798	pres	1	0	 2147483.647
 227.163	 1.529	resp	0	0	 0.000
 228.692	 0.732	jitter	0	0	 0.000
 229.424	 9.975	jitter	0	0	 0.000
 239.399	 1.995	instruction	0	0	 0.000
 241.394	 1.995	filler	0	0	 0.000
 243.389	 0.532	fixation_cross	0	0	 0.000
 243.921	 0.798	pres	1	0	 2147483.647
 244.719	 1.530	resp	0	0	 0.000
 246.249	 0.930	jitter	0	0	 0.000
 247.179	 0.533	fixation_cross	0	0	 0.000
 247.712	 0.798	pres	1	0	 2147483.647
 248.510	 1.529	resp	0	0	 0.000
 250.039	 0.665	jitter	0	0	 0.000
 250.704	 0.532	fixation_cross	0	0	 0.000
 251.236	 0.798	pres	1	0	 2147483.647
 252.034	 1.529	resp	0	0	 0.000
 253.563	 0.865	jitter	0	0	 0.000
 254.428	 0.532	fixation_cross	0	0	 0.000
 254.960	 0.798	pres	1	0	 2147483.647
 255.758	 1.530	resp	0	0	 0.000
 257.288	 0.931	jitter	0	0	 0.000
 258.219	 0.531	fixation_cross	0	0	 0.000
 258.750	 0.799	pres	1	0	 2147483.647
 259.549	 1.529	resp	0	0	 0.000
 261.078	 0.732	jitter	0	0	 0.000
 261.810	 0.531	fixation_cross	0	0	 0.000
 262.341	 0.799	pres	1	0	 2147483.647
 263.140	 1.529	resp	0	0	 0.000
 264.669	 0.532	jitter	0	0	 0.000
 265.201	 0.532	fixation_cross	0	0	 0.000
 265.733	 0.798	pres	1	0	 2147483.647
 266.531	 1.529	resp	0	0	 0.000
 268.060	 0.666	jitter	0	0	 0.000
 268.726	 0.532	fixation_cross	0	0	 0.000
 269.258	 0.798	pres	1	0	 2147483.647
 270.056	 1.529	resp	0	0	 0.000
 271.585	 1.064	jitter	0	0	 0.000
 272.649	 0.532	fixation_cross	0	0	 0.000
 273.181	 0.798	pres	1	0	 2147483.647
 273.979	 1.529	resp	0	0	 0.000
 275.508	 0.533	jitter	0	0	 0.000
 276.041	 0.531	fixation_cross	0	0	 0.000
 276.572	 0.799	pres	1	0	 2147483.647
 277.371	 1.529	resp	0	0	 0.000
 278.900	 1.064	jitter	0	0	 0.000
 279.964	 0.532	fixation_cross	0	0	 0.000
 280.496	 0.798	pres	1	0	 2147483.647
 281.294	 1.530	resp	0	0	 0.000
 282.824	 0.930	jitter	0	0	 0.000
 283.754	 0.533	fixation_cross	0	0	 0.000
 284.287	 0.797	pres	1	0	 2147483.647
 285.084	 1.530	resp	0	0	 0.000
 286.614	 0.865	jitter	0	0	 0.000
 287.479	 0.531	fixation_cross	0	0	 0.000
 288.010	 0.799	pres	1	0	 2147483.647
 288.809	 1.529	resp	0	0	 0.000
 290.338	 0.865	jitter	0	0	 0.000
 291.203	 0.531	fixation_cross	0	0	 0.000
 291.734	 0.798	pres	1	0	 2147483.647
 292.532	 1.530	resp	0	0	 0.000
 294.062	 1.063	jitter	0	0	 0.000
 295.125	 0.533	fixation_cross	0	0	 0.000
 295.658	 0.798	pres	1	0	 2147483.647
 296.456	 1.529	resp	0	0	 0.000
 297.985	 0.532	jitter	0	0	 0.000
 298.517	 0.532	fixation_cross	0	0	 0.000
 299.049	 0.799	pres	1	0	 2147483.647
 299.848	 1.528	resp	0	0	 0.000
 301.376	 0.732	jitter	0	0	 0.000
 302.108	 0.532	fixation_cross	0	0	 0.000
 302.640	 0.798	pres	1	0	 2147483.647
 303.438	 1.529	resp	0	0	 0.000
 304.967	 0.666	jitter	0	0	 0.000
 305.633	 0.532	fixation_cross	0	0	 0.000
 306.165	 0.798	pres	1	0	 2147483.647
 306.963	 1.529	resp	0	0	 0.000
 308.492	 0.732	jitter	0	0	 0.000
 309.224	 9.975	jitter	0	0	 0.000
 319.199	 1.995	instruction	0	0	 0.000
 321.194	 1.994	filler	0	0	 0.000
