onset	 duration	 weight	 trial_type
-182.07	 1	 1	 Key1
-182.07	 1	 1	 Key2
4.02	 300	 1	 Rs7
304.66	 3	 1	 Fx
308.22	 4	 1	 Re1
312.24	 300	 1	 Rs8
612.86	 3	 1	 Fx
616.42	 4	 1	 Re2
620.44	 300	 1	 Rs9
921.05	 3	 1	 Fx
924.62	 4	 1	 Re3
928.64	 300	 1	 Rs10
