onset	duration	trial_type	response_time	sample	value
1.3183593750	n/a	UncuedWalking	n/a	675.0000000000	200
1.9218750000	n/a	UncuedWalking	n/a	984.0000000000	100
2.5292968750	n/a	UncuedWalking	n/a	1295.0000000000	200
3.1328125000	n/a	UncuedWalking	n/a	1604.0000000000	100
3.7304687500	n/a	UncuedWalking	n/a	1910.0000000000	200
4.3300781250	n/a	UncuedWalking	n/a	2217.0000000000	100
4.9335937500	n/a	UncuedWalking	n/a	2526.0000000000	200
5.5371093750	n/a	UncuedWalking	n/a	2835.0000000000	100
6.1367187500	n/a	UncuedWalking	n/a	3142.0000000000	200
6.7382812500	n/a	UncuedWalking	n/a	3450.0000000000	100
7.3476562500	n/a	UncuedWalking	n/a	3762.0000000000	200
7.9375000000	n/a	UncuedWalking	n/a	4064.0000000000	100
8.5429687500	n/a	UncuedWalking	n/a	4374.0000000000	200
9.1367187500	n/a	UncuedWalking	n/a	4678.0000000000	100
9.7539062500	n/a	UncuedWalking	n/a	4994.0000000000	200
10.3417968750	n/a	UncuedWalking	n/a	5295.0000000000	100
10.9550781250	n/a	UncuedWalking	n/a	5609.0000000000	200
11.5507812500	n/a	UncuedWalking	n/a	5914.0000000000	100
12.1777343750	n/a	UncuedWalking	n/a	6235.0000000000	200
12.7753906250	n/a	UncuedWalking	n/a	6541.0000000000	100
13.3867187500	n/a	UncuedWalking	n/a	6854.0000000000	200
13.9882812500	n/a	UncuedWalking	n/a	7162.0000000000	100
14.6132812500	n/a	UncuedWalking	n/a	7482.0000000000	200
15.2011718750	n/a	UncuedWalking	n/a	7783.0000000000	100
15.8105468750	n/a	UncuedWalking	n/a	8095.0000000000	200
16.4042968750	n/a	UncuedWalking	n/a	8399.0000000000	100
17.0097656250	n/a	UncuedWalking	n/a	8709.0000000000	200
17.6132812500	n/a	UncuedWalking	n/a	9018.0000000000	100
18.2050781250	n/a	UncuedWalking	n/a	9321.0000000000	200
18.8125000000	n/a	UncuedWalking	n/a	9632.0000000000	100
19.4160156250	n/a	UncuedWalking	n/a	9941.0000000000	200
20.0234375000	n/a	UncuedWalking	n/a	10252.0000000000	100
20.6523437500	n/a	UncuedWalking	n/a	10574.0000000000	200
21.2363281250	n/a	UncuedWalking	n/a	10873.0000000000	100
21.8476562500	n/a	UncuedWalking	n/a	11186.0000000000	200
22.4472656250	n/a	UncuedWalking	n/a	11493.0000000000	100
23.0507812500	n/a	UncuedWalking	n/a	11802.0000000000	200
23.6425781250	n/a	PreferredCadence	n/a	12105.0000000000	114
23.9140625000	n/a	PreferredCadence	n/a	12244.0000000000	444
24.2519531250	n/a	PreferredCadence	n/a	12417.0000000000	201
24.4726562500	n/a	PreferredCadence	n/a	12530.0000000000	251
24.8925781250	n/a	PreferredCadence	n/a	12745.0000000000	101
25.1210937500	n/a	PreferredCadence	n/a	12862.0000000000	151
25.5625000000	n/a	PreferredCadence	n/a	13088.0000000000	201
25.7265625000	n/a	PreferredCadence	n/a	13172.0000000000	251
26.1738281250	n/a	PreferredCadence	n/a	13401.0000000000	101
26.3261718750	n/a	PreferredCadence	n/a	13479.0000000000	151
26.7890625000	n/a	PreferredCadence	n/a	13716.0000000000	201
26.9355468750	n/a	PreferredCadence	n/a	13791.0000000000	251
27.3925781250	n/a	PreferredCadence	n/a	14025.0000000000	101
27.5351562500	n/a	PreferredCadence	n/a	14098.0000000000	151
28.0156250000	n/a	PreferredCadence	n/a	14344.0000000000	201
28.1406250000	n/a	PreferredCadence	n/a	14408.0000000000	251
28.6289062500	n/a	PreferredCadence	n/a	14658.0000000000	101
28.7441406250	n/a	PreferredCadence	n/a	14717.0000000000	151
29.2441406250	n/a	PreferredCadence	n/a	14973.0000000000	201
29.3457031250	n/a	PreferredCadence	n/a	15025.0000000000	251
29.8652343750	n/a	PreferredCadence	n/a	15291.0000000000	101
29.9531250000	n/a	PreferredCadence	n/a	15336.0000000000	151
30.4785156250	n/a	PreferredCadence	n/a	15605.0000000000	201
30.5546875000	n/a	PreferredCadence	n/a	15644.0000000000	251
31.0703125000	n/a	PreferredCadence	n/a	15908.0000000000	101
31.1582031250	n/a	PreferredCadence	n/a	15953.0000000000	151
31.7089843750	n/a	PreferredCadence	n/a	16235.0000000000	201
31.7636718750	n/a	PreferredCadence	n/a	16263.0000000000	251
32.3378906250	n/a	PreferredCadence	n/a	16557.0000000000	101
32.3632812500	n/a	PreferredCadence	n/a	16570.0000000000	151
32.9707031250	n/a	PreferredCadence	n/a	16881.0000000000	251
32.9765625000	n/a	PreferredCadence	n/a	16884.0000000000	201
33.5625000000	n/a	PreferredCadence	n/a	17184.0000000000	101
33.5703125000	n/a	PreferredCadence	n/a	17188.0000000000	151
34.1757812500	n/a	PreferredCadence	n/a	17498.0000000000	201
34.1816406250	n/a	PreferredCadence	n/a	17501.0000000000	251
34.6894531250	n/a	AdvanceTempo	n/a	17761.0000000000	333
34.7714843750	n/a	AdvanceTempo	n/a	17803.0000000000	113
35.2421875000	n/a	AdvanceTempo	n/a	18044.0000000000	253
35.3183593750	n/a	AdvanceTempo	n/a	18083.0000000000	203
35.7109375000	n/a	AdvanceTempo	n/a	18284.0000000000	153
35.8378906250	n/a	AdvanceTempo	n/a	18349.0000000000	103
36.2226562500	n/a	AdvanceTempo	n/a	18546.0000000000	253
36.3984375000	n/a	AdvanceTempo	n/a	18636.0000000000	203
36.6816406250	n/a	AdvanceTempo	n/a	18781.0000000000	153
36.8886718750	n/a	AdvanceTempo	n/a	18887.0000000000	103
37.1953125000	n/a	AdvanceTempo	n/a	19044.0000000000	253
37.4101562500	n/a	AdvanceTempo	n/a	19154.0000000000	203
37.7089843750	n/a	AdvanceTempo	n/a	19307.0000000000	153
37.8769531250	n/a	AdvanceTempo	n/a	19393.0000000000	103
38.1738281250	n/a	AdvanceTempo	n/a	19545.0000000000	253
38.4218750000	n/a	AdvanceTempo	n/a	19672.0000000000	203
38.7265625000	n/a	AdvanceTempo	n/a	19828.0000000000	153
38.9082031250	n/a	AdvanceTempo	n/a	19921.0000000000	103
39.2363281250	n/a	AdvanceTempo	n/a	20089.0000000000	253
39.4453125000	n/a	AdvanceTempo	n/a	20196.0000000000	203
39.7480468750	n/a	AdvanceTempo	n/a	20351.0000000000	153
39.9277343750	n/a	AdvanceTempo	n/a	20443.0000000000	103
40.2578125000	n/a	AdvanceTempo	n/a	20612.0000000000	253
40.4648437500	n/a	AdvanceTempo	n/a	20718.0000000000	203
40.7265625000	n/a	AdvanceTempo	n/a	20852.0000000000	153
40.9628906250	n/a	AdvanceTempo	n/a	20973.0000000000	103
41.2382812500	n/a	AdvanceTempo	n/a	21114.0000000000	253
41.4472656250	n/a	AdvanceTempo	n/a	21221.0000000000	203
41.7539062500	n/a	AdvanceTempo	n/a	21378.0000000000	153
41.9433593750	n/a	AdvanceTempo	n/a	21475.0000000000	103
42.2636718750	n/a	AdvanceTempo	n/a	21639.0000000000	253
42.4531250000	n/a	AdvanceTempo	n/a	21736.0000000000	203
42.7675781250	n/a	AdvanceTempo	n/a	21897.0000000000	153
42.9062500000	n/a	AdvanceTempo	n/a	21968.0000000000	103
43.2812500000	n/a	AdvanceTempo	n/a	22160.0000000000	253
43.4121093750	n/a	AdvanceTempo	n/a	22227.0000000000	203
43.7480468750	n/a	AdvanceTempo	n/a	22399.0000000000	153
43.8769531250	n/a	AdvanceTempo	n/a	22465.0000000000	103
44.3730468750	n/a	UncuedWalking	n/a	22719.0000000000	200
44.8710937500	n/a	UncuedWalking	n/a	22974.0000000000	100
45.4160156250	n/a	UncuedWalking	n/a	23253.0000000000	200
45.9980468750	n/a	UncuedWalking	n/a	23551.0000000000	100
46.5976562500	n/a	UncuedWalking	n/a	23858.0000000000	200
47.1914062500	n/a	UncuedWalking	n/a	24162.0000000000	100
47.7968750000	n/a	UncuedWalking	n/a	24472.0000000000	200
48.3906250000	n/a	UncuedWalking	n/a	24776.0000000000	100
49.0175781250	n/a	UncuedWalking	n/a	25097.0000000000	200
49.6269531250	n/a	UncuedWalking	n/a	25409.0000000000	100
50.2539062500	n/a	UncuedWalking	n/a	25730.0000000000	200
50.8554687500	n/a	UncuedWalking	n/a	26038.0000000000	100
51.4550781250	n/a	UncuedWalking	n/a	26345.0000000000	200
52.0468750000	n/a	UncuedWalking	n/a	26648.0000000000	100
52.6679687500	n/a	UncuedWalking	n/a	26966.0000000000	200
53.2382812500	n/a	UncuedWalking	n/a	27258.0000000000	100
53.8476562500	n/a	UncuedWalking	n/a	27570.0000000000	200
54.4589843750	n/a	UncuedWalking	n/a	27883.0000000000	100
55.0468750000	n/a	UncuedWalking	n/a	28184.0000000000	200
55.6367187500	n/a	UncuedWalking	n/a	28486.0000000000	100
56.2421875000	n/a	UncuedWalking	n/a	28796.0000000000	200
56.8359375000	n/a	UncuedWalking	n/a	29100.0000000000	100
57.4414062500	n/a	UncuedWalking	n/a	29410.0000000000	200
58.0429687500	n/a	UncuedWalking	n/a	29718.0000000000	100
58.6445312500	n/a	UncuedWalking	n/a	30026.0000000000	200
59.2441406250	n/a	UncuedWalking	n/a	30333.0000000000	100
59.8574218750	n/a	UncuedWalking	n/a	30647.0000000000	200
60.4375000000	n/a	PreferredCadence	n/a	30944.0000000000	114
60.6914062500	n/a	PreferredCadence	n/a	31074.0000000000	444
61.0390625000	n/a	PreferredCadence	n/a	31252.0000000000	201
61.3007812500	n/a	PreferredCadence	n/a	31386.0000000000	251
61.6542968750	n/a	PreferredCadence	n/a	31567.0000000000	101
61.9003906250	n/a	PreferredCadence	n/a	31693.0000000000	151
62.3007812500	n/a	PreferredCadence	n/a	31898.0000000000	201
62.4570312500	n/a	PreferredCadence	n/a	31978.0000000000	251
62.9160156250	n/a	PreferredCadence	n/a	32213.0000000000	101
63.0664062500	n/a	PreferredCadence	n/a	32290.0000000000	151
63.5468750000	n/a	PreferredCadence	n/a	32536.0000000000	201
63.7128906250	n/a	PreferredCadence	n/a	32621.0000000000	251
64.1894531250	n/a	PreferredCadence	n/a	32865.0000000000	101
64.2714843750	n/a	PreferredCadence	n/a	32907.0000000000	151
64.8281250000	n/a	PreferredCadence	n/a	33192.0000000000	201
64.8730468750	n/a	PreferredCadence	n/a	33215.0000000000	251
65.4453125000	n/a	PreferredCadence	n/a	33508.0000000000	101
65.4765625000	n/a	PreferredCadence	n/a	33524.0000000000	151
66.0390625000	n/a	PreferredCadence	n/a	33812.0000000000	201
66.0781250000	n/a	PreferredCadence	n/a	33832.0000000000	251
66.6445312500	n/a	PreferredCadence	n/a	34122.0000000000	101
66.6875000000	n/a	PreferredCadence	n/a	34144.0000000000	151
67.2773437500	n/a	PreferredCadence	n/a	34446.0000000000	201
67.2910156250	n/a	PreferredCadence	n/a	34453.0000000000	251
