onset	duration	trial_type	response_time	sample	value
41.2285156250	n/a	PreferredCadence	n/a	21109.0000000000	201
41.3007812500	n/a	PreferredCadence	n/a	21146.0000000000	251
41.8320312500	n/a	PreferredCadence	n/a	21418.0000000000	101
41.8574218750	n/a	PreferredCadence	n/a	21431.0000000000	151
42.3769531250	n/a	PreferredCadence	n/a	21697.0000000000	201
42.4550781250	n/a	PreferredCadence	n/a	21737.0000000000	251
42.9882812500	n/a	PreferredCadence	n/a	22010.0000000000	101
43.0136718750	n/a	PreferredCadence	n/a	22023.0000000000	151
43.5449218750	n/a	PreferredCadence	n/a	22295.0000000000	201
43.5761718750	n/a	PreferredCadence	n/a	22311.0000000000	251
44.1464843750	n/a	PreferredCadence	n/a	22603.0000000000	101
44.1738281250	n/a	PreferredCadence	n/a	22617.0000000000	151
44.6933593750	n/a	PreferredCadence	n/a	22883.0000000000	201
44.7304687500	n/a	PreferredCadence	n/a	22902.0000000000	251
45.2890625000	n/a	PreferredCadence	n/a	23188.0000000000	151
45.2910156250	n/a	PreferredCadence	n/a	23189.0000000000	101
45.8320312500	n/a	PreferredCadence	n/a	23466.0000000000	201
45.8906250000	n/a	PreferredCadence	n/a	23496.0000000000	251
46.4296875000	n/a	PreferredCadence	n/a	23772.0000000000	101
46.4511718750	n/a	PreferredCadence	n/a	23783.0000000000	151
46.9843750000	n/a	PreferredCadence	n/a	24056.0000000000	201
47.0078125000	n/a	PreferredCadence	n/a	24068.0000000000	251
47.5625000000	n/a	PreferredCadence	n/a	24352.0000000000	151
47.5761718750	n/a	PreferredCadence	n/a	24359.0000000000	101
48.1113281250	n/a	PreferredCadence	n/a	24633.0000000000	201
48.1660156250	n/a	PreferredCadence	n/a	24661.0000000000	251
48.7167968750	n/a	DelayTempo	n/a	24943.0000000000	119
48.8222656250	n/a	DelayTempo	n/a	24997.0000000000	999
49.2753906250	n/a	DelayTempo	n/a	25229.0000000000	209
49.5117187500	n/a	DelayTempo	n/a	25350.0000000000	259
49.9550781250	n/a	DelayTempo	n/a	25577.0000000000	109
50.1679687500	n/a	DelayTempo	n/a	25686.0000000000	159
50.6328125000	n/a	DelayTempo	n/a	25924.0000000000	209
50.8613281250	n/a	DelayTempo	n/a	26041.0000000000	259
51.4414062500	n/a	DelayTempo	n/a	26338.0000000000	109
51.5156250000	n/a	DelayTempo	n/a	26376.0000000000	159
52.0644531250	n/a	DelayTempo	n/a	26657.0000000000	209
52.1582031250	n/a	DelayTempo	n/a	26705.0000000000	259
52.7753906250	n/a	DelayTempo	n/a	27021.0000000000	109
52.8613281250	n/a	DelayTempo	n/a	27065.0000000000	159
53.4433593750	n/a	DelayTempo	n/a	27363.0000000000	209
53.5078125000	n/a	DelayTempo	n/a	27396.0000000000	259
54.1523437500	n/a	DelayTempo	n/a	27726.0000000000	109
54.2050781250	n/a	DelayTempo	n/a	27753.0000000000	159
54.8066406250	n/a	DelayTempo	n/a	28061.0000000000	209
54.8554687500	n/a	DelayTempo	n/a	28086.0000000000	259
55.4980468750	n/a	DelayTempo	n/a	28415.0000000000	109
55.5546875000	n/a	DelayTempo	n/a	28444.0000000000	159
56.1777343750	n/a	DelayTempo	n/a	28763.0000000000	209
56.2011718750	n/a	DelayTempo	n/a	28775.0000000000	259
56.8691406250	n/a	DelayTempo	n/a	29117.0000000000	109
56.8984375000	n/a	DelayTempo	n/a	29132.0000000000	159
57.5078125000	n/a	DelayTempo	n/a	29444.0000000000	209
57.5488281250	n/a	DelayTempo	n/a	29465.0000000000	259
58.1855468750	n/a	DelayTempo	n/a	29791.0000000000	109
58.2011718750	n/a	DelayTempo	n/a	29799.0000000000	159
58.8222656250	n/a	DelayTempo	n/a	30117.0000000000	209
