onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	noise	NA	null	-1	-1	-1	-1
18.419	0	1	noise	NA	null	-1	-1	-1	-1
27.628	0	1	DenseCorrect	NA	sheet	4.86	9.74	23	224.02
39.907	0	1	DenseIncorrect	NA	rye	4.68	7.14	37	264.18
46.047	0	1	DenseCorrect	NA	lit	3.53	8.59	37	317.83
52.186	0	1	SparseCorrect	NA	smile	4.35	9.42	5	47.1
58.326	0	1	SparseCorrect	NA	learned	2.18	10.25	4	41
64.466	0	1	DenseIncorrect	NA	tyke	3.88	4.71	25	117.75
82.883	0	1	DenseIncorrect	NA	dull	2.33	8.44	23	194.12
89.023	0	1	DenseIncorrect	NA	pose	3.17	8.38	21	175.98
95.163	0	1	DenseCorrect	NA	men	4.7	11.5	27	310.5
101.302	0	1	SparseCorrect	NA	stand	3.57	10.79	3	32.37
107.442	0	1	noise	NA	null	-1	-1	-1	-1
113.581	0	1	SparseCorrect	NA	yeast	4.57	8.84	4	35.36
119.721	0	1	DenseCorrect	NA	lace	4.81	8.1	29	234.9
125.861	0	1	SparseCorrect	NA	ranch	4.62	8.2	5	41
132	0	1	SparseCorrect	NA	stout	3.16	7.57	6	45.42
138.14	0	1	noise	NA	null	-1	-1	-1	-1
150.419	0	1	noise	NA	null	-1	-1	-1	-1
156.559	0	1	SparseCorrect	NA	cross	3.83	10.3	5	51.5
162.697	0	1	SparseCorrect	NA	squaw	3.88	5.87	2	11.74
168.837	0	1	SparseCorrect	NA	spark	4.07	8.09	5	40.45
174.976	0	1	SparseCorrect	NA	weird	2.09	9.69	5	48.45
181.117	0	1	DenseCorrect	NA	might	2.21	12.53	28	350.84
187.256	0	1	SparseCorrect	NA	noise	3.32	9.94	4	39.76
193.395	0	1	SparseIncorrect	NA	hoof	4.79	6.06	5	30.3
199.535	0	1	SparseCorrect	NA	theft	2.67	8.49	4	33.96
211.814	0	1	DenseIncorrect	NA	lamb	4.93	8.14	27	219.78
217.954	0	1	SparseIncorrect	NA	fraud	4.64	8.94	4	35.76
224.093	0	1	DenseCorrect	NA	read	3.37	12.58	28	352.24
230.233	0	1	DenseCorrect	NA	rod	4.35	9.88	21	207.48
242.512	0	1	noise	NA	null	-1	-1	-1	-1
254.79	0	1	DenseCorrect	NA	grate	4.79	6.6	21	138.6
260.93	0	1	SparseCorrect	NA	craft	3.33	8.84	4	35.36
267.07	0	1	DenseIncorrect	NA	bell	4.96	10.12	27	273.24
273.209	0	1	SparseCorrect	NA	fierce	2.39	7.78	6	46.68
279.349	0	1	SparseCorrect	NA	huge	3.07	10.55	2	21.1
285.488	0	1	DenseCorrect	NA	beat	3.97	10.41	33	343.53
303.907	0	1	DenseIncorrect	NA	curl	4.22	7.12	23	163.76
316.186	0	1	noise	NA	null	-1	-1	-1	-1
322.326	0	1	SparseCorrect	NA	cost	2.25	11.51	5	57.55
328.466	0	1	SparseCorrect	NA	from	3.93	14.45	5	72.25
334.605	0	1	DenseCorrect	NA	main	2.33	11.21	31	347.51
340.745	0	1	noise	NA	null	-1	-1	-1	-1
346.883	0	1	DenseCorrect	NA	fate	1.33	9.05	29	262.45
353.023	0	1	DenseCorrect	NA	shell	4.74	10.52	21	220.92
359.163	0	1	noise	NA	null	-1	-1	-1	-1
365.302	0	1	noise	NA	null	-1	-1	-1	-1
371.442	0	1	SparseCorrect	NA	proof	2.44	10.27	4	41.08
377.582	0	1	DenseCorrect	NA	chick	4.93	8.06	23	185.38
