onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	noise	NA	null	-1	-1	-1	-1
18.418	0	1	SparseIncorrect	NA	void	2.33	10.04	4	40.16
24.558	0	1	noise	NA	null	-1	-1	-1	-1
30.698	0	1	SparseCorrect	NA	crutch	4.41	6.38	6	38.28
36.837	0	1	noise	NA	null	-1	-1	-1	-1
42.977	0	1	DenseCorrect	NA	let	2.17	12.24	30	367.2
55.255	0	1	SparseIncorrect	NA	shelf	4.85	8.64	6	51.84
73.674	0	1	DenseCorrect	NA	bird	5	9.86	22	216.92
79.813	0	1	DenseCorrect	NA	coat	4.96	9.24	31	286.44
92.093	0	1	SparseCorrect	NA	push	3.68	9.87	5	49.35
98.232	0	1	DenseCorrect	NA	face	4.86	11.26	21	236.46
104.372	0	1	SparseCorrect	NA	wax	4.83	8.59	4	34.36
110.511	0	1	noise	NA	null	-1	-1	-1	-1
116.651	0	1	SparseCorrect	NA	shield	4.52	9.55	4	38.2
122.791	0	1	SparseIncorrect	NA	probe	3.42	8.71	5	43.55
128.93	0	1	DenseCorrect	NA	mace	3.47	7.15	29	207.35
141.209	0	1	DenseCorrect	NA	pail	4.89	6.21	34	211.14
147.348	0	1	SparseCorrect	NA	jeans	4.89	8.35	4	33.4
153.488	0	1	DenseCorrect	NA	wait	2.46	11.03	27	297.81
159.627	0	1	DenseCorrect	NA	tag	4.14	9.94	21	208.74
165.767	0	1	SparseCorrect	NA	screw	3.79	9.16	4	36.64
171.907	0	1	SparseCorrect	NA	shift	2.58	9.65	6	57.9
178.046	0	1	SparseIncorrect	NA	coax	2.46	7.64	6	45.84
184.186	0	1	DenseCorrect	NA	seat	4.71	9.75	32	312
196.465	0	1	noise	NA	null	-1	-1	-1	-1
208.744	0	1	DenseCorrect	NA	shack	4.86	8.37	22	184.14
214.884	0	1	DenseCorrect	NA	soar	3.42	6.76	32	216.32
221.023	0	1	SparseCorrect	NA	royal	2.71	9.78	3	29.34
227.163	0	1	DenseCorrect	NA	caught	3.24	10.03	23	230.69
233.303	0	1	noise	NA	null	-1	-1	-1	-1
245.581	0	1	noise	NA	null	-1	-1	-1	-1
251.721	0	1	SparseIncorrect	NA	square	4.15	9.85	3	29.55
257.86	0	1	DenseCorrect	NA	dim	3.26	8.36	21	175.56
264	0	1	DenseCorrect	NA	head	4.72	11.6	25	290
270.139	0	1	noise	NA	null	-1	-1	-1	-1
276.279	0	1	noise	NA	null	-1	-1	-1	-1
282.418	0	1	SparseCorrect	NA	joint	3.45	9.6	5	48
288.558	0	1	DenseCorrect	NA	sail	4	8.18	34	278.12
294.698	0	1	DenseCorrect	NA	case	3.93	12.2	22	268.4
300.837	0	1	DenseCorrect	NA	said	2.8	12.77	21	268.17
313.116	0	1	DenseCorrect	NA	hope	4.96	11.92	21	250.32
319.256	0	1	SparseCorrect	NA	yield	2.48	8.73	4	34.92
325.396	0	1	SparseCorrect	NA	pulse	4	8.61	2	17.22
331.534	0	1	SparseCorrect	NA	gasp	4	7.89	6	47.34
337.674	0	1	DenseIncorrect	NA	moon	4.86	10.33	21	216.93
343.813	0	1	DenseCorrect	NA	burn	4.08	9.43	22	207.46
349.953	0	1	noise	NA	null	-1	-1	-1	-1
356.093	0	1	SparseCorrect	NA	cute	2.5	9.31	6	55.86
362.232	0	1	SparseCorrect	NA	mute	2.83	7.23	6	43.38
374.512	0	1	SparseCorrect	NA	small	2.76	11.98	5	59.9
