onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	SparseCorrect	NA	brook	4.32	7.93	6	47.58
18.419	0	1	DenseCorrect	NA	pass	2.57	10.79	24	258.96
24.559	0	1	DenseCorrect	NA	dam	4.86	8.12	22	178.64
30.697	0	1	DenseCorrect	NA	say	2.41	12.79	37	473.23
36.837	0	1	SparseCorrect	NA	squad	3.41	8.48	5	42.4
49.116	0	1	DenseCorrect	NA	for	4.6	15.42	33	508.86
55.256	0	1	noise	NA	null	-1	-1	-1	-1
61.395	0	1	DenseIncorrect	NA	top	3.82	11.67	21	245.07
67.535	0	1	SparseCorrect	NA	dance	3.79	10.17	6	61.02
73.675	0	1	DenseIncorrect	NA	rid	1.96	9.91	29	287.39
79.814	0	1	DenseIncorrect	NA	pot	4.76	9.49	34	322.66
85.954	0	1	SparseCorrect	NA	staff	4.17	10.62	5	53.1
92.093	0	1	DenseCorrect	NA	fern	4.97	6.34	21	133.14
98.233	0	1	SparseIncorrect	NA	kept	2.48	10.56	3	31.68
104.373	0	1	SparseCorrect	NA	mule	4.89	7.31	6	43.86
110.512	0	1	SparseCorrect	NA	judge	3.57	10.25	6	61.5
116.652	0	1	DenseCorrect	NA	mice	4.8	8.34	22	183.48
128.93	0	1	DenseCorrect	NA	kit	4.43	10.12	35	354.2
141.209	0	1	SparseIncorrect	NA	month	4.04	11.24	2	22.48
147.349	0	1	SparseCorrect	NA	speech	3.14	10.5	3	31.5
165.768	0	1	SparseIncorrect	NA	launch	3.34	9.47	5	47.35
178.047	0	1	DenseCorrect	NA	goat	4.97	7.85	26	204.1
184.186	0	1	SparseCorrect	NA	sparse	2.08	7.18	3	21.54
190.326	0	1	noise	NA	null	-1	-1	-1	-1
196.466	0	1	noise	NA	null	-1	-1	-1	-1
202.605	0	1	noise	NA	null	-1	-1	-1	-1
208.745	0	1	SparseCorrect	NA	farm	4.48	9.29	6	55.74
214.884	0	1	DenseCorrect	NA	come	2.69	12.35	22	271.7
221.023	0	1	DenseCorrect	NA	fade	2.43	8.16	22	179.52
227.163	0	1	SparseCorrect	NA	rinse	3.6	7.44	5	37.2
233.302	0	1	noise	NA	null	-1	-1	-1	-1
239.442	0	1	noise	NA	null	-1	-1	-1	-1
245.582	0	1	noise	NA	null	-1	-1	-1	-1
251.721	0	1	noise	NA	null	-1	-1	-1	-1
257.861	0	1	DenseCorrect	NA	right	2.31	12.87	35	450.45
264	0	1	SparseCorrect	NA	was	4.79	14.56	1	14.56
270.14	0	1	SparseCorrect	NA	sperm	4.7	8.44	4	33.76
282.419	0	1	SparseCorrect	NA	world	4.15	12.6	5	63
294.698	0	1	SparseCorrect	NA	snail	4.81	9.23	5	46.15
306.977	0	1	noise	NA	null	-1	-1	-1	-1
313.116	0	1	DenseIncorrect	NA	lay	3.72	9.62	35	336.7
319.256	0	1	DenseCorrect	NA	pace	3.03	8.88	30	266.4
325.395	0	1	DenseCorrect	NA	gear	4.25	9.64	21	202.44
331.535	0	1	SparseCorrect	NA	spank	3.62	7.29	4	29.16
337.675	0	1	SparseCorrect	NA	smith	4.92	10.73	3	32.19
349.954	0	1	SparseCorrect	NA	fresh	1.83	9.65	4	38.6
356.093	0	1	DenseCorrect	NA	mail	4.66	12.47	35	436.45
362.233	0	1	DenseIncorrect	NA	ray	4.97	10.05	38	381.9
368.373	0	1	DenseCorrect	NA	tall	3.07	9.34	27	252.18
374.512	0	1	noise	NA	null	-1	-1	-1	-1
