onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
27	7	50.0	26.5	16.0	24.5	49.0	clip_1
55	6	1.0	48.5	48.5	39.5	39.5	clip_2
80	8	38.0	14.0	18.0	71.0	54.5	clip_3
103	6	20.5	39.0	39.0	53.5	53.5	clip_4
135	8	41.0	7.0	7.0	88.0	74.0	clip_5
184	6	65.5	0.0	36.5	86.0	86.0	clip_6
224	8	67.5	5.0	66.5	66.5	70.0	clip_7
251	10	58.5	0.0	100.0	100.0	71.5	clip_8
282	8	26.0	40.5	40.5	35.5	35.5	clip_9
316	5	39.0	62.0	42.5	42.5	32.5	clip_10
354	8	36.0	51.0	68.0	54.0	58.0	clip_11
372	6	53.0	0.0	60.5	60.5	60.5	clip_12
405	5	77.0	0.0	100.0	100.0	86.5	clip_13
442	7	68.0	0.0	100.0	100.0	81.0	clip_14
485	5	59.5	0.0	87.0	92.5	66.0	clip_15
