onset	duration	trial_type	stim_id
9	0.5	Instruction	9
11.2	0	Error	9
16	0.5	Instruction	1
18.7	0	Correct	1
22	0.5	Instruction	16
25.6	0	Error	16
30	0.5	Instruction	7
33	0	Error	7
34	0.5	Instruction	2
36.3	0	Correct	2
39	0.5	Instruction	13
41.2	0	Error	13
45	0.5	Instruction	6
47	0	Correct	6
50	0.5	Instruction	11
52.8	0	Error	11
57	0.5	Instruction	5
59	0	Error	5
62	0.5	Instruction	10
64.6	0	Error	10
67	0.5	Instruction	14
68.2	0	Error	14
72	0.5	Instruction	12
74.7	0	Error	12
77	0.5	Instruction	15
80.8	0	Error	15
85	0.5	Instruction	4
87.3	0	Error	4
90	0.5	Instruction	3
93.8	0	Correct	3
97	0.5	Instruction	8
100.9	0	Error	8
114	0.5	Instruction	16
117.1	0	Error	16
121	0.5	Instruction	12
124.8	0	Error	12
129	0.5	Instruction	4
131.8	0	Correct	4
134	0.5	Instruction	6
137.4	0	Error	6
140	0.5	Instruction	8
143.8	0	Correct	8
146	0.5	Instruction	9
149.8	0	Error	9
152	0.5	Instruction	3
154.1	0	Correct	3
157	0.5	Instruction	1
159	0	Correct	1
170	0.5	Instruction	5
172.5	0	Error	5
175	0.5	Instruction	10
178	0	Error	10
181	0.5	Instruction	14
183.9	0	Error	14
188	0.5	Instruction	7
191.8	0	Error	7
194	0.5	Instruction	13
198.1	0	Error	13
200	0.5	Instruction	15
203.2	0	Error	15
207	0.5	Instruction	11
210.2	0	Error	11
211	0.5	Instruction	2
214	0	Error	2
219	0.5	Instruction	9
221.2	0	Error	9
236	0.5	Instruction	4
237.8	0	Error	4
241	0.5	Instruction	12
243.3	0	Error	12
246	0.5	Instruction	3
249.8	0	Correct	3
254	0.5	Instruction	15
257.1	0	Correct	15
259	0.5	Instruction	10
263.3	0	Error	10
267	0.5	Instruction	1
271.2	0	Correct	1
275	0.5	Instruction	11
278.4	0	Error	11
281	0.5	Instruction	7
283.9	0	Error	7
287	0.5	Instruction	6
290.9	0	Error	6
293	0.5	Instruction	8
295.5	0	Error	8
297	0.5	Instruction	2
299	0	Error	2
303	0.5	Instruction	5
306.8	0	Error	5
310.1	0.5	Instruction	13
313.1	0	Error	13
315.1	0.5	Instruction	16
318.1	0	Error	16
321.1	0.5	Instruction	14
323.5	0	Correct	14
162.5	7	Change_rule	0
103.5	10	Baseline	0
224.5	11	Baseline	0
324.6	12	Baseline	0
