onset	duration	trial_type	stim_id
9.5	0.5	Instruction	1
11.6	0	Correct_f	1
14.5	0.5	Fdbck_corr	1
18.5	0.5	Instruction	12
21.8	0	Correct_f	12
24.5	0.5	Fdbck_corr	12
26.5	0.5	Instruction	7
29.3	0	Correct_f	7
33.5	0.5	Fdbck_corr	7
37.5	0.5	Instruction	14
40	0	Error_f	14
41.5	0.5	Fdbck_err	14
44.5	0.5	Instruction	6
46.4	0	Correct_f	6
48.5	0.5	Fdbck_corr	6
52.5	0.5	Instruction	15
55.2	0	Error_f	15
56.5	0.5	Fdbck_err	15
58.5	0.5	Instruction	4
62.3	0	Correct_f	4
64.5	0.5	Fdbck_corr	4
68.5	0.5	Instruction	13
71.3	0	Correct_f	13
73.5	0.5	Fdbck_corr	13
75.5	0.5	Instruction	2
78.4	0	Correct_f	2
81.5	0.5	Fdbck_corr	2
83.5	0.5	Instruction	8
85.5	0	Correct_f	8
89.5	0.5	Fdbck_corr	8
92.5	0.5	Instruction	5
95.2	0	Error_f	5
98.5	0.5	Fdbck_err	5
102.5	0.5	Instruction	9
104.6	0	Error_f	9
106.5	0.5	Fdbck_err	9
110.5	0.5	Instruction	11
114.3	0	Correct_f	11
117.5	0.5	Fdbck_corr	11
120.5	0.5	Instruction	3
123.3	0	Correct_f	3
127.5	0.5	Fdbck_corr	3
130.5	0.5	Instruction	10
134.3	0	Correct_f	10
137.5	0.5	Fdbck_corr	10
151.5	0.5	Instruction	16
155.5	0	Correct_f	16
159.5	0.5	Fdbck_corr	16
161.5	0.5	Instruction	6
164.5	0	Correct_f	6
166.5	0.5	Fdbck_corr	6
169.5	0.5	Instruction	10
172.5	0	Correct_f	10
174.5	0.5	Fdbck_corr	10
178.5	0.5	Instruction	4
182.5	0	Correct_f	4
185.5	0.5	Fdbck_corr	4
189.5	0.5	Instruction	11
191.7	0	Error_f	11
197.5	0.5	Fdbck_err	11
199.5	0.5	Instruction	12
202.4	0	Correct_f	12
206.5	0.5	Fdbck_corr	12
209.5	0.5	Instruction	13
211.7	0	Correct_f	13
214.5	0.5	Fdbck_corr	13
217.5	0.5	Instruction	1
221.3	0	Correct_f	1
225.5	0.5	Fdbck_corr	1
228.5	0.5	Instruction	15
232.4	0	Correct_f	15
234.5	0.5	Fdbck_corr	15
243.5	0.5	Instruction	9
245.7	0	Correct_f	9
247.5	0.5	Fdbck_corr	9
251.5	0.5	Instruction	8
253.8	0	Correct_f	8
256.5	0.5	Fdbck_corr	8
260.5	0.5	Instruction	7
263.3	0	Correct_f	7
266.5	0.5	Fdbck_corr	7
269.5	0.5	Instruction	2
271.6	0	Correct_f	2
273.5	0.5	Fdbck_corr	2
276.5	0.5	Instruction	16
278.7	0	Error_f	16
282.5	0.5	Fdbck_err	16
286.5	0.5	Instruction	3
290.3	0	Correct_f	3
292.5	0.5	Fdbck_corr	3
296.5	0.5	Instruction	14
300.4	0	Correct_f	14
302.5	0.5	Fdbck_corr	14
305.5	0.5	Instruction	5
309.3	0	Correct_f	5
312.5	0.5	Fdbck_corr	5
324.5	0.5	Instruction	3
326.5	0	Correct_f	3
329.5	0.5	Fdbck_corr	3
333.5	0.5	Instruction	13
337.4	0	Correct_f	13
341.5	0.5	Fdbck_corr	13
344.5	0.5	Instruction	12
346.9	0	Error_f	12
350.5	0.5	Fdbck_err	12
353.5	0.5	Instruction	16
356.5	0	Correct_f	16
359.5	0.5	Fdbck_corr	16
361.5	0.5	Instruction	15
364.4	0	Correct_f	15
368.5	0.5	Fdbck_corr	15
372.5	0.5	Instruction	8
375.5	0	Correct_f	8
377.5	0.5	Fdbck_corr	8
379.5	0.5	Instruction	5
383.4	0	Correct_f	5
387.5	0.5	Fdbck_corr	5
389.5	0.5	Instruction	10
391.9	0	Error_f	10
394.5	0.5	Fdbck_err	10
396.5	0.5	Instruction	6
399	0	Correct_f	6
400.5	0.5	Fdbck_corr	6
402.5	0.5	Instruction	1
405.4	0	Correct_f	1
408.5	0.5	Fdbck_corr	1
412.5	0.5	Instruction	4
416.5	0	Correct_f	4
420.5	0.5	Fdbck_corr	4
424.5	0.5	Instruction	9
428.4	0	Correct_f	9
430.5	0.5	Fdbck_corr	9
433.5	0.5	Instruction	7
436.5	0	Correct_f	7
440.5	0.5	Fdbck_corr	7
442.5	0.5	Instruction	11
445.7	0	Correct_f	11
448.5	0.5	Fdbck_corr	11
451.5	0.5	Instruction	2
455.4	0	Correct_f	2
459.5	0.5	Fdbck_corr	2
461.5	0.5	Instruction	14
464.4	0	Correct_f	14
467.6	0.5	Fdbck_corr	14
236	7	Change_rule	0
140	11	Baseline	0
314	10	Baseline	0
469.1	12	Baseline	0
