onset	duration	trial_type	stim_id
9.5	0.5	Instruction	14
13	1	Obs_corr	14
15.5	0.5	Instruction	12
17	1	Obs_corr	12
20.5	0.5	Instruction	16
23	1	Obs_corr	16
25.5	0.5	Instruction	3
29	1	Obs_corr	3
33.5	0.5	Instruction	8
37	1	Obs_err	8
40.5	0.5	Instruction	4
43	1	Obs_err	4
46.5	0.5	Instruction	15
50	1	Obs_err	15
52.5	0.5	Instruction	11
56	1	Obs_err	11
60.5	0.5	Instruction	5
64	1	Obs_corr	5
68.5	0.5	Instruction	7
70	1	Obs_err	7
73.5	0.5	Instruction	9
75	1	Obs_corr	9
79.5	0.5	Instruction	1
83	1	Obs_corr	1
86	3	Catch_trial	1
89.5	0.5	Instruction	10
92	1	Obs_err	10
94	3	Catch_trial	10
97.5	0.5	Instruction	6
99	1	Obs_corr	6
102.5	0.5	Instruction	13
105	1	Obs_corr	13
109.5	0.5	Instruction	2
113	1	Obs_corr	2
117	3	Catch_trial	2
120.5	0.5	Instruction	10
123	1	Obs_corr	10
137.5	0.5	Instruction	3
139	1	Obs_corr	3
141.5	0.5	Instruction	7
145	1	Obs_corr	7
148.5	0.5	Instruction	8
152	1	Obs_corr	8
156.5	0.5	Instruction	16
159	1	Obs_corr	16
162.5	0.5	Instruction	6
164	1	Obs_err	6
167.5	0.5	Instruction	1
171	1	Obs_err	1
175	3	Catch_trial	1
178.5	0.5	Instruction	15
180	1	Obs_corr	15
190.5	0.5	Instruction	12
193	1	Obs_corr	12
195.5	0.5	Instruction	11
199	1	Obs_corr	11
201.5	0.5	Instruction	5
203	1	Obs_err	5
207.5	0.5	Instruction	13
210	1	Obs_corr	13
212	3	Catch_trial	13
215.5	0.5	Instruction	9
217	1	Obs_corr	9
221.5	0.5	Instruction	2
225	1	Obs_corr	2
228.5	0.5	Instruction	4
230	1	Obs_corr	4
232.5	0.5	Instruction	14
236	1	Obs_err	14
248.5	0.5	Instruction	15
251	1	Obs_corr	15
254	3	Catch_trial	15
257.5	0.5	Instruction	4
259	1	Obs_corr	4
262.5	0.5	Instruction	6
265	1	Obs_corr	6
267.5	0.5	Instruction	13
269	1	Obs_err	13
272.5	0.5	Instruction	9
275	1	Obs_err	9
278.5	0.5	Instruction	8
280	1	Obs_corr	8
282.5	0.5	Instruction	3
285	1	Obs_err	3
289.5	0.5	Instruction	11
293	1	Obs_corr	11
297.5	0.5	Instruction	7
300	1	Obs_corr	7
304.5	0.5	Instruction	5
306	1	Obs_corr	5
310.5	0.5	Instruction	14
312	1	Obs_corr	14
316	3	Catch_trial	14
319.5	0.5	Instruction	10
321	1	Obs_corr	10
323	3	Catch_trial	10
326.5	0.5	Instruction	12
329	1	Obs_err	12
331.5	0.5	Instruction	16
335	1	Obs_err	16
337.5	0.5	Instruction	2
340	1	Obs_err	2
343.5	0.5	Instruction	1
346	1	Obs_corr	1
183	7	Change_rule	0
125	12	Baseline	0
238	10	Baseline	0
350	11	Baseline	0
