onset	duration	trial_type	stim_id
9.5	0.5	Instruction	16
11.9	0	Correct_f	16
15.5	0.5	Fdbck_corr	16
19.5	0.5	Instruction	8
21.5	0	Correct_f	8
25.5	0.5	Fdbck_corr	8
27.5	0.5	Instruction	11
29	0	Error_f	11
33.5	0.5	Fdbck_err	11
37.5	0.5	Instruction	3
39.5	0	Correct_f	3
43.5	0.5	Fdbck_corr	3
46.5	0.5	Instruction	13
48.8	0	Correct_f	13
50.5	0.5	Fdbck_corr	13
52.5	0.5	Instruction	4
54.4	0	Correct_f	4
56.5	0.5	Fdbck_corr	4
59.5	0.5	Instruction	12
61.8	0	Correct_f	12
65.5	0.5	Fdbck_corr	12
68.5	0.5	Instruction	1
72.4	0	Correct_f	1
76.5	0.5	Fdbck_corr	1
79.5	0.5	Instruction	14
83.4	0	Correct_f	14
86.5	0.5	Fdbck_corr	14
90.5	0.5	Instruction	6
92.7	0	Correct_f	6
94.5	0.5	Fdbck_corr	6
97.5	0.5	Instruction	10
100.6	0	Correct_f	10
104.5	0.5	Fdbck_corr	10
108.5	0.5	Instruction	15
112.3	0	Correct_f	15
114.5	0.5	Fdbck_corr	15
118.5	0.5	Instruction	9
121.2	0	Error_f	9
123.5	0.5	Fdbck_err	9
126.5	0.5	Instruction	2
129.3	0	Correct_f	2
132.5	0.5	Fdbck_corr	2
135.5	0.5	Instruction	5
138.8	0	Correct_f	5
141.5	0.5	Fdbck_corr	5
157.5	0.5	Instruction	7
161.4	0	Correct_f	7
163.5	0.5	Fdbck_corr	7
165.5	0.5	Instruction	14
167.4	0	Correct_f	14
169.5	0.5	Fdbck_corr	14
171.5	0.5	Instruction	3
175.3	0	Correct_f	3
178.5	0.5	Fdbck_corr	3
181.5	0.5	Instruction	9
184.4	0	Correct_f	9
188.5	0.5	Fdbck_corr	9
192.5	0.5	Instruction	10
194.5	0	Correct_f	10
197.5	0.5	Fdbck_corr	10
199.5	0.5	Instruction	4
203.3	0	Correct_f	4
205.5	0.5	Fdbck_corr	4
208.5	0.5	Instruction	5
212.3	0	Correct_f	5
214.5	0.5	Fdbck_corr	5
218.5	0.5	Instruction	12
221.7	0	Error_f	12
223.5	0.5	Fdbck_err	12
225.5	0.5	Instruction	16
227.4	0	Correct_f	16
231.5	0.5	Fdbck_corr	16
242.5	0.5	Instruction	15
244.3	0	Error_f	15
247.5	0.5	Fdbck_err	15
250.5	0.5	Instruction	6
252.4	0	Correct_f	6
255.5	0.5	Fdbck_corr	6
257.5	0.5	Instruction	7
260.3	0	Correct_f	7
264.5	0.5	Fdbck_corr	7
266.5	0.5	Instruction	8
269.5	0	Correct_f	8
272.5	0.5	Fdbck_corr	8
275.5	0.5	Instruction	1
278.4	0	Correct_f	1
282.5	0.5	Fdbck_corr	1
286.5	0.5	Instruction	2
289.4	0	Correct_f	2
292.5	0.5	Fdbck_corr	2
294.5	0.5	Instruction	13
296.6	0	Error_f	13
300.5	0.5	Fdbck_err	13
304.5	0.5	Instruction	11
308.7	0	Error_f	11
310.5	0.5	Fdbck_err	11
322.5	0.5	Instruction	2
326.4	0	Correct_f	2
328.5	0.5	Fdbck_corr	2
331.5	0.5	Instruction	5
335.4	0	Correct_f	5
338.5	0.5	Fdbck_corr	5
340.5	0.5	Instruction	10
343.6	0	Correct_f	10
345.5	0.5	Fdbck_corr	10
348.5	0.5	Instruction	15
351.6	0	Correct_f	15
353.5	0.5	Fdbck_corr	15
355.5	0.5	Instruction	12
358	0	Correct_f	12
360.5	0.5	Fdbck_corr	12
364.5	0.5	Instruction	16
367.4	0	Correct_f	16
371.5	0.5	Fdbck_corr	16
373.5	0.5	Instruction	8
375.9	0	Correct_f	8
377.5	0.5	Fdbck_corr	8
379.5	0.5	Instruction	13
383.5	0	Correct_f	13
386.5	0.5	Fdbck_corr	13
389.5	0.5	Instruction	3
392.5	0	Error_f	3
394.5	0.5	Fdbck_err	3
397.5	0.5	Instruction	4
400.4	0	Correct_f	4
403.5	0.5	Fdbck_corr	4
405.5	0.5	Instruction	11
409.4	0	Error_f	11
412.6	0.5	Fdbck_err	11
415.6	0.5	Instruction	9
419.4	0	Correct_f	9
423.6	0.5	Fdbck_corr	9
427.6	0.5	Instruction	14
430.4	0	Correct_f	14
434.6	0.5	Fdbck_corr	14
438.6	0.5	Instruction	7
441.4	0	Correct_f	7
445.6	0.5	Fdbck_corr	7
447.6	0.5	Instruction	6
451.5	0	Correct_f	6
455.6	0.5	Fdbck_corr	6
459.6	0.5	Instruction	1
463.4	0	Correct_f	1
466.6	0.5	Fdbck_corr	1
235	7	Change_rule	0
145	12	Baseline	0
312	10	Baseline	0
470.1	11	Baseline	0
