onset	duration	trial_type	stim_id
9.5	0.5	Instruction	13
13	1	Obs_err	13
16.5	0.5	Instruction	6
20	1	Obs_corr	6
22.5	0.5	Instruction	3
25	1	Obs_corr	3
27.5	0.5	Instruction	7
29	1	Obs_corr	7
31.5	0.5	Instruction	8
33	1	Obs_err	8
35.5	0.5	Instruction	12
39	1	Obs_corr	12
41.5	0.5	Instruction	15
43	1	Obs_corr	15
47.5	0.5	Instruction	5
50	1	Obs_err	5
53.5	0.5	Instruction	10
56	1	Obs_err	10
60.5	0.5	Instruction	4
64	1	Obs_err	4
67.5	0.5	Instruction	14
71	1	Obs_corr	14
73.5	0.5	Instruction	2
75	1	Obs_err	2
78.5	0.5	Instruction	9
81	1	Obs_err	9
83.5	0.5	Instruction	11
86	1	Obs_corr	11
90	3	Catch_trial	11
93.5	0.5	Instruction	1
97	1	Obs_err	1
99.5	0.5	Instruction	16
101	1	Obs_err	16
104.5	0.5	Instruction	3
107	1	Obs_corr	3
119.5	0.5	Instruction	7
123	1	Obs_corr	7
127.5	0.5	Instruction	16
131	1	Obs_corr	16
135.5	0.5	Instruction	14
137	1	Obs_err	14
139.5	0.5	Instruction	2
142	1	Obs_corr	2
145.5	0.5	Instruction	8
147	1	Obs_corr	8
151	3	Catch_trial	8
154.5	0.5	Instruction	15
157	1	Obs_err	15
161.5	0.5	Instruction	9
164	1	Obs_corr	9
174.5	0.5	Instruction	12
178	1	Obs_err	12
181	3	Catch_trial	12
184.5	0.5	Instruction	4
186	1	Obs_corr	4
190.5	0.5	Instruction	10
192	1	Obs_corr	10
195	3	Catch_trial	10
198.5	0.5	Instruction	11
200	1	Obs_err	11
202	3	Catch_trial	11
205.5	0.5	Instruction	13
208	1	Obs_corr	13
212.5	0.5	Instruction	5
216	1	Obs_corr	5
220.5	0.5	Instruction	1
223	1	Obs_corr	1
225	3	Catch_trial	1
228.5	0.5	Instruction	6
231	1	Obs_err	6
246.5	0.5	Instruction	1
250	1	Obs_corr	1
254.5	0.5	Instruction	15
257	1	Obs_corr	15
261.5	0.5	Instruction	12
264	1	Obs_corr	12
266.5	0.5	Instruction	6
270	1	Obs_corr	6
272.5	0.5	Instruction	7
276	1	Obs_err	7
280	3	Catch_trial	7
283.5	0.5	Instruction	11
287	1	Obs_corr	11
290.5	0.5	Instruction	3
292	1	Obs_err	3
294.5	0.5	Instruction	8
296	1	Obs_corr	8
300.5	0.5	Instruction	14
302	1	Obs_corr	14
305.5	0.5	Instruction	10
309	1	Obs_corr	10
311.5	0.5	Instruction	13
314	1	Obs_corr	13
317.5	0.5	Instruction	16
319	1	Obs_corr	16
322.5	0.5	Instruction	4
324	1	Obs_corr	4
327.5	0.5	Instruction	9
329	1	Obs_corr	9
333.5	0.5	Instruction	5
337	1	Obs_corr	5
341.5	0.5	Instruction	2
344	1	Obs_corr	2
167	7	Change_rule	0
109	10	Baseline	0
234	12	Baseline	0
347	11	Baseline	0
