onset	duration	event_type	trial_type
19.537	n/a	S  7	stimulus
20.952	n/a	S  1	response
21.47	n/a	S  7	stimulus
22.296	n/a	S  2	response
23.404	n/a	S  7	stimulus
23.952	n/a	S  3	response
25.137	n/a	S  7	stimulus
25.576	n/a	S  1	response
27.187	n/a	S 11	n/a
29.12	n/a	S  8	stimulus
29.688	n/a	S  1	response
30.953	n/a	S  8	stimulus
31.488	n/a	S  1	response
33.003	n/a	S  8	stimulus
33.536	n/a	S  2	response
34.836	n/a	S  8	stimulus
35.392	n/a	S  2	response
36.97	n/a	S 11	n/a
39.103	n/a	S  6	stimulus
39.904	n/a	S  1	response
41.236	n/a	S  6	stimulus
42.152	n/a	S  3	response
43.27	n/a	S  6	stimulus
44.328	n/a	S  3	response
45.103	n/a	S 11	n/a
47.036	n/a	S 11	n/a
47.969	n/a	S  5	stimulus
48.552	n/a	S  1	response
49.903	n/a	S  5	stimulus
50.568	n/a	S  1	response
52.036	n/a	S  5	stimulus
52.72	n/a	S  2	response
53.769	n/a	S 11	n/a
56.002	n/a	S  6	stimulus
56.696	n/a	S  3	response
57.736	n/a	S  6	stimulus
58.488	n/a	S  1	response
59.469	n/a	S  6	stimulus
60.16	n/a	S  1	response
61.402	n/a	S  6	stimulus
61.928	n/a	S  1	response
63.636	n/a	S 11	n/a
65.369	n/a	S 11	n/a
66.302	n/a	S  5	stimulus
67.039	n/a	S  2	response
68.235	n/a	S  5	stimulus
68.911	n/a	S  3	response
70.369	n/a	S  5	stimulus
70.967	n/a	S  3	response
72.502	n/a	S  5	stimulus
73.039	n/a	S  1	response
74.535	n/a	S 11	n/a
76.568	n/a	S  7	stimulus
77.119	n/a	S  2	response
78.418	n/a	S  7	stimulus
78.959	n/a	S  3	response
80.552	n/a	S  7	stimulus
81.015	n/a	S  1	response
82.602	n/a	S 11	n/a
84.452	n/a	S  8	stimulus
85.079	n/a	S  3	response
86.485	n/a	S  8	stimulus
87.119	n/a	S  3	response
88.735	n/a	S  8	stimulus
89.311	n/a	S  1	response
90.668	n/a	S 11	n/a
92.501	n/a	S  6	stimulus
93.295	n/a	S  1	response
94.235	n/a	S  6	stimulus
95.183	n/a	S  2	response
96.168	n/a	S  6	stimulus
96.975	n/a	S  2	response
98.201	n/a	S  6	stimulus
99.191	n/a	S  2	response
100.334	n/a	S 11	n/a
102.068	n/a	S  8	stimulus
102.711	n/a	S  1	response
103.901	n/a	S  8	stimulus
104.535	n/a	S  2	response
105.834	n/a	S  8	stimulus
106.351	n/a	S  2	response
107.767	n/a	S 11	n/a
109.501	n/a	S 10	n/a
119.517	n/a	S  5	stimulus
120.231	n/a	S  1	response
121.55	n/a	S  5	stimulus
122.383	n/a	S  2	response
123.484	n/a	S  5	stimulus
124.255	n/a	S  2	response
125.533	n/a	S 11	n/a
127.367	n/a	S  6	stimulus
128.319	n/a	S  2	response
129.317	n/a	S  6	stimulus
130.223	n/a	S  3	response
131.25	n/a	S  6	stimulus
132.079	n/a	S  3	response
132.983	n/a	S  6	stimulus
133.663	n/a	S  3	response
135.017	n/a	S 11	n/a
136.95	n/a	S  8	stimulus
137.511	n/a	S  3	response
138.683	n/a	S  8	stimulus
139.319	n/a	S  3	response
140.616	n/a	S  8	stimulus
141.239	n/a	S  1	response
142.65	n/a	S  8	stimulus
143.343	n/a	S  1	response
144.683	n/a	S 11	n/a
146.633	n/a	S 11	n/a
147.566	n/a	S  5	stimulus
148.199	n/a	S  3	response
149.799	n/a	S  5	stimulus
150.519	n/a	S  3	response
151.833	n/a	S  5	stimulus
152.703	n/a	S  1	response
153.566	n/a	S 11	n/a
155.599	n/a	S  8	stimulus
156.59	n/a	S  2	response
157.732	n/a	S  8	stimulus
158.206	n/a	S  2	response
159.782	n/a	S  8	stimulus
160.302	n/a	S  3	response
162.016	n/a	S  8	stimulus
162.622	n/a	S  3	response
164.149	n/a	S 11	n/a
165.999	n/a	S 11	n/a
166.949	n/a	S  6	stimulus
167.566	n/a	S  3	response
168.982	n/a	S  6	stimulus
169.99	n/a	S  1	response
170.932	n/a	S  6	stimulus
171.71	n/a	S  1	response
172.782	n/a	S 11	n/a
174.732	n/a	S  7	stimulus
175.374	n/a	S  2	response
176.765	n/a	S  7	stimulus
177.278	n/a	S  3	response
178.498	n/a	S  7	stimulus
178.99	n/a	S  1	response
180.432	n/a	S  7	stimulus
181.014	n/a	S  2	response
182.365	n/a	S 11	n/a
184.398	n/a	S  6	stimulus
185.23	n/a	S  1	response
186.131	n/a	S  6	stimulus
186.894	n/a	S  1	response
188.065	n/a	S  6	stimulus
188.79	n/a	S  2	response
189.798	n/a	S  6	stimulus
190.574	n/a	S  2	response
191.731	n/a	S 11	n/a
193.965	n/a	S  5	stimulus
194.59	n/a	S  1	response
196.198	n/a	S  5	stimulus
197.078	n/a	S  2	response
198.131	n/a	S  5	stimulus
198.894	n/a	S  2	response
199.864	n/a	S 11	n/a
201.998	n/a	S  7	stimulus
202.646	n/a	S  3	response
204.031	n/a	S  7	stimulus
204.654	n/a	S  1	response
205.864	n/a	S  7	stimulus
206.43	n/a	S  2	response
208.014	n/a	S 11	n/a
210.047	n/a	S 10	n/a
220.064	n/a	S  7	stimulus
221.534	n/a	S  3	response
221.797	n/a	S  7	stimulus
222.262	n/a	S  1	response
223.73	n/a	S  7	stimulus
224.246	n/a	S  2	response
225.464	n/a	S 11	n/a
227.297	n/a	S  8	stimulus
227.966	n/a	S  1	response
229.247	n/a	S  8	stimulus
229.686	n/a	S  1	response
231.08	n/a	S  8	stimulus
231.622	n/a	S  2	response
233.113	n/a	S  8	stimulus
233.758	n/a	S  2	response
234.963	n/a	S 11	n/a
236.996	n/a	S  6	stimulus
237.71	n/a	S  2	response
238.93	n/a	S  6	stimulus
239.798	n/a	S  1	response
240.863	n/a	S  6	stimulus
242.046	n/a	S  3	response
242.696	n/a	S  6	stimulus
243.725	n/a	S  3	response
244.546	n/a	S 11	n/a
246.48	n/a	S 11	n/a
247.43	n/a	S  5	stimulus
248.117	n/a	S  3	response
249.679	n/a	S  5	stimulus
250.365	n/a	S  3	response
251.713	n/a	S  5	stimulus
252.557	n/a	S  1	response
253.946	n/a	S 11	n/a
255.896	n/a	S  6	stimulus
256.557	n/a	S  3	response
257.929	n/a	S  6	stimulus
258.589	n/a	S  3	response
259.862	n/a	S  6	stimulus
260.469	n/a	S  2	response
260.621	n/a	S  1	response
261.896	n/a	S 11	n/a
264.029	n/a	S  8	stimulus
264.677	n/a	S  3	response
265.762	n/a	S  8	stimulus
266.301	n/a	S  3	response
267.795	n/a	S  8	stimulus
268.389	n/a	S  1	response
269.529	n/a	S  8	stimulus
270.141	n/a	S  1	response
271.462	n/a	S 11	n/a
273.412	n/a	S  5	stimulus
274.221	n/a	S  1	response
275.445	n/a	S  5	stimulus
276.341	n/a	S  2	response
277.478	n/a	S  5	stimulus
278.125	n/a	S  2	response
279.212	n/a	S 11	n/a
281.445	n/a	S  7	stimulus
282.085	n/a	S  3	response
283.279	n/a	S  7	stimulus
283.837	n/a	S  1	response
285.112	n/a	S  7	stimulus
285.661	n/a	S  2	response
286.862	n/a	S 11	n/a
288.895	n/a	S  5	stimulus
289.613	n/a	S  3	response
290.828	n/a	S  5	stimulus
291.645	n/a	S  3	response
292.761	n/a	S  5	stimulus
293.325	n/a	S  1	response
294.595	n/a	S 11	n/a
296.328	n/a	S  8	stimulus
296.957	n/a	S  2	response
298.261	n/a	S  8	stimulus
298.693	n/a	S  2	response
300.194	n/a	S  8	stimulus
300.781	n/a	S  3	response
302.228	n/a	S  8	stimulus
302.813	n/a	S  3	response
304.278	n/a	S 11	n/a
306.328	n/a	S 10	n/a
348.468	n/a	S 12	n/a
372.859	n/a	S  5	stimulus
373.708	n/a	S  1	response
374.609	n/a	S  5	stimulus
375.092	n/a	S  1	response
