onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	201	201
4.0995000000	n/a	4099.5	205	205
6.2840000000	n/a	6284	208	208
8.5165000000	n/a	8516.5	203	203
10.7325000000	n/a	10732.5	209	209
12.8835000000	n/a	12883.5	204	204
15.2165000000	n/a	15216.5	206	206
17.6495000000	n/a	17649.5	207	207
21.4655000000	n/a	21465.5	210	210
24.5495000000	n/a	24549.5	208	208
26.9985000000	n/a	26998.5	201	201
29.0655000000	n/a	29065.5	202	202
31.4985000000	n/a	31498.5	209	209
33.7155000000	n/a	33715.5	207	207
35.9155000000	n/a	35915.5	204	204
38.0985000000	n/a	38098.5	205	205
40.4485000000	n/a	40448.5	203	203
44.8310000000	n/a	44831	210	210
47.8980000000	n/a	47898	204	204
50.4150000000	n/a	50415	201	201
52.6310000000	n/a	52631	209	209
54.8815000000	n/a	54881.5	207	207
57.0145000000	n/a	57014.5	206	206
59.0305000000	n/a	59030.5	203	203
61.1815000000	n/a	61181.5	208	208
64.9490000000	n/a	64949	210	210
82.2630000000	n/a	82263	1400	1400
84.5805000000	n/a	84580.5	2500	2500
86.9465000000	n/a	86946.5	3800	3800
89.3630000000	n/a	89363	4300	4300
91.6522814670	n/a	91652.2815	79997	79997
94.6635000000	n/a	94663.5	140	140
97.6965000000	n/a	97696.5	150	150
98.6805000000	n/a	98680.5	180	180
99.2965000000	n/a	99296.5	130	130
100.5625000000	n/a	100562.5	113	113
105.0795000000	n/a	105079.5	1200	1200
107.3955000000	n/a	107395.5	2400	2400
109.8455000000	n/a	109845.5	3500	3500
112.2125000000	n/a	112212.5	4900	4900
114.7285000000	n/a	114728.5	5800	5800
117.0893422096	n/a	117089.3422	79997	79997
119.9960000000	n/a	119996	120	120
120.5625000000	n/a	120562.5	140	140
121.9290000000	n/a	121929	150	150
122.4460000000	n/a	122446	190	190
123.1960000000	n/a	123196	180	180
124.4940000000	n/a	124494	113	113
129.2455000000	n/a	129245.5	1900	1900
131.5610000000	n/a	131561	2100	2100
133.9785000000	n/a	133978.5	3400	3400
136.3945000000	n/a	136394.5	4800	4800
138.7110000000	n/a	138711	5600	5600
141.2120000000	n/a	141212	6500	6500
143.5035368062	n/a	143503.5368	79997	79997
146.2815000000	n/a	146281.5	190	190
147.0610000000	n/a	147061	110	110
148.3610000000	n/a	148361	140	140
149.1115000000	n/a	149111.5	180	180
149.7945000000	n/a	149794.5	160	160
150.7780000000	n/a	150778	150	150
151.7445000000	n/a	151744.5	113	113
156.2605000000	n/a	156260.5	1400	1400
158.5935000000	n/a	158593.5	2900	2900
160.8935000000	n/a	160893.5	3800	3800
163.2440000000	n/a	163244	4600	4600
165.6265000000	n/a	165626.5	5500	5500
167.9600000000	n/a	167960	6700	6700
170.4760000000	n/a	170476	7100	7100
172.7623975805	n/a	172762.3976	79997	79997
175.6435000000	n/a	175643.5	140	140
176.5605000000	n/a	176560.5	190	190
177.6110000000	n/a	177611	180	180
178.2770000000	n/a	178277	160	160
179.3765000000	n/a	179376.5	150	150
179.9935000000	n/a	179993.5	170	170
180.6425000000	n/a	180642.5	110	110
181.5760000000	n/a	181576	113	113
186.0925000000	n/a	186092.5	1300	1300
188.4255000000	n/a	188425.5	2700	2700
190.7760000000	n/a	190776	3800	3800
193.1585000000	n/a	193158.5	4100	4100
195.5750000000	n/a	195575	52000	52000
198.0250000000	n/a	198025	65000	65000
200.4085000000	n/a	200408.5	79	79
202.7425000000	n/a	202742.5	8600	8600
205.1682719910	n/a	205168.272	79997	79997
208.9420000000	n/a	208942	130	130
209.5760000000	n/a	209576	170	170
210.0925000000	n/a	210092.5	180	180
210.8755000000	n/a	210875.5	110	110
218.3920000000	n/a	218392	151	151
219.0090000000	n/a	219009	191	191
221.8085000000	n/a	221808.5	190	190
222.6080000000	n/a	222608	115	115
227.2415000000	n/a	227241.5	1900	1900
229.7235000000	n/a	229723.5	27	27
232.0235000000	n/a	232023.5	36000	36000
234.4235000000	n/a	234423.5	48000	48000
236.7900000000	n/a	236790	54000	54000
239.0570000000	n/a	239057	61000	61000
241.5075000000	n/a	241507.5	72	72
243.8487267127	n/a	243848.7267	79997	79997
246.6075000000	n/a	246607.5	190	190
250.8240000000	n/a	250824	141	141
252.0240000000	n/a	252024	181	181
253.1240000000	n/a	253124	161	161
253.6570000000	n/a	253657	171	171
257.9395000000	n/a	257939.5	110	110
258.4730000000	n/a	258473	120	120
259.8070000000	n/a	259807	115	115
264.3225000000	n/a	264322.5	1500	1500
266.6390000000	n/a	266639	2900	2900
268.9885000000	n/a	268988.5	3400	3400
271.4220000000	n/a	271422	4800	4800
273.8550000000	n/a	273855	5100	5100
276.3730000000	n/a	276373	6200	6200
278.7273956259	n/a	278727.3956	79997	79997
281.4725000000	n/a	281472.5	150	150
282.2395000000	n/a	282239.5	190	190
282.7555000000	n/a	282755.5	140	140
283.9395000000	n/a	283939.5	180	180
284.4885000000	n/a	284488.5	110	110
286.3550000000	n/a	286355	120	120
287.1875000000	n/a	287187.5	113	113
291.6880000000	n/a	291688	1300	1300
294.0885000000	n/a	294088.5	2500	2500
296.3875000000	n/a	296387.5	3700	3700
298.6545000000	n/a	298654.5	4600	4600
300.9380000000	n/a	300938	54000	54000
303.2545000000	n/a	303254.5	61000	61000
305.6535000000	n/a	305653.5	7200	7200
307.8415191551	n/a	307841.5192	79997	79997
310.5880000000	n/a	310588	130	130
311.1045000000	n/a	311104.5	150	150
311.6380000000	n/a	311638	170	170
312.2715000000	n/a	312271.5	160	160
318.7205000000	n/a	318720.5	111	111
319.8710000000	n/a	319871	141	141
321.0375000000	n/a	321037.5	120	120
321.8865000000	n/a	321886.5	114	114
326.8035000000	n/a	326803.5	1400	1400
329.2040000000	n/a	329204	2500	2500
331.6525000000	n/a	331652.5	3700	3700
333.9860000000	n/a	333986	4800	4800
336.5040000000	n/a	336504	5300	5300
338.9195000000	n/a	338919.5	6100	6100
341.2860000000	n/a	341286	7900	7900
343.7016621493	n/a	343701.6621	79997	79997
346.4030000000	n/a	346403	140	140
346.9365000000	n/a	346936.5	150	150
348.0700000000	n/a	348070	170	170
348.5865000000	n/a	348586.5	180	180
349.1200000000	n/a	349120	130	130
349.7255000000	n/a	349725.5	110	110
350.3535000000	n/a	350353.5	190	190
351.1695000000	n/a	351169.5	113	113
355.6860000000	n/a	355686	14000	14000
358.1690000000	n/a	358169	26000	26000
360.5690000000	n/a	360569	31000	31000
362.8515000000	n/a	362851.5	4500	4500
365.1180000000	n/a	365118	59000	59000
367.6020000000	n/a	367602	6800	6800
370.0845000000	n/a	370084.5	7200	7200
372.4510000000	n/a	372451	8300	8300
374.7808404240	n/a	374780.8404	79997	79997
379.9845000000	n/a	379984.5	111	111
383.3855000000	n/a	383385.5	191	191
384.1185000000	n/a	384118.5	161	161
385.2015000000	n/a	385201.5	150	150
385.9515000000	n/a	385951.5	141	141
387.2025000000	n/a	387202.5	180	180
388.3010000000	n/a	388301	120	120
389.1845000000	n/a	389184.5	130	130
389.9340000000	n/a	389934	114	114
400.7495000000	n/a	400749.5	203	203
402.8670000000	n/a	402867	207	207
404.9005000000	n/a	404900.5	205	205
407.0665000000	n/a	407066.5	204	204
409.2495000000	n/a	409249.5	209	209
411.4330000000	n/a	411433	206	206
413.5495000000	n/a	413549.5	208	208
415.9500000000	n/a	415950	202	202
419.1830000000	n/a	419183	210	210
422.2830000000	n/a	422283	202	202
424.6330000000	n/a	424633	205	205
426.8325000000	n/a	426832.5	208	208
429.0820000000	n/a	429082	203	203
431.3820000000	n/a	431382	204	204
433.5160000000	n/a	433516	206	206
435.6655000000	n/a	435665.5	207	207
438.0990000000	n/a	438099	201	201
440.9485000000	n/a	440948.5	210	210
444.3985000000	n/a	444398.5	207	207
446.8655000000	n/a	446865.5	202	202
448.8985000000	n/a	448898.5	208	208
451.1980000000	n/a	451198	205	205
453.5480000000	n/a	453548	209	209
455.8650000000	n/a	455865	201	201
458.1475000000	n/a	458147.5	206	206
460.5480000000	n/a	460548	204	204
463.6135000000	n/a	463613.5	210	210
469.9470000000	n/a	469947	1800	1800
472.2140000000	n/a	472214	2400	2400
474.4975000000	n/a	474497.5	39000	39000
476.8645000000	n/a	476864.5	46000	46000
479.1310000000	n/a	479131	57000	57000
481.4635000000	n/a	481463.5	65000	65000
483.7305000000	n/a	483730.5	7100	7100
486.0460000000	n/a	486046	8300	8300
488.3102721299	n/a	488310.2721	79997	79997
491.1310000000	n/a	491131	180	180
492.4305000000	n/a	492430.5	140	140
492.9640000000	n/a	492964	161	161
494.0310000000	n/a	494031	171	171
495.1475000000	n/a	495147.5	151	151
496.3310000000	n/a	496331	191	191
496.8635000000	n/a	496863.5	110	110
498.1965000000	n/a	498196.5	130	130
499.0965000000	n/a	499096.5	114	114
503.7120000000	n/a	503712	1900	1900
506.2120000000	n/a	506212	2500	2500
508.5300000000	n/a	508530	33000	33000
511.0300000000	n/a	511030	47	47
513.4630000000	n/a	513463	5100	5100
515.9295000000	n/a	515929.5	6600	6600
518.2455000000	n/a	518245.5	7200	7200
520.5785000000	n/a	520578.5	8800	8800
523.0018219198	n/a	523001.8219	79997	79997
525.7815000000	n/a	525781.5	190	190
526.8125000000	n/a	526812.5	150	150
527.3455000000	n/a	527345.5	121	121
530.9625000000	n/a	530962.5	150	150
531.6620000000	n/a	531662	130	130
532.3125000000	n/a	532312.5	170	170
533.1785000000	n/a	533178.5	110	110
533.7125000000	n/a	533712.5	160	160
534.2290000000	n/a	534229	181	181
535.3285000000	n/a	535328.5	121	121
536.0950000000	n/a	536095	114	114
540.9445000000	n/a	540944.5	1600	1600
543.2615000000	n/a	543261.5	2500	2500
545.6445000000	n/a	545644.5	3400	3400
548.0440000000	n/a	548044	4200	4200
550.4105000000	n/a	550410.5	5900	5900
552.9100000000	n/a	552910	6100	6100
555.3775000000	n/a	555377.5	7800	7800
557.8105000000	n/a	557810.5	8300	8300
560.1849759973	n/a	560184.976	79997	79997
562.7945000000	n/a	562794.5	160	160
564.2945000000	n/a	564294.5	150	150
564.8105000000	n/a	564810.5	140	140
565.9105000000	n/a	565910.5	120	120
567.2615000000	n/a	567261.5	190	190
568.1605000000	n/a	568160.5	110	110
569.3625000000	n/a	569362.5	180	180
570.3775000000	n/a	570377.5	130	130
571.8600000000	n/a	571860	113	113
576.3760000000	n/a	576376	16000	16000
578.7765000000	n/a	578776.5	21000	21000
581.0600000000	n/a	581060	33000	33000
583.4430000000	n/a	583443	47000	47000
585.9090000000	n/a	585909	5900	5900
588.1925000000	n/a	588192.5	6400	6400
590.6760000000	n/a	590676	7500	7500
