onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
6.239937	0.004000	dropped_samples	2933.116860	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
10.776092	0.004000	dropped_samples	2937.653016	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
12.290285	0.000000	started_tutorial_artihmetic	2939.167209	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
16.821034	0.012000	dropped_samples	2943.697957	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.031031	0.012000	dropped_samples	2948.907954	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
26.376735	0.004000	dropped_samples	2953.253658	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
27.909928	0.004000	dropped_samples	2954.786852	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.097440	0.004000	dropped_samples	2956.974363	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
39.477330	0.004000	dropped_samples	2966.354254	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
41.879687	0.004000	dropped_samples	2968.756611	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
59.736384	0.004000	dropped_samples	2986.613307	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
62.114178	0.004000	dropped_samples	2988.991102	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
64.560408	0.004000	dropped_samples	2991.437331	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
65.375828	0.012000	dropped_samples	2992.252752	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
66.454953	0.012000	dropped_samples	2993.331876	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
67.656138	0.012000	dropped_samples	2994.533061	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
71.689397	0.004000	dropped_samples	2998.566321	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
73.706003	0.004000	dropped_samples	3000.582926	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
77.519557	0.012000	dropped_samples	3004.396481	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
78.120004	0.004000	dropped_samples	3004.996928	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
78.296655	0.000000	1_5_2_4	3005.173579	1.5-2.4	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
79.394399	0.004000	dropped_samples	3006.271322	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
81.144660	6.000000	1.5-2.4	3008.021584	1.5-2.4 Correct tutorial	1	1.5-2.4	Correct	true	n/a	arithmetic-Markers
83.998950	0.004000	dropped_samples	3010.875874	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
87.664706	0.000000	2_4_3_3	3014.541630	2.4-3.3	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
88.984643	6.000000	2.4-3.3	3015.861566	2.4-3.3 Correct tutorial	1	2.4-3.3	Correct	true	n/a	arithmetic-Markers
88.994049	0.004000	dropped_samples	3015.870973	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
95.484917	0.000000	3_3_4_2	3022.361840	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
96.680291	6.000000	3.3-4.2	3023.557214	3.3-4.2 Correct tutorial	1	3.3-4.2	Correct	true	n/a	arithmetic-Markers
96.767493	0.004000	dropped_samples	3023.644416	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
98.378921	0.004000	dropped_samples	3025.255845	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
99.194231	0.004000	dropped_samples	3026.071155	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
99.672785	0.004000	dropped_samples	3026.549709	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
100.678723	0.004000	dropped_samples	3027.555646	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
103.190061	0.000000	0_6_1_5	3030.066984	0.6-1.5	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
104.369131	6.000000	0.6-1.5	3031.246054	0.6-1.5 Correct tutorial	1	0.6-1.5	Correct	true	n/a	arithmetic-Markers
110.891636	0.000000	5_1_6_0	3037.768559	5.1-6.0	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
113.560861	6.000000	5.1-6.0	3040.437785	5.1-6.0 Wrong tutorial	0	5.1-6.0	Wrong	true	n/a	arithmetic-Markers
120.060445	0.000000	6_0_6_9	3046.937368	6.0-6.9	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
123.736767	6.000000	6.0-6.9	3050.613691	6.0-6.9 Correct tutorial	1	6.0-6.9	Correct	true	n/a	arithmetic-Markers
127.294878	0.004000	dropped_samples	3054.171801	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
130.236193	0.000000	4_2_5_1	3057.113116	4.2-5.1	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
130.634766	0.004000	dropped_samples	3057.511689	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
132.656269	6.000000	4.2-5.1	3059.533193	4.2-5.1 Wrong tutorial	0	4.2-5.1	Wrong	true	n/a	arithmetic-Markers
133.159332	0.000000	finished_tutorial_arithmetic	3060.036256	Finished tutorial Arithmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
135.027488	0.000000	started_arithmetic	3061.904411	Started arithmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
142.047821	0.000000	4_2_5_1	3068.924744	4.2-5.1	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
143.784172	0.004000	dropped_samples	3070.661096	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
144.287603	0.012000	dropped_samples	3071.164526	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
144.448766	6.000000	4.2-5.1	3071.325690	4.2-5.1 Wrong	0	4.2-5.1	Wrong	false	n/a	arithmetic-Markers
150.948535	0.000000	2_4_3_3	3077.825458	2.4-3.3	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
152.024575	6.000000	2.4-3.3	3078.901498	2.4-3.3 Correct	1	2.4-3.3	Correct	false	n/a	arithmetic-Markers
152.163184	0.004000	dropped_samples	3079.040107	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
152.641581	0.012000	dropped_samples	3079.518504	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
158.531682	0.000000	3_3_4_2	3085.408606	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
160.352272	6.000000	3.3-4.2	3087.229195	3.3-4.2 Correct	1	3.3-4.2	Correct	false	n/a	arithmetic-Markers
160.439533	0.004000	dropped_samples	3087.316457	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
166.860904	0.000000	3_3_4_2	3093.737827	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
167.568528	0.012000	dropped_samples	3094.445451	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
167.954160	0.008000	dropped_samples	3094.831083	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
169.032492	6.000000	3.3-4.2	3095.909415	3.3-4.2 Wrong	0	3.3-4.2	Wrong	false	n/a	arithmetic-Markers
171.098714	0.004000	dropped_samples	3097.975638	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
172.226623	0.012000	dropped_samples	3099.103546	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
172.392629	0.004000	dropped_samples	3099.269553	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
173.710999	0.012000	dropped_samples	3100.587922	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
175.537220	0.004000	dropped_samples	3102.414143	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
175.538322	0.000000	3_3_4_2	3102.415246	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
178.344678	6.000000	3.3-4.2	3105.221602	3.3-4.2 Correct	1	3.3-4.2	Correct	false	n/a	arithmetic-Markers
180.483526	0.004000	dropped_samples	3107.360450	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
181.367334	0.004000	dropped_samples	3108.244258	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
184.864329	0.000000	4_2_5_1	3111.741252	4.2-5.1	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
186.608062	6.000000	4.2-5.1	3113.484985	4.2-5.1 Wrong	0	4.2-5.1	Wrong	false	n/a	arithmetic-Markers
191.738406	0.004000	dropped_samples	3118.615330	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
193.124519	0.000000	3_3_4_2	3120.001443	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
195.408429	6.000000	3.3-4.2	3122.285353	3.3-4.2 Wrong	0	3.3-4.2	Wrong	false	n/a	arithmetic-Markers
