onset	duration	event_value	event_name
522.74609375	0.1	10	trial_end
525.005859375	0.1	9	fixation_on
526.587890625	0.1	2	cue_right
529.69921875	0.1	12	target_right
530.013671875	0.1	15	reaction_correct
530.712890625	0.1	10	trial_end
533.31640625	0.1	9	fixation_on
534.3515625	0.1	1	cue_left
535.45703125	0.1	11	target_left
535.875	0.1	15	reaction_correct
536.474609375	0.1	10	trial_end
539.1328125	0.1	9	fixation_on
541.021484375	0.1	2	cue_right
544.13671875	0.1	12	target_right
544.396484375	0.1	15	reaction_correct
545.14453125	0.1	10	trial_end
547.794921875	0.1	9	fixation_on
548.921875	0.1	2	cue_right
550.029296875	0.1	12	target_right
550.388671875	0.1	15	reaction_correct
551.037109375	0.1	10	trial_end
553.33984375	0.1	9	fixation_on
554.40625	0.1	2	cue_right
555.51953125	0.1	12	target_right
555.88671875	0.1	15	reaction_correct
556.529296875	0.1	10	trial_end
558.76953125	0.1	9	fixation_on
560.041015625	0.1	2	cue_right
561.150390625	0.1	12	target_right
561.525390625	0.1	15	reaction_correct
562.1640625	0.1	10	trial_end
564.34375	0.1	9	fixation_on
565.76171875	0.1	2	cue_right
566.884765625	0.1	11	target_left
567.33203125	0.1	15	reaction_correct
567.888671875	0.1	10	trial_end
570.21484375	0.1	9	fixation_on
571.3359375	0.1	1	cue_left
574.458984375	0.1	11	target_left
574.720703125	0.1	15	reaction_correct
575.466796875	0.1	10	trial_end
578.375	0.1	9	fixation_on
580.37109375	0.1	2	cue_right
582.486328125	0.1	11	target_left
582.841796875	0.1	15	reaction_correct
583.494140625	0.1	10	trial_end
585.876953125	0.1	9	fixation_on
587.76171875	0.1	1	cue_left
591.869140625	0.1	11	target_left
592.146484375	0.1	15	reaction_correct
592.884765625	0.1	10	trial_end
595.771484375	0.1	9	fixation_on
597.5703125	0.1	1	cue_left
601.685546875	0.1	11	target_left
601.986328125	0.1	15	reaction_correct
602.689453125	0.1	10	trial_end
604.94140625	0.1	9	fixation_on
606.642578125	0.1	2	cue_right
610.7578125	0.1	12	target_right
611.126953125	0.1	15	reaction_correct
611.779296875	0.1	10	trial_end
614.458984375	0.1	9	fixation_on
615.49609375	0.1	2	cue_right
620.603515625	0.1	12	target_right
620.896484375	0.1	15	reaction_correct
621.607421875	0.1	10	trial_end
624.5546875	0.1	9	fixation_on
626.046875	0.1	1	cue_left
629.171875	0.1	12	target_right
629.634765625	0.1	15	reaction_correct
630.173828125	0.1	10	trial_end
632.919921875	0.1	9	fixation_on
634.453125	0.1	1	cue_left
635.5703125	0.1	11	target_left
635.853515625	0.1	15	reaction_correct
636.58203125	0.1	10	trial_end
638.83203125	0.1	9	fixation_on
640.27734375	0.1	2	cue_right
645.39453125	0.1	12	target_right
645.685546875	0.1	15	reaction_correct
646.404296875	0.1	10	trial_end
648.794921875	0.1	9	fixation_on
650.4375	0.1	2	cue_right
654.560546875	0.1	11	target_left
654.923828125	0.1	15	reaction_correct
655.5703125	0.1	10	trial_end
658.359375	0.1	9	fixation_on
659.912109375	0.1	2	cue_right
663.048828125	0.1	12	target_right
663.35546875	0.1	15	reaction_correct
664.0546875	0.1	10	trial_end
666.46875	0.1	9	fixation_on
668.375	0.1	1	cue_left
672.478515625	0.1	11	target_left
672.763671875	0.1	15	reaction_correct
673.501953125	0.1	10	trial_end
675.7421875	0.1	9	fixation_on
676.982421875	0.1	2	cue_right
680.115234375	0.1	11	target_left
680.619140625	0.1	15	reaction_correct
681.119140625	0.1	10	trial_end
684.10546875	0.1	9	fixation_on
685.826171875	0.1	2	cue_right
686.94921875	0.1	12	target_right
687.296875	0.1	15	reaction_correct
687.96875	0.1	10	trial_end
690.78515625	0.1	9	fixation_on
691.982421875	0.1	1	cue_left
697.0859375	0.1	11	target_left
697.357421875	0.1	15	reaction_correct
698.08984375	0.1	10	trial_end
700.91796875	0.1	9	fixation_on
702.49609375	0.1	1	cue_left
706.607421875	0.1	11	target_left
706.86328125	0.1	15	reaction_correct
707.6171875	0.1	10	trial_end
710.064453125	0.1	9	fixation_on
711.953125	0.1	1	cue_left
716.08203125	0.1	11	target_left
716.359375	0.1	15	reaction_correct
717.087890625	0.1	10	trial_end
719.119140625	0.1	9	fixation_on
720.31640625	0.1	1	cue_left
723.4296875	0.1	11	target_left
723.724609375	0.1	15	reaction_correct
724.4453125	0.1	10	trial_end
731.630859375	0.1	5	run_end
