onset	duration	sample	trial_type	response_time	stim_file	value	HED
895.9300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
896.3000000000	n/a	n/a	n/a	n/a	n/a	161	n/a
899.4400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
900.1000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
903.2400000000	n/a	n/a	n/a	n/a	n/a	361	n/a
909.9200000000	n/a	n/a	n/a	n/a	n/a	61	n/a
911.3960000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
916.0600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
916.4000000000	n/a	n/a	n/a	n/a	n/a	161	n/a
919.5700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
920.2000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
923.3600000000	n/a	n/a	n/a	n/a	n/a	361	n/a
930.0200000000	n/a	n/a	n/a	n/a	n/a	61	n/a
931.9100000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
936.2600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
936.5900000000	n/a	n/a	n/a	n/a	n/a	161	n/a
939.7700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
940.4000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
943.5600000000	n/a	n/a	n/a	n/a	n/a	361	n/a
950.2300000000	n/a	n/a	n/a	n/a	n/a	61	n/a
953.9640000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
956.4400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
956.7800000000	n/a	n/a	n/a	n/a	n/a	161	n/a
959.9500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
960.5800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
963.7600000000	n/a	n/a	n/a	n/a	n/a	361	n/a
970.4200000000	n/a	n/a	n/a	n/a	n/a	61	n/a
972.5080000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
976.5300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
976.8600000000	n/a	n/a	n/a	n/a	n/a	161	n/a
980.0300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
980.6700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
983.8400000000	n/a	n/a	n/a	n/a	n/a	361	n/a
990.4800000000	n/a	n/a	n/a	n/a	n/a	61	n/a
992.5460000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
996.7600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
997.1300000000	n/a	n/a	n/a	n/a	n/a	161	n/a
1000.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1000.9000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
1004.1000000000	n/a	n/a	n/a	n/a	n/a	361	n/a
1010.7000000000	n/a	n/a	n/a	n/a	n/a	61	n/a
1017.1560000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
1017.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1017.7000000000	n/a	n/a	n/a	n/a	n/a	161	n/a
1020.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1021.5000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
1024.6000000000	n/a	n/a	n/a	n/a	n/a	361	n/a
1031.3000000000	n/a	n/a	n/a	n/a	n/a	61	n/a
1032.5840000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
1037.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1037.8000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1040.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1041.6000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1044.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1051.4000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1056.6840000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
1057.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1057.9000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1061.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1061.7000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1064.8000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1071.5000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1074.5520000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1077.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1078.1000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1081.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1081.9000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1085.0000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1091.7000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1093.1760000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
