onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	0.599	4
16.5	1	1	2	1	1	1	0.749	4
21	1	1	3	2	1	1	0.627	4
25.5	1	1	4	2	1	1	0.985	4
30	1	1	5	2	1	1	0.734	4
34.5	1	1	6	1	1	1	0.57	4
39	1	1	7	1	2	1	0.901	1
43.5	1	1	8	2	2	1	1.345	2
48	1	1	9	2	1	1	0.777	3
52.5	1	1	10	2	2	1	0.962	1
57	1	1	11	2	1	1	0.706	4
61.5	1	1	12	2	1	1	0.636	4
66	1	1	13	2	1	1	0.643	4
70.5	1	1	14	1	1	1	0.664	4
75	1	1	15	1	2	1	0.788	1
79.5	1	1	16	2	2	1	0.78	1
84	1	1	17	1	2	1	0.881	1
88.5	1	1	18	1	1	1	0.605	4
93	1	1	19	2	2	1	1.131	1
97.5	1	1	20	1	2	1	0.897	2
102	1	1	21	2	2	1	0.728	1
106.5	1	1	22	2	1	1	0.684	4
111	1	1	23	1	1	1	0.643	4
115.5	1	1	24	1	2	1	0.892	1
120	1	1	25	2	1	1	0.981	4
124.5	1	1	26	1	2	1	0.904	1
129	1	1	27	2	2	1	1.152	4
133.5	1	1	28	1	1	1	0.731	4
138	1	1	29	2	1	1	1.182	4
142.5	1	1	30	1	2	1	0.757	1
147	1	1	31	1	2	1	0.898	3
151.5	1	1	32	2	2	1	0.909	1
156	1	1	33	2	2	1	0.908	1
160.5	1	1	34	1	2	1	1.393	2
165	1	1	35	2	1	1	0.648	4
169.5	1	1	36	2	1	1	1.114	4
174	1	1	37	1	1	1	0.674	4
178.5	1	1	38	1	1	1	0.79	4
183	1	1	39	1	1	1	0.568	4
187.5	1	1	40	2	1	1	0.809	4
192	1	1	41	2	1	1	0.63	4
196.5	1	1	42	1	1	1	 n/a	 n/a
201	1	1	43	1	2	1	1.105	3
205.5	1	1	44	1	1	1	0.803	4
210	1	1	45	1	1	1	0.82	4
214.5	1	1	46	1	2	1	0.796	1
219	1	1	47	1	1	1	0.646	4
223.5	1	1	48	2	1	1	0.544	4
228	1	1	49	2	1	1	0.683	4
232.5	1	1	50	1	2	1	1.166	1
237	1	1	51	1	2	1	0.697	1
241.5	1	1	52	1	1	1	0.64	4
246	1	1	53	1	2	1	0.663	1
250.5	1	1	54	1	1	1	0.692	4
255	1	1	55	1	2	1	1.04	1
259.5	1	1	56	1	1	1	0.903	4
264	1	1	57	2	2	1	1.167	1
268.5	1	1	58	2	1	1	0.79	3
273	1	1	59	1	1	1	0.71	4
277.5	1	1	60	2	2	1	1.401	1
282	1	1	61	2	1	1	0.947	4
286.5	1	1	62	1	2	1	1.058	1
291	1	1	63	1	2	1	0.744	4
295.5	1	1	64	2	2	1	0.822	1
300	1	1	65	1	2	1	1.018	2
304.5	1	1	66	2	2	1	0.78	1
309	1	1	67	2	2	1	1.243	1
313.5	1	1	68	2	2	1	1.046	2
318	1	1	69	1	2	1	0.937	2
322.5	1	1	70	2	1	1	1.032	4
327	1	1	71	1	2	1	1.017	2
331.5	1	1	72	2	1	1	0.656	4
336	1	1	73	2	2	1	 n/a	 n/a
340.5	1	1	74	1	2	1	0.884	1
345	1	1	75	1	1	1	0.717	4
349.5	1	1	76	1	1	1	0.715	4
354	1	1	77	2	2	1	0.775	1
358.5	1	1	78	2	2	1	0.774	1
363	1	1	79	1	2	1	0.621	1
367.5	1	1	80	1	1	1	0.825	3
372	1	1	81	1	1	1	0.817	4
376.5	1	1	82	2	2	1	0.762	4
381	1	1	83	2	2	1	1.467	4
385.5	1	1	84	2	1	1	 n/a	 n/a
390	1	1	85	2	2	1	 n/a	 n/a
394.5	1	1	86	2	1	1	1.041	4
399	1	1	87	2	2	1	0.96	1
403.5	1	1	88	2	1	1	0.746	4
408	1	1	89	2	2	1	0.992	1
412.5	1	1	90	2	2	1	0.706	1
417	1	1	91	1	1	1	0.688	4
421.5	1	1	92	2	2	1	0.936	2
426	1	1	93	1	1	1	0.761	4
430.5	1	1	94	1	1	1	0.724	4
435	1	1	95	1	2	1	0.796	1
439.5	1	1	96	1	2	1	0.927	3
