onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	2	0.915	2
15	1	1	2	2	2	2	0.879	3
18	1	1	3	2	2	1	0.659	4
21	1	1	4	2	1	2	0.65	4
24	1	1	5	2	2	1	0.738	4
27	1	1	6	2	1	2	1.017	4
30	1	1	7	2	2	1	0.647	4
33	1	1	8	2	1	1	0.744	4
36	1	1	9	2	2	2	0.68	4
39	1	1	10	2	1	1	0.81	2
42	1	1	11	2	2	2	0.687	3
45	1	1	12	2	1	1	0.991	1
63	1	2	1	1	1	1	0.991	2
66	1	2	2	1	1	2	0.887	3
69	1	2	3	1	1	1	0.925	4
72	1	2	4	1	1	2	1.382	2
75	1	2	5	1	2	2	0.656	1
78	1	2	6	1	2	1	1.024	1
81	1	2	7	1	2	1	0.874	1
84	1	2	8	1	1	2	0.82	2
87	1	2	9	1	2	2	1.092	3
90	1	2	10	1	1	1	0.734	2
93	1	2	11	1	2	1	0.856	1
96	1	2	12	1	2	2	0.733	2
114	1	3	1	2	1	2	0.749	3
117	1	3	2	2	2	1	0.675	4
120	1	3	3	2	2	2	0.805	4
123	1	3	4	2	1	1	0.899	3
126	1	3	5	2	2	2	0.853	2
129	1	3	6	2	1	2	1.035	1
132	1	3	7	2	2	2	0.931	1
135	1	3	8	2	2	1	1.161	2
138	1	3	9	2	1	1	1.47	3
141	1	3	10	2	1	1	0.815	4
144	1	3	11	2	2	1	1.346	3
147	1	3	12	2	1	2	0.773	4
165	1	4	1	1	1	2	1.324	4
168	1	4	2	1	1	2	0.822	3
171	1	4	3	1	2	1	0.731	4
174	1	4	4	1	2	2	0.904	1
177	1	4	5	1	1	2	1.21	4
180	1	4	6	1	2	2	0.752	3
183	1	4	7	1	1	1	0.837	4
186	1	4	8	1	2	1	0.004	4
189	1	4	9	1	1	1	0.004	4
192	1	4	10	1	1	1	0.004	4
195	1	4	11	1	2	2	0.983	1
198	1	4	12	1	2	1	0.896	2
