onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	1	1	0.833	4
15	1	1	2	3	1	1	0.893	4
18	1	1	3	3	2	1	0.969	2
21	1	1	4	3	1	2	1.285	4
24	1	1	5	3	1	2	0.894	4
27	1	1	6	3	1	2	0.66	4
30	1	1	7	3	1	1	0.924	4
33	1	1	8	3	2	1	0.799	1
36	1	1	9	3	2	1	0.878	1
39	1	1	10	3	2	2	1.121	1
42	1	1	11	3	2	2	1	1
45	1	1	12	3	2	2	0.674	1
63	1	2	1	1	2	1	1.294	2
66	1	2	2	1	1	2	1.137	4
69	1	2	3	1	2	1	1.217	2
72	1	2	4	1	2	2	0.749	1
75	1	2	5	1	1	2	1.13	3
78	1	2	6	1	1	1	1.131	2
81	1	2	7	1	1	1	1.132	4
84	1	2	8	1	2	2	1.106	2
87	1	2	9	1	2	1	1.73	2
90	1	2	10	1	2	2	1.018	1
93	1	2	11	1	1	2	1.052	1
96	1	2	12	1	1	1	0.968	2
114	1	3	1	2	1	1	1.758	1
117	1	3	2	2	2	1	1.098	2
120	1	3	3	2	2	2	1.14	3
123	1	3	4	2	2	1	1.259	3
126	1	3	5	2	1	2	1.133	2
129	1	3	6	2	2	1	1.516	3
132	1	3	7	2	2	2	0.944	4
135	1	3	8	2	1	2	1.176	3
138	1	3	9	2	1	1	1.241	3
141	1	3	10	2	1	2	1.044	4
144	1	3	11	2	1	1	1.076	4
147	1	3	12	2	2	2	1.069	2
165	1	4	1	1	1	2	1.061	3
168	1	4	2	1	2	1	1.638	2
171	1	4	3	1	1	1	1.26	2
174	1	4	4	1	2	2	0.911	2
177	1	4	5	1	1	1	0.833	1
180	1	4	6	1	2	2	0.691	1
183	1	4	7	1	2	1	1.018	1
186	1	4	8	1	2	2	0.858	2
189	1	4	9	1	2	1	0.806	3
192	1	4	10	1	1	1	1.225	3
195	1	4	11	1	1	2	1.271	2
198	1	4	12	1	1	2	0.637	4
216	1	5	1	3	1	2	0.566	4
219	1	5	2	3	1	1	0.598	4
222	1	5	3	3	2	2	1.236	1
225	1	5	4	3	2	2	0.898	1
228	1	5	5	3	2	1	0.7	1
231	1	5	6	3	1	1	0.761	4
234	1	5	7	3	1	2	1.062	3
237	1	5	8	3	2	1	0.92	2
240	1	5	9	3	2	2	0.844	1
243	1	5	10	3	1	2	0.675	3
246	1	5	11	3	1	1	1.499	3
249	1	5	12	3	2	1	1.027	1
267	1	6	1	2	2	1	0.884	4
270	1	6	2	2	2	1	0.85	3
273	1	6	3	2	2	1	0.896	4
276	1	6	4	2	2	2	1.168	1
279	1	6	5	2	1	1	1.069	3
282	1	6	6	2	1	2	0.973	2
285	1	6	7	2	2	2	0.815	4
288	1	6	8	2	1	1	0.588	2
291	1	6	9	2	1	2	0.991	1
294	1	6	10	2	1	1	0.894	1
297	1	6	11	2	1	2	1.15	3
300	1	6	12	2	2	2	1.232	3
