onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	1	1.223	3
15	1	1	2	1	2	2	0.609	2
18	1	1	3	1	1	2	0.932	3
21	1	1	4	1	2	1	0.898	3
24	1	1	5	1	2	1	0.917	1
27	1	1	6	1	1	2	0.914	4
30	1	1	7	1	2	1	1.224	2
33	1	1	8	1	1	1	0.746	1
36	1	1	9	1	1	1	0.674	1
39	1	1	10	1	1	2	0.794	2
42	1	1	11	1	2	2	0.835	3
45	1	1	12	1	2	2	0.769	1
63	1	2	1	2	2	2	1.329	1
66	1	2	2	2	2	1	1.314	3
69	1	2	3	2	2	1	0.892	3
72	1	2	4	2	1	1	0.831	2
75	1	2	5	2	1	2	0.938	4
78	1	2	6	2	2	2	1.148	2
81	1	2	7	2	2	2	0.866	3
84	1	2	8	2	2	1	1.145	3
87	1	2	9	2	1	2	1.352	2
90	1	2	10	2	1	1	0.919	4
93	1	2	11	2	1	1	1.194	4
96	1	2	12	2	1	2	0.942	2
114	1	3	1	1	2	1	1.396	3
117	1	3	2	1	2	1	0.935	2
120	1	3	3	1	2	2	1.019	4
123	1	3	4	1	1	1	1.159	3
126	1	3	5	1	2	2	1.022	2
129	1	3	6	1	2	2	0.877	1
132	1	3	7	1	1	2	1.106	2
135	1	3	8	1	1	2	1.031	1
138	1	3	9	1	1	2	0.969	2
141	1	3	10	1	2	1	1.03	1
144	1	3	11	1	1	1	1.104	2
147	1	3	12	1	1	1	1.154	3
165	1	4	1	2	1	2	1.522	1
168	1	4	2	2	2	2	1.33	3
171	1	4	3	2	2	2	0.841	3
174	1	4	4	2	2	1	0.877	3
177	1	4	5	2	2	2	0.888	2
180	1	4	6	2	1	1	1.158	2
183	1	4	7	2	1	1	1.024	2
186	1	4	8	2	1	2	1.334	3
189	1	4	9	2	1	1	0.708	2
192	1	4	10	2	2	1	1.326	2
195	1	4	11	2	2	1	1.317	2
198	1	4	12	2	1	2	0.853	4
