onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	1	0.714	4
15	1	1	2	1	1	2	0.689	2
18	1	1	3	1	1	1	0.963	2
21	1	1	4	1	2	1	1.202	1
24	1	1	5	1	1	2	1.096	4
27	1	1	6	1	2	2	0.907	2
30	1	1	7	1	2	1	1.06	2
33	1	1	8	1	1	1	0.837	3
36	1	1	9	1	2	2	0.81	1
39	1	1	10	1	1	2	0.968	2
42	1	1	11	1	2	1	1.416	1
45	1	1	12	1	2	2	1.685	2
63	1	2	1	2	2	1	1.457	2
66	1	2	2	2	1	1	1.481	4
69	1	2	3	2	1	2	0.888	3
72	1	2	4	2	1	1	1.027	2
75	1	2	5	2	2	1	1.559	2
78	1	2	6	2	2	1	 n/a	 n/a
81	1	2	7	2	1	2	1.528	1
84	1	2	8	2	2	2	1.292	1
87	1	2	9	2	2	2	1.316	2
90	1	2	10	2	1	1	1.022	2
93	1	2	11	2	1	2	0.962	3
96	1	2	12	2	2	2	1.191	3
114	1	3	1	3	2	2	0.872	1
117	1	3	2	3	2	1	0.654	1
120	1	3	3	3	1	2	0.978	4
123	1	3	4	3	2	1	0.686	1
126	1	3	5	3	2	2	0.943	2
129	1	3	6	3	1	2	0.791	3
132	1	3	7	3	2	1	0.004	4
135	1	3	8	3	1	2	0.004	4
138	1	3	9	3	2	2	1.338	3
141	1	3	10	3	1	1	0.977	4
144	1	3	11	3	1	1	0.854	4
147	1	3	12	3	1	1	1.348	4
165	1	4	1	1	1	1	 n/a	 n/a
168	1	4	2	1	2	1	0.734	3
171	1	4	3	1	2	2	1.181	3
174	1	4	4	1	2	2	1.207	2
177	1	4	5	1	1	1	1.049	4
180	1	4	6	1	1	2	1.243	3
183	1	4	7	1	1	2	1.108	2
186	1	4	8	1	1	1	1.118	2
189	1	4	9	1	2	1	1.325	3
192	1	4	10	1	2	2	1.333	4
195	1	4	11	1	1	2	1.422	2
198	1	4	12	1	2	1	1.334	3
216	1	5	1	3	2	2	0.733	1
219	1	5	2	3	1	2	0.53	4
222	1	5	3	3	2	2	0.74	1
225	1	5	4	3	1	2	1.065	4
228	1	5	5	3	2	2	0.748	1
231	1	5	6	3	1	2	1.071	4
234	1	5	7	3	2	1	1.402	2
237	1	5	8	3	1	1	0.715	4
240	1	5	9	3	2	1	0.643	4
243	1	5	10	3	2	1	1.271	1
246	1	5	11	3	1	1	1.546	2
249	1	5	12	3	1	1	1.051	4
267	1	6	1	2	1	1	0.91	4
270	1	6	2	2	1	2	1.019	1
273	1	6	3	2	2	1	1.259	2
276	1	6	4	2	1	1	1.058	4
279	1	6	5	2	1	2	0.802	4
282	1	6	6	2	1	2	0.616	4
285	1	6	7	2	2	1	1.099	3
288	1	6	8	2	2	1	1.282	3
291	1	6	9	2	1	1	1.169	2
294	1	6	10	2	2	2	1.317	4
297	1	6	11	2	2	2	1.732	4
300	1	6	12	2	2	2	0.841	4
