onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	1.169	3
15	1	1	2	1	2	2	1.358	3
18	1	1	3	1	2	2	0.973	1
21	1	1	4	1	1	1	0.905	1
24	1	1	5	1	1	2	0.802	2
27	1	1	6	1	2	1	0.96	1
30	1	1	7	1	2	1	1.353	2
33	1	1	8	1	2	1	0.975	3
36	1	1	9	1	1	1	0.85	4
39	1	1	10	1	1	1	0.751	4
42	1	1	11	1	2	2	 n/a	 n/a
45	1	1	12	1	1	2	1.192	2
63	1	2	1	2	1	2	1.539	3
66	1	2	2	2	1	2	0.507	4
69	1	2	3	2	2	2	0.829	4
72	1	2	4	2	2	2	0.957	4
75	1	2	5	2	1	1	1.251	2
78	1	2	6	2	1	2	1.697	2
81	1	2	7	2	2	2	1.323	2
84	1	2	8	2	2	1	0.973	3
87	1	2	9	2	2	1	1.527	2
90	1	2	10	2	2	1	 n/a	 n/a
93	1	2	11	2	1	1	0.648	3
96	1	2	12	2	1	1	1.15	4
114	1	3	1	1	2	1	1.458	2
117	1	3	2	1	2	2	0.703	4
120	1	3	3	1	1	2	0.866	4
123	1	3	4	1	2	2	0.591	1
126	1	3	5	1	1	2	0.725	2
129	1	3	6	1	1	1	0.693	3
132	1	3	7	1	1	1	0.969	4
135	1	3	8	1	2	1	1.03	1
138	1	3	9	1	1	2	1.228	3
141	1	3	10	1	2	2	0.886	1
144	1	3	11	1	2	1	0.884	1
147	1	3	12	1	1	1	 n/a	 n/a
165	1	4	1	3	2	2	0.782	1
168	1	4	2	3	1	1	0.707	4
171	1	4	3	3	2	2	1.934	2
174	1	4	4	3	2	1	1.427	2
177	1	4	5	3	2	1	1.598	1
180	1	4	6	3	1	2	0.844	4
183	1	4	7	3	1	2	1.101	4
186	1	4	8	3	1	1	0.852	4
189	1	4	9	3	2	1	1.468	2
192	1	4	10	3	1	1	0.663	4
195	1	4	11	3	1	2	0.907	4
198	1	4	12	3	2	2	1.528	1
216	1	5	1	2	2	2	 n/a	 n/a
219	1	5	2	2	2	1	0.983	2
222	1	5	3	2	2	2	1.26	3
225	1	5	4	2	2	1	1.241	1
228	1	5	5	2	1	1	1.265	4
231	1	5	6	2	1	1	0.92	4
234	1	5	7	2	1	2	1.261	3
237	1	5	8	2	1	1	1.299	3
240	1	5	9	2	2	2	1.443	2
243	1	5	10	2	1	2	1.466	1
246	1	5	11	2	2	1	1.206	2
249	1	5	12	2	1	2	1.313	4
267	1	6	1	3	2	1	0.868	1
270	1	6	2	3	1	2	0.743	4
273	1	6	3	3	2	1	0.965	1
276	1	6	4	3	2	2	1.035	2
279	1	6	5	3	1	1	0.922	4
282	1	6	6	3	1	1	0.723	4
285	1	6	7	3	1	2	1.733	4
288	1	6	8	3	2	2	 n/a	 n/a
291	1	6	9	3	1	2	1.018	4
294	1	6	10	3	2	2	0.971	1
297	1	6	11	3	2	1	0.828	1
300	1	6	12	3	1	1	0.96	1
