onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	2	2	3.692	1	1	1	0.953
21	6	1	2	2	1	1	2.386	2	1	4	1.89
27	6	1	3	1	2	2	3.014	1	1	4	0.73
33	6	1	4	2	2	1	2.054	2	1	4	0.915
39	6	1	5	1	2	2	2.947	1	1	4	0.712
45	6	1	6	2	1	2	2.238	2	1	4	0.635
51	6	1	7	1	1	2	3.19	2	0	 n/a	 n/a
57	6	1	8	1	1	2	2.381	1	1	4	0.524
63	6	1	9	2	1	2	3.146	2	1	3	1.195
69	6	1	10	1	2	1	2.485	1	1	4	0.671
75	6	1	11	1	2	1	1.535	1	1	4	0.313
81	6	1	12	2	2	1	2.623	2	1	3	1.08
87	6	1	13	2	2	1	3.189	2	1	2	1.378
93	6	1	14	2	2	2	2.765	2	1	4	1.495
99	6	1	15	1	2	2	1.996	1	1	4	0.408
105	6	1	16	1	1	2	3.274	2	0	1	0.78
111	6	1	17	1	2	2	2.781	2	0	 n/a	 n/a
117	6	1	18	2	1	1	1.771	1	0	4	0.394
123	6	1	19	2	1	2	3.691	2	1	3	0.705
129	6	1	20	1	1	1	2.395	2	0	2	1.039
135	6	1	21	2	1	1	2.484	1	0	2	1.299
141	6	1	22	2	1	1	2.342	1	0	4	0.789
147	6	1	23	1	2	1	1.748	1	1	4	0.297
153	6	1	24	2	2	2	3.914	2	1	3	0.59
159	6	1	25	1	1	1	1.775	1	1	4	0.144
165	6	1	26	2	1	1	1.591	2	1	4	0.492
171	6	1	27	1	1	1	3.719	2	0	3	0.56
177	6	1	28	1	1	2	1.161	1	1	4	0.647
183	6	1	29	2	1	2	2.413	2	1	2	0.695
189	6	1	30	1	2	1	2.073	1	1	4	0.196
195	6	1	31	1	2	2	2.682	2	0	3	0.575
201	6	1	32	1	2	1	2.74	1	1	3	0.955
207	6	1	33	2	1	2	2.151	2	1	4	0.66
213	6	1	34	1	1	1	1.759	1	1	3	0.664
219	6	1	35	1	2	2	2.464	1	1	4	0.252
225	6	1	36	2	1	2	1.838	2	1	3	0.558
231	6	1	37	1	1	1	1.812	1	1	2	0.801
237	6	1	38	1	2	1	3.237	2	0	3	0.453
243	6	1	39	1	2	2	1.193	1	1	4	0.245
249	6	1	40	1	2	1	2.096	1	1	4	0.266
255	6	1	41	2	1	2	1.517	2	1	4	0.162
261	6	1	42	1	2	2	1.358	1	1	4	0.05
267	6	1	43	2	2	2	1.627	2	1	4	0.129
273	6	1	44	2	2	1	1.482	2	1	4	0.007
279	6	1	45	1	1	1	2.003	1	1	4	0.538
285	6	1	46	2	1	1	1.751	2	1	3	0.636
291	6	1	47	1	1	2	2.201	1	1	2	0.793
297	6	1	48	2	2	1	2.423	1	0	2	0.476
303	6	1	49	1	1	1	2.178	1	1	2	1.109
309	6	1	50	2	2	1	3.534	2	1	3	0.605
315	6	1	51	1	2	1	2.621	2	0	2	1.202
321	6	1	52	2	2	1	1.466	2	1	4	0.236
327	6	1	53	2	1	1	2.275	2	1	2	1.939
333	6	1	54	2	2	2	2.188	2	1	4	0.469
339	6	1	55	2	1	1	2.379	1	0	3	0.792
345	6	1	56	1	2	2	3.428	1	1	4	0.381
351	6	1	57	2	2	1	2.052	2	1	2	0.839
357	6	1	58	1	1	2	2.134	1	1	3	0.695
363	6	1	59	1	1	1	1.462	1	1	2	1.005
369	6	1	60	2	1	2	2.161	1	0	3	0.628
375	6	1	61	2	1	1	2.225	2	1	4	0.779
381	6	1	62	1	2	2	3.708	2	0	3	0.338
387	6	1	63	1	1	1	2.513	1	1	3	1.272
393	6	1	64	1	1	2	2.959	1	1	2	0.901
399	6	1	65	2	1	1	1.876	2	1	3	1.066
405	6	1	66	1	1	2	3.261	2	0	3	0.944
411	6	1	67	1	1	2	1.86	1	1	2	0.5
417	6	1	68	2	2	1	3.595	1	0	2	1.146
423	6	1	69	2	2	2	1.764	2	1	4	0.297
429	6	1	70	2	2	2	1.618	2	1	4	0.147
435	6	1	71	2	2	2	1.898	2	1	4	0.611
441	6	1	72	1	2	1	1.777	2	0	1	2.149
447	6	1	73	2	2	1	1.148	2	1	1	1.009
453	6	1	74	2	1	2	2.232	2	1	3	1.074
459	6	1	75	2	2	2	1.237	2	1	4	0.184
465	6	1	76	2	2	1	1.185	2	1	4	0.127
471	6	1	77	1	1	1	2.607	1	1	4	0.084
477	6	1	78	1	1	1	2.434	1	1	4	0.502
483	6	1	79	1	2	2	1.977	1	1	4	0.171
489	6	1	80	2	1	2	2.414	1	0	3	0.829
495	6	1	81	2	2	2	1.584	2	1	3	1.534
501	6	1	82	2	2	2	1.599	2	1	4	0.148
507	6	1	83	2	1	1	3.137	1	0	1	0.687
513	6	1	84	2	2	2	2.799	1	0	3	0.933
519	6	1	85	2	2	1	2.214	2	1	3	1.002
525	6	1	86	1	1	2	1.467	2	0	3	1.355
531	6	1	87	2	1	2	1.972	2	1	4	0.862
537	6	1	88	1	2	1	2.585	2	0	1	1.164
543	6	1	89	1	2	1	1.281	2	0	1	1.275
549	6	1	90	1	2	1	2.956	1	1	2	1.013
555	6	1	91	1	1	2	3.616	1	1	3	0.862
561	6	1	92	1	1	2	1.89	1	1	4	0.522
567	6	1	93	1	1	1	2.094	1	1	4	0.06
573	6	1	94	2	2	2	1.382	2	1	3	0.572
579	6	1	95	2	1	2	4.125	2	1	 n/a	 n/a
585	6	1	96	2	1	1	3.899	2	1	3	0.234
