onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	1	2	2.106	1	1	2	0.673
21	6	1	2	2	2	2	2.5	2	1	2	0.803
27	6	1	3	2	2	1	1.087	2	1	4	0.245
33	6	1	4	2	1	1	1.833	1	0	3	1.12
39	6	1	5	2	1	2	2.736	2	1	2	1.514
45	6	1	6	1	2	2	1.703	1	1	4	0.335
51	6	1	7	1	1	2	1.642	1	1	4	0.485
57	6	1	8	1	2	1	1.63	1	1	4	0.379
63	6	1	9	2	2	2	2.405	2	1	3	0.559
69	6	1	10	2	2	1	1.356	1	0	3	1.239
75	6	1	11	2	2	1	2.602	2	1	3	0.496
81	6	1	12	1	1	2	4.505	1	1	 n/a	 n/a
87	6	1	13	1	1	2	3.873	1	1	3	0.345
93	6	1	14	2	1	1	1.67	1	0	2	0.983
99	6	1	15	2	2	1	1.17	2	1	2	0.803
105	6	1	16	2	2	1	2.063	2	1	3	1.368
111	6	1	17	2	2	1	3.753	2	1	 n/a	 n/a
117	6	1	18	2	1	2	3.152	2	1	3	0.596
123	6	1	19	2	2	2	1.787	1	0	3	0.802
129	6	1	20	1	2	2	1.47	1	1	4	0.24
135	6	1	21	2	2	1	2.874	2	1	3	0.573
141	6	1	22	2	1	2	1.897	2	1	1	1.771
147	6	1	23	2	2	1	3.305	1	0	2	0.828
153	6	1	24	1	1	1	1.121	2	0	2	1.058
159	6	1	25	2	1	1	2.215	1	0	3	0.506
165	6	1	26	2	2	2	3.011	2	1	2	1.143
171	6	1	27	2	1	1	2.888	2	1	3	1.047
177	6	1	28	2	1	2	3.229	2	1	3	1.052
183	6	1	29	2	2	2	1.993	2	1	4	0.367
189	6	1	30	2	1	2	1.698	2	1	3	0.535
195	6	1	31	1	2	1	3.268	1	1	1	0.844
201	6	1	32	2	1	2	3.91	1	0	2	0.424
207	6	1	33	2	1	2	1.607	2	1	3	0.478
213	6	1	34	1	1	2	2.842	1	1	3	1.827
219	6	1	35	2	1	1	2.361	1	0	3	0.558
225	6	1	36	1	1	2	1.452	2	0	1	2.845
231	6	1	37	1	1	1	3.784	2	0	3	0.641
237	6	1	38	2	1	2	2.398	2	1	3	0.642
243	6	1	39	1	2	2	2.201	1	1	2	1.282
249	6	1	40	1	2	2	1.176	1	1	4	0.898
255	6	1	41	2	2	1	4.295	2	1	 n/a	 n/a
261	6	1	42	1	1	1	3.141	2	0	3	1.375
267	6	1	43	1	1	2	1.833	1	1	4	0.646
273	6	1	44	1	2	2	3.761	2	0	2	0.694
279	6	1	45	1	2	1	2.313	2	0	4	0.746
285	6	1	46	1	2	1	1.618	2	0	3	0.501
291	6	1	47	2	2	2	2.307	1	0	2	0.226
297	6	1	48	2	1	2	2.586	2	1	2	1.086
303	6	1	49	1	1	1	2.608	2	0	3	0.238
309	6	1	50	2	2	2	2.157	2	1	4	0.366
315	6	1	51	2	1	1	1.726	1	0	3	0.66
321	6	1	52	2	1	1	3.14	2	1	3	0.346
327	6	1	53	1	1	2	3.443	1	1	4	0.631
333	6	1	54	2	2	1	2.756	2	1	3	0.426
339	6	1	55	1	2	1	2.755	1	1	3	0.237
345	6	1	56	1	1	1	4.751	1	1	 n/a	 n/a
351	6	1	57	1	2	2	1.419	1	1	4	0.947
357	6	1	58	1	1	1	1.935	2	0	2	1.619
363	6	1	59	2	1	1	2.821	1	0	2	0.266
369	6	1	60	2	2	2	1.261	2	1	4	0.461
375	6	1	61	1	1	1	1.729	2	0	4	0.521
381	6	1	62	1	2	1	2.151	2	0	4	0.061
387	6	1	63	2	2	1	3.404	1	0	2	0.867
393	6	1	64	1	2	1	1.607	2	0	3	0.986
399	6	1	65	1	2	2	2.013	1	1	3	0.366
405	6	1	66	2	1	1	2.064	1	0	3	1.01
411	6	1	67	1	2	2	3.928	2	0	3	0.262
417	6	1	68	1	1	2	1.855	1	1	4	1.269
423	6	1	69	1	2	1	1.69	1	1	3	0.192
429	6	1	70	1	2	2	2.457	2	0	4	1.018
435	6	1	71	1	1	1	2.195	1	1	3	1.686
441	6	1	72	2	1	2	3.054	2	1	3	1.112
447	6	1	73	1	2	1	4.13	1	1	3	0.419
453	6	1	74	2	1	1	2.571	2	1	4	0.676
459	6	1	75	1	1	1	2.381	2	0	2	0.832
465	6	1	76	2	1	1	2.161	1	0	3	0.456
471	6	1	77	1	2	2	7	7	0	 n/a	 n/a
477	6	1	78	2	1	1	1.702	2	1	4	0.422
483	6	1	79	2	2	2	2.36	2	1	3	0.52
489	6	1	80	1	1	2	2.283	1	1	3	0.717
495	6	1	81	2	2	2	4.019	1	0	 n/a	 n/a
501	6	1	82	1	1	1	1.173	1	1	3	0.488
507	6	1	83	2	2	2	3.275	2	1	4	1.064
513	6	1	84	2	1	2	2.526	1	0	1	0.79
519	6	1	85	2	2	1	4.348	1	0	 n/a	 n/a
525	6	1	86	2	1	2	2.454	2	1	3	0.446
531	6	1	87	1	1	1	2.921	1	1	3	0.433
537	6	1	88	1	1	2	3.929	1	1	2	0.703
543	6	1	89	1	1	2	2.13	1	1	4	0.76
549	6	1	90	1	2	2	1.295	1	1	2	0.977
555	6	1	91	1	2	1	4.223	1	1	 n/a	 n/a
561	6	1	92	1	1	1	1.697	2	0	3	0.5
567	6	1	93	1	2	2	2.335	1	1	1	2.238
573	6	1	94	1	2	1	0.893	1	1	4	0.191
579	6	1	95	2	2	2	2.944	2	1	3	0.427
585	6	1	96	1	2	1	2.691	1	1	2	0.423
