onset	duration	trial_type	trial	delay	sentence	detected_delay
25.0727	3.2364	baseline	1	0.004	They could laugh although they were sad.	0
36.8062	2.8921	baseline	2	0.004	Sell your gift to a buyer at a good gain.	0
44.0897	3.1747	baseline	3	0.004	Corn cobs can be used to kindle a fire.	0
49.2064	2.7848	baseline	4	0.004	Farmers came in to thresh the oat crop.	0
54.2231	2.8629	baseline	5	0.004	The tongs lay beside the ice pail.	0
59.8233	3.5251	baseline	6	0.004	Where were they when the noise started.	0
65.3566	3.2704	baseline	7	0.004	Bring your best compass to the third class.	0
74.4734	3.2633	baseline	8	0.004	The fruit of a fig tree is apple shaped.	0
79.7901	3.2653	baseline	9	0.004	The petals fall with the next puff of wind.	0
84.8736	3.2285	baseline	10	0.004	The paper box is full of thumb tacks.	0
89.8903	3.3945	baseline	11	0.004	The fan whirled its round blades softly.	0
96.7238	3.2474	baseline	12	0.004	It matters not if he reads these words or those.	0
101.5239	2.8782	baseline	13	0.004	Breathe deep and smell the piny air.	0
106.0239	2.9929	baseline	14	0.004	A toad and a frog are hard to tell apart.	0
111.874	3.3173	baseline	15	0.004	A break in the dam almost caused a flood.	0
117.6907	3.0353	baseline	16	0.004	A brown leather bag hung from its strap.	0
122.4241	4.1244	baseline	17	0.004	Clams are small, round, soft, and tasty.	0
130.0076	3.1473	baseline	18	0.004	A white silk jacket goes with any shoes.	0
134.991	2.6826	baseline	19	0.004	The small red neon lamp went out.	0
139.3244	3.9158	baseline	20	0.004	The line where the edges join was clean.	0
146.5419	2.8407	random1	1	0.128	Oak is strong and also gives shade.	1
151.1579	2.8636	random1	2	0.153	Act on these orders with great speed.	1
155.5246	3.3117	random1	3	0.153	Cats and Dogs each hate the other.	1
162.1247	2.6621	random1	4	0.123	Open the crate but don't break the glass.	1
166.2748	3.0789	random1	5	0.047	The hog crawled under the high fence.	0
172.5749	2.9452	random1	6	0.099	The pipe began to rust while new.	1
178.6417	2.701	random1	7	0.073	Move the vat over the hot fire.	1
183.2751	3.2582	random1	8	0.218	Thieves who rob friends deserve jail.	1
188.9085	3.6393	random1	9	0.035	Add the sum to the product of these three.	0
194.8419	3.2405	random1	10	0.188	The ripe taste of cheese improves with age.	1
199.6421	3.1351	random1	11	0.168	A thin book fits in the side pocket.	1
204.192	3.1921	random1	12	0.216	A flat pack takes less luggage space.	1
