onset	duration	sample	trial_type
1	2.5	1	negface_2
3	2.5	3	negface_2
6	2.5	6	negface_2
8	2.5	8	negface_2
11	2.5	11	negface_2
13	2.5	13	negface_2
16	2.5	16	negface_2
18	2.5	18	negface_2
21	2.5	21	negface_2
23	2.5	23	negface_2
29	2.5	29	posface_0
31	2.5	31	posface_0
34	2.5	34	posface_0
36	2.5	36	posface_0
39	2.5	39	posface_0
41	2.5	41	posface_0
44	2.5	44	posface_0
46	2.5	46	posface_0
49	2.5	49	posface_0
51	2.5	51	posface_0
72	2.5	72	neutface_2
74	2.5	74	neutface_2
77	2.5	77	neutface_2
79	2.5	79	neutface_2
82	2.5	82	neutface_2
84	2.5	84	neutface_2
87	2.5	87	neutface_2
89	2.5	89	neutface_2
92	2.5	92	neutface_2
94	2.5	94	neutface_2
100	2.5	100	negface_0
102	2.5	102	negface_0
105	2.5	105	negface_0
107	2.5	107	negface_0
110	2.5	110	negface_0
112	2.5	112	negface_0
115	2.5	115	negface_0
117	2.5	117	negface_0
120	2.5	120	negface_0
122	2.5	122	negface_0
143	2.5	143	posface_2
145	2.5	145	posface_2
148	2.5	148	posface_2
150	2.5	150	posface_2
153	2.5	153	posface_2
155	2.5	155	posface_2
158	2.5	158	posface_2
160	2.5	160	posface_2
163	2.5	163	posface_2
165	2.5	165	posface_2
171	2.5	171	place_2
173	2.5	173	place_2
176	2.5	176	place_2
178	2.5	178	place_2
180	2.5	180	place_2
183	2.5	183	place_2
185	2.5	185	place_2
188	2.5	188	place_2
190	2.5	190	place_2
193	2.5	193	place_2
214	2.5	214	neutface_0
216	2.5	216	neutface_0
218	2.5	218	neutface_0
221	2.5	221	neutface_0
223	2.5	223	neutface_0
226	2.5	226	neutface_0
228	2.5	228	neutface_0
231	2.5	231	neutface_0
233	2.5	233	neutface_0
236	2.5	236	neutface_0
241	2.5	242	place_0
244	2.5	244	place_0
246	2.5	246	place_0
249	2.5	249	place_0
251	2.5	251	place_0
254	2.5	254	place_0
256	2.5	256	place_0
259	2.5	259	place_0
261	2.5	261	place_0
264	2.5	264	place_0
1	25	1	NegFace2
29	25	29	PosFace0
72	25	72	NeutFace2
100	25	100	NegFace0
143	25	143	PosFace2
171	25	171	Place2
214	25	214	NeutFace0
241	25	242	Place0
1	25	1	block2
29	25	29	block0
72	25	72	block2
100	25	100	block0
143	25	143	block2
171	25	171	block2
214	25	214	block0
241	25	242	block0
