onset	duration	sample	trial_type
1	2.5	1	posface_2
3	2.5	3	posface_2
6	2.5	6	posface_2
8	2.5	8	posface_2
11	2.5	11	posface_2
13	2.5	13	posface_2
16	2.5	16	posface_2
18	2.5	18	posface_2
21	2.5	21	posface_2
23	2.5	23	posface_2
29	2.5	29	neutface_0
31	2.5	31	neutface_0
34	2.5	34	neutface_0
36	2.5	36	neutface_0
39	2.5	39	neutface_0
41	2.5	41	neutface_0
44	2.5	44	neutface_0
46	2.5	46	neutface_0
49	2.5	49	neutface_0
51	2.5	51	neutface_0
72	2.5	72	negface_2
74	2.5	74	negface_2
77	2.5	77	negface_2
79	2.5	79	negface_2
82	2.5	82	negface_2
84	2.5	84	negface_2
87	2.5	87	negface_2
89	2.5	89	negface_2
92	2.5	92	negface_2
94	2.5	94	negface_2
100	2.5	100	posface_0
102	2.5	102	posface_0
105	2.5	105	posface_0
107	2.5	107	posface_0
110	2.5	110	posface_0
112	2.5	112	posface_0
115	2.5	115	posface_0
117	2.5	117	posface_0
120	2.5	120	posface_0
122	2.5	122	posface_0
143	2.5	143	place_0
145	2.5	145	place_0
148	2.5	148	place_0
150	2.5	150	place_0
153	2.5	153	place_0
155	2.5	155	place_0
158	2.5	158	place_0
160	2.5	160	place_0
163	2.5	163	place_0
165	2.5	165	place_0
171	2.5	171	neutface_2
173	2.5	173	neutface_2
176	2.5	176	neutface_2
178	2.5	178	neutface_2
181	2.5	181	neutface_2
183	2.5	183	neutface_2
186	2.5	186	neutface_2
188	2.5	188	neutface_2
191	2.5	191	neutface_2
193	2.5	193	neutface_2
214	2.5	214	negface_0
216	2.5	216	negface_0
219	2.5	219	negface_0
221	2.5	221	negface_0
224	2.5	224	negface_0
226	2.5	226	negface_0
229	2.5	229	negface_0
231	2.5	231	negface_0
234	2.5	234	negface_0
236	2.5	236	negface_0
242	2.5	242	place_2
244	2.5	244	place_2
247	2.5	247	place_2
249	2.5	249	place_2
252	2.5	252	place_2
254	2.5	254	place_2
257	2.5	257	place_2
259	2.5	259	place_2
262	2.5	262	place_2
264	2.5	264	place_2
1	25	1	PosFace2
29	25	29	NeutFace0
72	25	72	NegFace2
100	25	100	PosFace0
143	25	143	Place0
171	25	171	NeutFace2
214	25	214	NegFace0
242	25	242	Place2
1	25	1	block2
29	25	29	block0
72	25	72	block2
100	25	100	block0
143	25	143	block0
171	25	171	block2
214	25	214	block0
242	25	242	block2
