onset	duration	trial_type	sample
2	2.25	ecigarette	2
4.2	2.25	ecigarette	4.2
6.5	2.25	ecigarette	6.5
8.7	2.25	ecigarette	8.7
11	2.25	ecigarette	11
13.2	2.25	ecigarette	13.2
15.5	2.25	ecigarette	15.5
17.7	2.25	ecigarette	17.8
20	2.25	ecigarette	20
22.2	2.25	ecigarette	22.3
24.5	2.25	alchflav	24.5
26.7	2.25	alchflav	26.8
29	2.25	alchflav	29
31.2	2.25	alchflav	31.3
33.5	2.25	alchflav	33.5
35.7	2.25	alchflav	35.8
38	2.25	alchflav	38
40.2	2.25	alchflav	40.2
42.5	2.25	alchflav	42.5
44.7	2.25	alchflav	44.7
47	2.25	fixation	47
49.2	2.25	fixation	49.3
51.5	2.25	fixation	51.5
53.7	2.25	fixation	53.8
56	2.25	fixation	56
58.2	2.25	fixation	58.3
60.5	2.25	fixation	60.5
62.7	2.25	fixation	62.8
65	2.25	fixation	65
67.2	2.25	fixation	67.3
69.5	2.25	food	69.5
71.7	2.25	food	71.8
74	2.25	food	74
76.2	2.25	food	76.3
78.5	2.25	food	78.5
80.7	2.25	food	80.7
83	2.25	food	83
85.2	2.25	food	85.2
87.5	2.25	food	87.5
89.7	2.25	food	89.7
92	2.25	outdoor	92
94.2	2.25	outdoor	94.2
96.5	2.25	outdoor	96.5
98.7	2.25	outdoor	98.8
101	2.25	outdoor	101
103.2	2.25	outdoor	103.3
105.5	2.25	outdoor	105.5
107.7	2.25	outdoor	107.8
110	2.25	outdoor	110
112.2	2.25	outdoor	112.3
114.5	2.25	fixation	114.5
116.7	2.25	fixation	116.8
119	2.25	fixation	119
121.3	2.25	fixation	121.3
123.5	2.25	fixation	123.5
125.8	2.25	fixation	125.8
128	2.25	fixation	128
130.2	2.25	fixation	130.3
132.5	2.25	fixation	132.5
134.7	2.25	fixation	134.8
137	2.25	marijuana	137
139.2	2.25	marijuana	139.2
141.5	2.25	marijuana	141.5
143.7	2.25	marijuana	143.8
146	2.25	marijuana	146
148.2	2.25	marijuana	148.3
150.5	2.25	marijuana	150.5
152.7	2.25	marijuana	152.8
155	2.25	marijuana	155
157.2	2.25	marijuana	157.3
159.5	2.25	ecigarette	159.5
161.7	2.25	ecigarette	161.7
164	2.25	ecigarette	164
166.2	2.25	ecigarette	166.2
168.5	2.25	ecigarette	168.5
170.7	2.25	ecigarette	170.7
173	2.25	ecigarette	173
175.2	2.25	ecigarette	175.2
177.5	2.25	ecigarette	177.5
179.7	2.25	ecigarette	179.7
182	2.25	alchunflav	182
184.2	2.25	alchunflav	184.3
186.5	2.25	alchunflav	186.5
188.7	2.25	alchunflav	188.8
191	2.25	alchunflav	191
193.2	2.25	alchunflav	193.3
195.5	2.25	alchunflav	195.5
197.7	2.25	alchunflav	197.8
200	2.25	alchunflav	200
202.2	2.25	alchunflav	202.3
204.5	2.25	fixation	204.5
206.8	2.25	fixation	206.7
209	2.25	fixation	209
211.2	2.25	fixation	211.2
213.5	2.25	fixation	213.5
215.7	2.25	fixation	215.7
218	2.25	fixation	218
220.2	2.25	fixation	220.2
222.5	2.25	fixation	222.5
224.7	2.25	fixation	224.8
227	2.25	marijuana	227
229.2	2.25	marijuana	229.3
231.5	2.25	marijuana	231.5
233.7	2.25	marijuana	233.8
236	2.25	marijuana	236
238.2	2.25	marijuana	238.3
240.5	2.25	marijuana	240.5
242.7	2.25	marijuana	242.8
245	2.25	marijuana	245
247.2	2.25	marijuana	247.2
249.5	2.25	fixation	249.5
251.7	2.25	fixation	251.8
254	2.25	fixation	254
256.2	2.25	fixation	256.3
258.5	2.25	fixation	258.5
260.7	2.25	fixation	260.8
263	2.25	fixation	263
265.2	2.25	fixation	265.3
267.5	2.25	fixation	267.5
269.7	2.25	fixation	269.8
272	2.25	food	272
274.2	2.25	food	274.3
276.5	2.25	food	276.5
278.7	2.25	food	278.8
281	2.25	food	281
283.2	2.25	food	283.3
285.5	2.25	food	285.5
287.7	2.25	food	287.7
290	2.25	food	290
292.2	2.25	food	292.2
294.5	2.25	outdoor	294.5
296.7	2.25	outdoor	296.7
299	2.25	outdoor	299
301.2	2.25	outdoor	301.2
303.5	2.25	outdoor	303.5
305.7	2.25	outdoor	305.8
308	2.25	outdoor	308
310.2	2.25	outdoor	310.3
312.5	2.25	outdoor	312.5
314.7	2.25	outdoor	314.8
2	22.5	block_ecigarette	2
24.5	22.5	block_alcohol	24.5
69.5	22.5	block_food	69.5
92	22.5	block_outdoor	92
137	22.5	block_marijuana	137
159.5	22.5	block_ecigarette	159.5
182	22.5	block_alcohol	182
227	22.5	block_marijuana	227
272	22.5	block_food	272
294.5	22.5	block_outdoor	294.5
