onset	duration	sample	trial_type
2	2.25	2	marijuana
4.2	2.25	4.2	marijuana
6.5	2.25	6.5	marijuana
8.7	2.25	8.7	marijuana
11	2.25	11	marijuana
13.2	2.25	13.2	marijuana
15.5	2.25	15.5	marijuana
17.8	2.25	17.8	marijuana
20	2.25	20	marijuana
22.3	2.25	22.3	marijuana
24.5	2.25	24.5	food
26.8	2.25	26.8	food
29	2.25	29	food
31.3	2.25	31.3	food
33.5	2.25	33.5	food
35.8	2.25	35.8	food
38	2.25	38	food
40.2	2.25	40.2	food
42.5	2.25	42.5	food
44.7	2.25	44.7	food
47	2.25	47	fixation
49.3	2.25	49.3	fixation
51.5	2.25	51.5	fixation
53.8	2.25	53.8	fixation
56	2.25	56	fixation
58.3	2.25	58.3	fixation
60.5	2.25	60.5	fixation
62.8	2.25	62.8	fixation
65	2.25	65	fixation
67.3	2.25	67.3	fixation
69.5	2.25	69.5	alchunflav
71.8	2.25	71.8	alchunflav
74	2.25	74	alchunflav
76.3	2.25	76.3	alchunflav
78.5	2.25	78.5	alchunflav
80.7	2.25	80.7	alchunflav
83	2.25	83	alchunflav
85.2	2.25	85.2	alchunflav
87.5	2.25	87.5	alchunflav
89.7	2.25	89.7	alchunflav
92	2.25	92	outdoor
94.2	2.25	94.2	outdoor
96.5	2.25	96.5	outdoor
98.8	2.25	98.8	outdoor
101	2.25	101	outdoor
103.3	2.25	103.3	outdoor
105.5	2.25	105.5	outdoor
107.8	2.25	107.8	outdoor
110	2.25	110	outdoor
112.3	2.25	112.3	outdoor
114.5	2.25	114.5	fixation
116.8	2.25	116.8	fixation
119	2.25	119	fixation
121.3	2.25	121.3	fixation
123.5	2.25	123.5	fixation
125.8	2.25	125.8	fixation
128	2.25	128	fixation
130.3	2.25	130.3	fixation
132.5	2.25	132.5	fixation
134.8	2.25	134.8	fixation
137	2.25	137	ecigarette
139.2	2.25	139.2	ecigarette
141.5	2.25	141.5	ecigarette
143.8	2.25	143.8	ecigarette
146	2.25	146	ecigarette
148.3	2.25	148.3	ecigarette
150.5	2.25	150.5	ecigarette
152.8	2.25	152.8	ecigarette
155	2.25	155	ecigarette
157.3	2.25	157.3	ecigarette
159.5	2.25	159.5	marijuana
161.7	2.25	161.7	marijuana
164	2.25	164	marijuana
166.2	2.25	166.2	marijuana
168.5	2.25	168.5	marijuana
170.7	2.25	170.7	marijuana
173	2.25	173	marijuana
175.2	2.25	175.2	marijuana
177.5	2.25	177.5	marijuana
179.7	2.25	179.7	marijuana
182	2.25	182	fixation
184.3	2.25	184.3	fixation
186.5	2.25	186.5	fixation
188.8	2.25	188.8	fixation
191	2.25	191	fixation
193.3	2.25	193.3	fixation
195.5	2.25	195.5	fixation
197.8	2.25	197.8	fixation
200	2.25	200	fixation
202.3	2.25	202.3	fixation
204.5	2.25	204.5	food
206.7	2.25	206.7	food
209	2.25	209	food
211.2	2.25	211.2	food
213.5	2.25	213.5	food
215.7	2.25	215.7	food
218	2.25	218	food
220.2	2.25	220.2	food
222.5	2.25	222.5	food
224.8	2.25	224.8	food
227	2.25	227	alchflav
229.3	2.25	229.3	alchflav
231.5	2.25	231.5	alchflav
233.8	2.25	233.8	alchflav
236	2.25	236	alchflav
238.3	2.25	238.3	alchflav
240.5	2.25	240.5	alchflav
242.8	2.25	242.8	alchflav
245	2.25	245	alchflav
247.2	2.25	247.2	alchflav
249.5	2.25	249.5	fixation
251.8	2.25	251.8	fixation
254	2.25	254	fixation
256.3	2.25	256.3	fixation
258.5	2.25	258.5	fixation
260.8	2.25	260.8	fixation
263	2.25	263	fixation
265.3	2.25	265.3	fixation
267.5	2.25	267.5	fixation
269.8	2.25	269.8	fixation
272	2.25	272	ecigarette
274.3	2.25	274.3	ecigarette
276.5	2.25	276.5	ecigarette
278.8	2.25	278.8	ecigarette
281	2.25	281	ecigarette
283.3	2.25	283.3	ecigarette
285.5	2.25	285.5	ecigarette
287.7	2.25	287.7	ecigarette
290	2.25	290	ecigarette
292.2	2.25	292.2	ecigarette
294.5	2.25	294.5	outdoor
296.7	2.25	296.7	outdoor
299	2.25	299	outdoor
301.2	2.25	301.2	outdoor
303.5	2.25	303.5	outdoor
305.8	2.25	305.8	outdoor
308	2.25	308	outdoor
310.3	2.25	310.3	outdoor
312.5	2.25	312.5	outdoor
314.8	2.25	314.8	outdoor
2	22.5	2	block_marijuana
24.5	22.5	24.5	block_food
69.5	22.5	69.5	block_alcohol
92	22.5	92	block_outdoor
137	22.5	137	block_ecigarette
159.5	22.5	159.5	block_marijuana
204.5	22.5	204.5	block_food
227	22.5	227	block_alcohol
272	22.5	272	block_ecigarette
294.5	22.5	294.5	block_outdoor
