onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.74	3	1	1
6.001	2.5	0	3	2.56	3	1	2
11.001	2.5	0	3	2.64	9	2	1
16	2.5	0	3	2.69	9	2	2
21.002	2.5	0	3	2.5	4	1	1
26	2.5	0	3	2.43	4	1	2
41	2.5	1	0	0	9	2	1
46.001	2.5	0	3	2.64	9	2	2
51.001	2.5	0	3	2.51	4	1	1
56	2.5	0	3	2.82	4	1	2
61	2.5	0	3	2.53	5	1	1
66	2.5	0	3	2.78	5	1	2
71.001	2.5	0	3	2.68	8	2	1
76.001	2.5	0	3	2.7	8	2	2
91	2.5	0	3	2.62	4	1	1
96	2.5	0	3	2.98	4	1	2
101	2.5	0	3	2.66	12	2	1
106.002	2.5	0	3	2.65	12	2	2
111.001	2.5	0	3	2.7	6	1	1
116	2.5	0	3	2.68	6	1	2
121	2.5	0	3	2.63	12	2	1
126.002	2.5	0	3	3.13	12	2	2
131.001	2.5	0	3	2.4	11	2	1
136	2.5	0	3	2.69	11	2	2
141.001	2.5	0	3	2.55	2	1	1
146.001	2.5	0	3	2.8	2	1	2
151.001	2.5	0	3	2.58	7	2	1
156	2.5	0	3	2.81	7	2	2
161	2.5	0	3	2.65	9	2	1
166	2.5	0	3	2.82	9	2	2
181.001	2.5	0	3	2.66	7	2	1
186	2.5	0	3	2.67	7	2	2
191.001	2.5	0	3	2.58	11	2	1
196	2.5	0	3	2.87	11	2	2
201	2.5	0	3	2.68	2	1	1
206	2.5	0	3	2.6	2	1	2
211	2.5	0	3	2.7	6	1	1
216.002	2.5	0	3	2.69	6	1	2
221	2.5	0	3	2.74	3	1	1
226.002	2.5	0	3	2.68	3	1	2
231	2.5	0	3	2.59	12	2	1
236	2.5	0	3	2.97	12	2	2
241	2.5	0	3	2.78	10	2	1
246.001	2.5	0	3	2.8	10	2	2
251	2.5	0	3	2.94	1	1	1
256	2.5	0	3	2.67	1	1	2
261	2.5	0	3	2.68	8	2	1
266	2.5	0	3	3.19	8	2	2
281	2.5	0	3	2.77	11	2	1
286.001	2.5	0	3	2.77	11	2	2
291	2.5	0	3	2.66	2	1	1
296.001	2.5	1	0	3.01	2	1	2
301	2.5	1	0	0	10	2	1
306	2.5	0	3	2.5	10	2	2
311.001	2.5	0	3	2.72	8	2	1
316.001	2.5	0	3	2.72	8	2	2
321	2.5	0	3	2.57	1	1	1
326.001	2.5	0	3	2.57	1	1	2
331.001	2.5	0	3	2.65	6	1	1
336	2.5	0	3	2.88	6	1	2
341.001	2.5	0	3	2.56	5	1	1
346.001	2.5	0	3	2.65	5	1	2
351.001	2.5	0	3	2.76	10	2	1
356	2.5	0	3	2.72	10	2	2
361	2.5	0	3	2.74	3	1	1
366	2.5	0	3	2.84	3	1	2
371	2.5	0	3	2.69	7	2	1
376	2.5	0	3	2.62	7	2	2
391	2.5	0	3	2.83	1	1	1
396	2.5	0	3	2.52	1	1	2
401	2.5	0	3	2.65	5	1	1
406	2.5	0	3	2.77	5	1	2
