onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.43	5	1	1
6	2.5	0	3	2.95	5	1	2
11.002	2.5	0	3	2.68	11	2	1
16.002	2.5	0	3	2.66	11	2	2
31	2.5	0	3	2.63	12	2	1
36	2.5	0	3	3.57	12	2	2
41.001	2.5	0	3	2.76	7	2	1
46	2.5	0	3	3.27	7	2	2
51.002	2.5	0	3	3	6	1	1
56.001	2.5	0	3	2.74	6	1	2
61	2.5	0	3	2.66	4	1	1
66	2.5	0	3	2.7	4	1	2
71.002	2.5	0	3	2.74	9	2	1
76.001	2.5	0	3	2.64	9	2	2
81.001	2.5	0	3	2.52	8	2	1
86.001	2.5	0	3	2.55	8	2	2
91.001	2.5	0	3	2.7	5	1	1
96.001	2.5	0	3	2.52	5	1	2
101.001	2.5	0	3	2.58	11	2	1
106	2.5	0	3	2.65	11	2	2
111.001	2.5	0	3	2.94	11	2	1
116.002	2.5	0	3	2.83	11	2	2
121	2.5	0	3	2.63	4	1	1
126.002	2.5	0	3	2.58	4	1	2
131	2.5	0	3	2.5	9	2	1
136.001	2.5	0	3	2.36	9	2	2
141.002	2.5	0	3	2.57	3	1	1
146.002	2.5	0	3	2.54	3	1	2
151	2.5	0	3	2.61	5	1	1
156	2.5	0	3	2.67	5	1	2
171	2.5	0	3	2.62	2	1	1
176.001	2.5	0	3	2.53	2	1	2
181.001	2.5	0	3	2.53	3	1	1
186.001	2.5	0	3	2.53	3	1	2
191.001	2.5	0	3	2.53	10	2	1
196.001	2.5	0	3	2.71	10	2	2
201	2.5	0	3	2.6	1	1	1
206	2.5	0	3	2.49	1	1	2
211	2.5	0	3	2.56	8	2	1
216.001	2.5	0	3	2.82	8	2	2
231.001	2.5	0	3	2.63	1	1	1
236.001	2.5	0	3	2.56	1	1	2
241	2.5	0	3	2.82	8	2	1
246	2.5	0	3	2.84	8	2	2
251.001	2.5	0	3	2.86	12	2	1
256.001	2.5	0	3	2.83	12	2	2
261.001	2.5	0	3	2.74	2	1	1
266	2.5	0	3	2.85	2	1	2
271	2.5	0	3	2.69	3	1	1
276.002	2.5	0	3	2.71	3	1	2
281	2.5	0	3	2.76	4	1	1
286.001	2.5	0	3	2.95	4	1	2
291.002	2.5	0	3	2.65	10	2	1
296.001	2.5	0	3	2.87	10	2	2
301.001	2.5	0	3	2.6	7	2	1
306.001	2.5	0	3	2.83	7	2	2
311	2.5	0	3	2.68	12	2	1
316	2.5	0	3	2.73	12	2	2
321.002	2.5	0	3	2.71	6	1	1
326.001	2.5	0	3	2.57	6	1	2
331	2.5	0	3	2.72	7	2	1
336.001	2.5	0	3	2.58	7	2	2
341	2.5	0	3	2.54	1	1	1
346	2.5	0	3	2.67	1	1	2
351.002	2.5	0	3	2.39	9	2	1
356.001	2.5	0	3	2.79	9	2	2
371.001	2.5	0	3	2.59	2	1	1
376.001	2.5	0	3	2.57	2	1	2
381.002	2.5	0	3	2.82	10	2	1
386	2.5	0	3	2.79	10	2	2
401.001	2.5	0	3	2.71	6	1	1
406.001	2.5	0	3	2.82	6	1	2
