onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.46	12	2	1
6.001	2.5	0	3	2.62	12	2	2
11.001	2.5	0	3	2.48	5	1	1
16	2.5	0	3	2.6	5	1	2
21	2.5	0	3	2.64	9	2	1
26	2.5	0	3	2.83	9	2	2
31.001	2.5	0	3	2.77	7	2	1
36	2.5	0	3	2.94	7	2	2
41	2.5	1	0	2.72	1	1	1
46	2.5	0	3	2.43	1	1	2
51	2.5	0	3	2.55	10	2	1
56	2.5	0	3	3.12	10	2	2
71.002	2.5	0	3	2.56	11	2	1
76	2.5	0	3	2.49	11	2	2
91	2.5	0	3	2.35	2	1	1
96.001	2.5	0	3	2.58	2	1	2
101.001	2.5	0	3	2.52	4	1	1
106.001	2.5	0	3	2.36	4	1	2
111	2.5	0	3	2.59	10	2	1
116	2.5	0	3	2.76	10	2	2
121.001	2.5	0	3	2.21	8	2	1
126	2.5	0	3	2.64	8	2	2
131	2.5	0	3	2.76	8	2	1
136	2.5	0	3	2.65	8	2	2
141	2.5	0	3	2.51	3	1	1
146.002	2.5	0	3	2.63	3	1	2
151.001	2.5	0	3	2.58	7	2	1
156	2.5	0	3	2.94	7	2	2
161	2.5	0	3	2.81	7	2	1
166.001	2.5	0	3	2.58	7	2	2
181	2.5	0	3	2.81	12	2	1
186	2.5	0	3	2.69	12	2	2
191	2.5	0	3	2.5	9	2	1
196	2.5	1	0	3.02	9	2	2
201.002	2.5	0	3	2.66	2	1	1
206	2.5	0	3	2.83	2	1	2
211	2.5	0	3	2.73	3	1	1
216	2.5	0	3	2.9	3	1	2
221.001	2.5	0	3	2.59	4	1	1
226	2.5	0	3	2.55	4	1	2
231.001	2.5	0	3	2.71	2	1	1
236	2.5	0	3	2.76	2	1	2
241	2.5	1	0	2.65	1	1	1
246	2.5	0	3	2.55	1	1	2
251	2.5	0	3	2.41	6	1	1
256	2.5	0	3	2.65	6	1	2
261.001	2.5	1	0	0	9	2	1
266	2.5	0	3	3.16	9	2	2
271	2.5	0	3	2.57	1	1	1
276	2.5	0	3	2.81	1	1	2
281.001	2.5	0	3	2.88	6	1	1
286	2.5	0	3	2.89	6	1	2
291	2.5	0	3	2.6	11	2	1
296.001	2.5	0	3	2.79	11	2	2
301	2.5	0	3	2.84	5	1	1
306	2.5	0	3	2.86	5	1	2
321	2.5	1	0	0	6	1	1
326	2.5	0	3	2.57	6	1	2
331.001	2.5	0	3	2.56	3	1	1
336	2.5	0	3	2.67	3	1	2
341	2.5	0	3	3.07	4	1	1
346	2.5	0	3	2.6	4	1	2
351	2.5	0	3	2.53	5	1	1
356	2.5	0	3	2.85	5	1	2
361	2.5	0	3	2.7	8	2	1
366	2.5	0	3	2.78	8	2	2
371.001	2.5	0	3	2.59	10	2	1
376.001	2.5	0	3	2.77	10	2	2
381.001	2.5	0	3	2.91	12	2	1
386.001	2.5	0	3	3	12	2	2
401.001	2.5	0	3	2.74	11	2	1
406.001	2.5	0	3	3.04	11	2	2
