onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	2.152	RhymeSpell/mouth.WAV	RhymeSpell/youth.WAV
4.443	4.442	2	1	2.586	RhymeSpell/tone.WAV	RhymeSpell/known.WAV
8.885	4.443	5	1	1.181	Tones/675.WAV	Tones/600.WAV
13.328	4.443	0	1	1.34	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.771	4.443	3	1	1.237	RhymeSpell/pool.WAV	RhymeSpell/wool.WAV
22.214	4.443	0	1	1.423	Tones/nullsilence.WAV	Tones/nullsilence.WAV
26.657	4.443	5	1	0.895	Tones/600.WAV	Tones/600.WAV
31.1	4.442	5	1	1.111	Tones/325.WAV	Tones/325.WAV
35.542	4.443	1	1	1.068	RhymeSpell/meal.WAV	RhymeSpell/seal.WAV
39.985	4.443	0	1	1.889	Tones/nullsilence.WAV	Tones/nullsilence.WAV
44.428	4.443	3	1	1.01	RhymeSpell/low.WAV	RhymeSpell/vow.WAV
48.871	4.443	6	1	1.22	Tones/425600750.WAV	Tones/425600750.WAV
53.314	4.443	0	1	1.284	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.757	4.443	0	1	1.265	Tones/nullsilence.WAV	Tones/nullsilence.WAV
62.2	4.442	4	1	1.383	RhymeSpell/wrist.WAV	RhymeSpell/friend.WAV
66.642	4.443	4	1	1.002	RhymeSpell/halt.WAV	RhymeSpell/stain.WAV
71.085	4.443	0	1	1.923	Tones/nullsilence.WAV	Tones/nullsilence.WAV
75.528	4.443	6	1	1.242	Tones/550800525.WAV	Tones/550800600.WAV
79.971	4.443	6	0	1.053	Tones/350825400.WAV	Tones/425825400.WAV
84.414	4.443	0	1	1.388	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.857	4.442	1	1	1.653	RhymeSpell/cure.WAV	RhymeSpell/sure.WAV
93.299	4.443	2	1	1.428	RhymeSpell/sleek.WAV	RhymeSpell/speak.WAV
97.742	4.443	0	1	1.136	Tones/nullsilence.WAV	Tones/nullsilence.WAV
102.185	4.443	4	1	1.22	RhymeSpell/trust.WAV	RhymeSpell/chalk.WAV
106.628	4.443	2	1	1.881	RhymeSpell/street.WAV	RhymeSpell/wheat.WAV
111.071	4.443	0	1	1.247	Tones/nullsilence.WAV	Tones/nullsilence.WAV
115.514	4.442	6	1	1.03	Tones/650475300.WAV	Tones/650475300.WAV
119.956	4.443	6	0	1.665	Tones/425675500.WAV	Tones/425750500.WAV
124.399	4.443	0	1	1.656	Tones/nullsilence.WAV	Tones/nullsilence.WAV
128.842	4.443	5	1	2.232	Tones/350.WAV	Tones/425.WAV
133.285	4.443	0	1	1.372	Tones/nullsilence.WAV	Tones/nullsilence.WAV
137.728	4.443	2	1	1.143	RhymeSpell/rear.WAV	RhymeSpell/mere.WAV
142.171	4.443	1	1	0.963	RhymeSpell/crown.WAV	RhymeSpell/town.WAV
146.614	4.442	3	1	1.179	RhymeSpell/sword.WAV	RhymeSpell/word.WAV
151.056	4.443	6	1	1.463	Tones/875575325.WAV	Tones/875575400.WAV
155.499	4.443	3	1	1.654	RhymeSpell/head.WAV	RhymeSpell/bead.WAV
159.942	4.443	0	1	1.283	Tones/nullsilence.WAV	Tones/nullsilence.WAV
164.385	4.443	5	1	1.009	Tones/850.WAV	Tones/850.WAV
168.828	4.443	0	1	2.269	Tones/nullsilence.WAV	Tones/nullsilence.WAV
173.271	4.442	6	0	1.037	Tones/725400775.WAV	Tones/650400775.WAV
177.713	4.443	2	1	1.076	RhymeSpell/size.WAV	RhymeSpell/wise.WAV
182.156	4.443	4	1	2.184	RhymeSpell/clash.WAV	RhymeSpell/worse.WAV
186.599	4.443	5	1	1.507	Tones/775.WAV	Tones/700.WAV
191.042	4.443	0	1	2.437	Tones/nullsilence.WAV	Tones/nullsilence.WAV
195.485	4.443	0	1	1.524	Tones/nullsilence.WAV	Tones/nullsilence.WAV
199.928	4.442	4	1	1.418	RhymeSpell/loose.WAV	RhymeSpell/drew.WAV
204.37	4.443	0	1	1.756	Tones/nullsilence.WAV	Tones/nullsilence.WAV
208.813	4.443	4	1	2.429	RhymeSpell/yeast.WAV	RhymeSpell/tooth.WAV
213.256	4.443	0	1	1.698	Tones/nullsilence.WAV	Tones/nullsilence.WAV
217.699	4.443	3	1	1.31	RhymeSpell/shove.WAV	RhymeSpell/wove.WAV
222.142	4.443	5	1	1.525	Tones/625.WAV	Tones/625.WAV
226.585	4.442	2	1	1.523	RhymeSpell/chair.WAV	RhymeSpell/scare.WAV
231.027	4.443	0	1	1.638	Tones/nullsilence.WAV	Tones/nullsilence.WAV
235.47	4.443	1	1	1.006	RhymeSpell/dad.WAV	RhymeSpell/sad.WAV
239.913	4.443	0	1	1.493	Tones/nullsilence.WAV	Tones/nullsilence.WAV
244.356	4.443	4	0	n/a	RhymeSpell/beef.WAV	RhymeSpell/keep.WAV
248.799	4.443	3	1	1.4	RhymeSpell/broad.WAV	RhymeSpell/toad.WAV
253.242	4.443	0	1	2.488	Tones/nullsilence.WAV	Tones/nullsilence.WAV
257.685	4.442	0	1	1.243	Tones/nullsilence.WAV	Tones/nullsilence.WAV
262.127	4.443	4	1	1.296	RhymeSpell/rail.WAV	RhymeSpell/fast.WAV
266.57	4.443	0	1	1.519	Tones/nullsilence.WAV	Tones/nullsilence.WAV
271.013	4.443	1	1	1.666	RhymeSpell/leg.WAV	RhymeSpell/peg.WAV
275.456	4.443	1	1	1.249	RhymeSpell/mule.WAV	RhymeSpell/rule.WAV
279.899	4.443	6	1	0.989	Tones/325500725.WAV	Tones/325500725.WAV
284.342	4.442	6	1	1.352	Tones/625450850.WAV	Tones/625450775.WAV
288.784	4.443	0	1	1.24	Tones/nullsilence.WAV	Tones/nullsilence.WAV
293.227	4.443	4	1	0.985	RhymeSpell/storm.WAV	RhymeSpell/chose.WAV
297.67	4.443	0	1	1.265	Tones/nullsilence.WAV	Tones/nullsilence.WAV
302.113	4.443	2	1	2.045	RhymeSpell/prize.WAV	RhymeSpell/rise.WAV
306.556	4.443	0	1	1.353	Tones/nullsilence.WAV	Tones/nullsilence.WAV
310.999	4.442	1	1	1.335	RhymeSpell/fought.WAV	RhymeSpell/sought.WAV
315.441	4.443	4	1	2.558	RhymeSpell/wage.WAV	RhymeSpell/spice.WAV
319.884	4.443	1	1	1.115	RhymeSpell/beast.WAV	RhymeSpell/least.WAV
324.327	4.443	5	1	0.964	Tones/800.WAV	Tones/800.WAV
328.77	4.443	5	1	1.254	Tones/375.WAV	Tones/450.WAV
333.213	4.443	0	1	1.916	Tones/nullsilence.WAV	Tones/nullsilence.WAV
337.656	4.443	4	1	1.382	RhymeSpell/dome.WAV	RhymeSpell/fool.WAV
342.099	4.442	0	1	1.552	Tones/nullsilence.WAV	Tones/nullsilence.WAV
346.541	4.443	1	1	1.962	RhymeSpell/grant.WAV	RhymeSpell/slant.WAV
350.984	4.443	1	1	1.415	RhymeSpell/numb.WAV	RhymeSpell/thumb.WAV
355.427	4.443	1	1	1.99	RhymeSpell/chess.WAV	RhymeSpell/press.WAV
359.87	4.443	6	1	1.593	Tones/875675300.WAV	Tones/875675300.WAV
364.313	4.443	3	1	1.508	RhymeSpell/damp.WAV	RhymeSpell/swamp.WAV
368.756	4.442	2	1	1.246	RhymeSpell/true.WAV	RhymeSpell/grew.WAV
373.198	4.443	0	1	1.987	Tones/nullsilence.WAV	Tones/nullsilence.WAV
377.641	4.444	5	1	2.392	Tones/650.WAV	Tones/575.WAV
382.085	4.442	3	0	1.459	RhymeSpell/shown.WAV	RhymeSpell/clown.WAV
386.527	4.443	4	1	1.485	RhymeSpell/paint.WAV	RhymeSpell/sigh.WAV
390.97	4.443	1	1	1.382	RhymeSpell/stone.WAV	RhymeSpell/zone.WAV
395.413	4.442	0	1	1.301	Tones/nullsilence.WAV	Tones/nullsilence.WAV
399.855	4.443	6	1	2.472	Tones/375750475.WAV	Tones/375750475.WAV
404.298	4.443	0	1	2.184	Tones/nullsilence.WAV	Tones/nullsilence.WAV
408.741	4.443	0	1	1.503	Tones/nullsilence.WAV	Tones/nullsilence.WAV
413.184	4.443	2	1	1.068	RhymeSpell/spear.WAV	RhymeSpell/sphere.WAV
417.627	4.443	0	1	1.328	Tones/nullsilence.WAV	Tones/nullsilence.WAV
422.07	4.443	6	1	2.621	Tones/375800525.WAV	Tones/375800525.WAV
426.513	4.442	2	1	1.141	RhymeSpell/pro.WAV	RhymeSpell/mow.WAV
430.955	4.443	0	1	1.993	Tones/nullsilence.WAV	Tones/nullsilence.WAV
435.398	4.443	4	1	2.448	RhymeSpell/home.WAV	RhymeSpell/form.WAV
439.841	4.443	3	1	2.369	RhymeSpell/smooth.WAV	RhymeSpell/booth.WAV
444.284	4.443	0	1	2.156	Tones/nullsilence.WAV	Tones/nullsilence.WAV
448.727	4.443	1	1	1.526	RhymeSpell/grief.WAV	RhymeSpell/thief.WAV
453.17	4.442	2	1	2.779	RhymeSpell/top.WAV	RhymeSpell/swap.WAV
457.612	4.443	5	0	n/a	Tones/300.WAV	Tones/375.WAV
462.055	4.443	0	1	1.599	Tones/nullsilence.WAV	Tones/nullsilence.WAV
466.498	4.443	5	1	1.041	Tones/575.WAV	Tones/650.WAV
470.941	4.443	0	1	1.06	Tones/nullsilence.WAV	Tones/nullsilence.WAV
475.384	4.439	4	1	2.144	RhymeSpell/dream.WAV	RhymeSpell/blame.WAV
