onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	4	1	0.923	Symbols/z.bmp	Symbols/t1.bmp
4.443	4.443	2	1	1.39	Semantic/seafood.bmp	Semantic/shrimp2.bmp
8.886	4.443	0	1	1.363	Semantic/null.bmp	Semantic/null.bmp
13.329	4.442	4	1	1.352	Symbols/j.bmp	Symbols/o1.bmp
17.771	4.443	5	1	1.048	Symbols/odt.bmp	Symbols/odt2.bmp
22.214	4.443	0	1	1.657	Semantic/null.bmp	Semantic/null.bmp
26.657	4.443	5	1	1.721	Symbols/lfa.bmp	Symbols/lfa1.bmp
31.1	4.443	4	1	1.025	Symbols/b.bmp	Symbols/b2.bmp
35.543	4.443	4	1	1.024	Symbols/y.bmp	Symbols/y1.bmp
39.986	4.442	0	1	1.673	Semantic/null.bmp	Semantic/null.bmp
44.428	4.443	1	1	1.362	Semantic/noun.bmp	Semantic/verb2.bmp
48.871	4.443	2	0	2.16	Semantic/save.bmp	Semantic/keep1.bmp
53.314	4.443	0	1	2.453	Semantic/null.bmp	Semantic/null.bmp
57.757	4.443	3	1	1.568	Semantic/jewel.bmp	Semantic/moan2.bmp
62.2	4.443	5	0	1.984	Symbols/zti.bmp	Symbols/zvi1.bmp
66.643	4.442	1	1	1.13	Semantic/washer.bmp	Semantic/dryer2.bmp
71.085	4.443	0	1	1.338	Semantic/null.bmp	Semantic/null.bmp
75.528	4.443	1	1	1.403	Semantic/sock.bmp	Semantic/shoe1.bmp
79.971	4.443	0	1	2.002	Semantic/null.bmp	Semantic/null.bmp
84.414	4.443	1	1	1.769	Semantic/touch.bmp	Semantic/feel1.bmp
88.857	4.443	0	0	n/a	Semantic/null.bmp	Semantic/null.bmp
93.3	4.443	2	1	2.624	Semantic/glue.bmp	Semantic/sticky1.bmp
97.743	4.442	0	1	1.471	Semantic/null.bmp	Semantic/null.bmp
102.185	4.443	1	1	1.123	Semantic/yell.bmp	Semantic/scream2.bmp
106.628	4.443	0	1	1.423	Semantic/null.bmp	Semantic/null.bmp
111.071	4.443	2	1	1.401	Semantic/temper.bmp	Semantic/tantrum2.bmp
115.514	4.443	2	1	1.649	Semantic/cheese.bmp	Semantic/cracker2.bmp
119.957	4.443	0	1	1.597	Semantic/null.bmp	Semantic/null.bmp
124.4	4.442	3	1	3.035	Semantic/rubber.bmp	Semantic/straw1.bmp
128.842	4.443	0	1	2.829	Semantic/null.bmp	Semantic/null.bmp
133.285	4.443	4	1	0.901	Symbols/a.bmp	Symbols/a1.bmp
137.728	4.443	0	1	1.748	Semantic/null.bmp	Semantic/null.bmp
142.171	4.443	1	1	1.445	Semantic/winner.bmp	Semantic/loser1.bmp
146.614	4.443	1	1	1.52	Semantic/start.bmp	Semantic/finish1.bmp
151.057	4.443	2	1	1.351	Semantic/children.bmp	Semantic/kids1.bmp
155.5	4.442	0	1	2.37	Semantic/null.bmp	Semantic/null.bmp
159.942	4.443	1	1	1.403	Semantic/question.bmp	Semantic/answer1.bmp
164.385	4.443	0	1	1.527	Semantic/null.bmp	Semantic/null.bmp
168.828	4.443	3	1	1.681	Semantic/stream.bmp	Semantic/rear1.bmp
173.271	4.443	0	1	2.391	Semantic/null.bmp	Semantic/null.bmp
177.714	4.443	3	1	1.418	Semantic/hearing.bmp	Semantic/bottle2.bmp
182.157	4.442	0	1	1.821	Semantic/null.bmp	Semantic/null.bmp
186.599	4.443	1	1	1.559	Semantic/above.bmp	Semantic/below1.bmp
191.042	4.443	4	1	1.249	Symbols/e.bmp	Symbols/e1.bmp
195.485	4.443	0	1	1.933	Semantic/null.bmp	Semantic/null.bmp
199.928	4.443	1	1	1.656	Semantic/circus.bmp	Semantic/clown1.bmp
204.371	4.443	4	1	1.774	Symbols/f.bmp	Symbols/f1.bmp
208.814	4.442	3	1	1.647	Semantic/rich.bmp	Semantic/pointed1.bmp
213.256	4.443	0	1	1.879	Semantic/null.bmp	Semantic/null.bmp
217.699	4.443	5	1	0.845	Symbols/drp.bmp	Symbols/drn1.bmp
222.142	4.443	0	1	1.34	Semantic/null.bmp	Semantic/null.bmp
226.585	4.443	4	1	0.835	Symbols/o.bmp	Symbols/d1.bmp
231.028	4.443	1	1	1.876	Semantic/mitten.bmp	Semantic/glove2.bmp
235.471	4.443	2	1	1.752	Semantic/silent.bmp	Semantic/quiet2.bmp
239.914	4.442	3	1	1.553	Semantic/towel.bmp	Semantic/puppet1.bmp
244.356	4.443	1	1	1.256	Semantic/syrup.bmp	Semantic/pancakes2.bmp
248.799	4.443	0	1	2.248	Semantic/null.bmp	Semantic/null.bmp
253.242	4.443	3	1	1.492	Semantic/upper.bmp	Semantic/broke1.bmp
257.685	4.443	2	1	1.54	Semantic/lobster.bmp	Semantic/crab1.bmp
262.128	4.443	0	1	1.419	Semantic/null.bmp	Semantic/null.bmp
266.571	4.442	0	1	1.397	Semantic/null.bmp	Semantic/null.bmp
271.013	4.443	3	1	1.873	Semantic/ranch.bmp	Semantic/chin1.bmp
