onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	1.097	RhymeSpell/stroll.bmp	RhymeSpell/bowl1.bmp
4.443	4.443	2	1	1.556	RhymeSpell/shed.bmp	RhymeSpell/tread1.bmp
8.886	4.443	0	1	1.318	RhymeSpell/null.bmp	RhymeSpell/null.bmp
13.329	4.442	3	1	1.809	RhymeSpell/cove.bmp	RhymeSpell/prove2.bmp
17.771	4.443	0	1	1.39	RhymeSpell/null.bmp	RhymeSpell/null.bmp
22.214	4.443	3	0	1.765	RhymeSpell/climb.bmp	RhymeSpell/limb1.bmp
26.657	4.443	5	1	1.046	Symbols/m.bmp	Symbols/m2.bmp
31.1	4.443	1	1	1.521	RhymeSpell/class.bmp	RhymeSpell/mass2.bmp
35.543	4.443	0	1	1.356	RhymeSpell/null.bmp	RhymeSpell/null.bmp
39.986	4.443	1	1	1.252	RhymeSpell/brain.bmp	RhymeSpell/train2.bmp
44.429	4.442	4	1	1.668	RhymeSpell/norm.bmp	RhymeSpell/group1.bmp
48.871	4.443	2	1	1.22	RhymeSpell/caught.bmp	RhymeSpell/bought2.bmp
53.314	4.443	2	1	1.292	RhymeSpell/putt.bmp	RhymeSpell/cut2.bmp
57.757	4.443	0	1	1.405	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	1	1	2.843	RhymeSpell/nod.bmp	RhymeSpell/rod1.bmp
66.643	4.443	0	1	1.305	RhymeSpell/null.bmp	RhymeSpell/null.bmp
71.086	4.442	5	1	1.527	Symbols/z.bmp	Symbols/t1.bmp
75.528	4.443	0	1	1.612	RhymeSpell/null.bmp	RhymeSpell/null.bmp
79.971	4.443	3	1	1.345	RhymeSpell/hatch.bmp	RhymeSpell/watch2.bmp
84.414	4.443	6	1	0.986	Symbols/lfa.bmp	Symbols/lfa1.bmp
88.857	4.443	1	1	1.453	RhymeSpell/mark.bmp	RhymeSpell/park1.bmp
93.3	4.443	0	1	1.468	RhymeSpell/null.bmp	RhymeSpell/null.bmp
97.743	4.442	5	1	1.807	Symbols/j.bmp	Symbols/o1.bmp
102.185	4.443	5	1	0.93	Symbols/b.bmp	Symbols/b2.bmp
106.628	4.443	2	1	1.403	RhymeSpell/stuff.bmp	RhymeSpell/rough1.bmp
