onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	2.181	RhymeSpell/crawl.bmp	RhymeSpell/ball1.bmp
4.443	4.443	2	1	1.191	RhymeSpell/moan.bmp	RhymeSpell/bone1.bmp
8.886	4.443	0	1	1.236	RhymeSpell/null.bmp	RhymeSpell/null.bmp
13.329	4.443	3	1	1.252	RhymeSpell/harm.bmp	RhymeSpell/warm2.bmp
17.772	4.443	0	1	1.368	RhymeSpell/null.bmp	RhymeSpell/null.bmp
22.215	4.443	3	1	1.255	RhymeSpell/dull.bmp	RhymeSpell/pull2.bmp
26.658	4.442	5	1	0.934	Symbols/m.bmp	Symbols/m2.bmp
31.1	4.443	1	1	1.41	RhymeSpell/dime.bmp	RhymeSpell/lime1.bmp
35.543	4.443	0	1	1.242	RhymeSpell/null.bmp	RhymeSpell/null.bmp
39.986	4.443	1	1	2.879	RhymeSpell/thread.bmp	RhymeSpell/dread2.bmp
44.429	4.443	4	1	1.516	RhymeSpell/dash.bmp	RhymeSpell/brow1.bmp
48.872	4.443	2	0	1.242	RhymeSpell/though.bmp	RhymeSpell/blow2.bmp
53.315	4.442	2	1	1.29	RhymeSpell/greet.bmp	RhymeSpell/neat1.bmp
57.757	4.443	0	1	1.271	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	1	1	2.338	RhymeSpell/mad.bmp	RhymeSpell/pad2.bmp
66.643	4.443	0	1	1.182	RhymeSpell/null.bmp	RhymeSpell/null.bmp
71.086	4.443	5	1	1.026	Symbols/z.bmp	Symbols/t1.bmp
75.529	4.443	0	1	1.458	RhymeSpell/null.bmp	RhymeSpell/null.bmp
79.972	4.443	3	1	1.432	RhymeSpell/tough.bmp	RhymeSpell/cough2.bmp
84.415	4.442	6	1	1.331	Symbols/lfa.bmp	Symbols/lfa1.bmp
88.857	4.443	1	1	1.285	RhymeSpell/drum.bmp	RhymeSpell/gum1.bmp
93.3	4.443	0	1	1.41	RhymeSpell/null.bmp	RhymeSpell/null.bmp
97.743	4.443	5	1	1.37	Symbols/j.bmp	Symbols/o1.bmp
102.186	4.443	5	1	1.208	Symbols/b.bmp	Symbols/b2.bmp
106.629	4.443	2	1	1.908	RhymeSpell/comb.bmp	RhymeSpell/chrome2.bmp
111.072	4.442	0	1	1.354	RhymeSpell/null.bmp	RhymeSpell/null.bmp
