onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.06389999999998963	0.3	il	1	18.4	sentence	1
0.3470999999999975	0.3	cherche	1	18.4	sentence	2
0.7468999999999966	0.3	à	1	18.4	sentence	3
1.1466999999999956	0.3	joindre	1	18.4	sentence	4
1.5464999999999947	0.3	le	1	18.4	sentence	5
1.9462999999999937	0.3	curé	1	18.4	sentence	6
2.346199999999996	0.3	de	1	18.4	sentence	7
2.745999999999995	0.3	la	1	18.4	sentence	8
3.145799999999994	0.3	paroisse	1	18.4	sentence	9
3.545599999999993	0.3	de	1	18.4	sentence	10
3.9454999999999956	0.3	son	1	18.4	sentence	11
4.345299999999995	0.3	parrain	1	18.4	sentence	12
4.745099999999994	2.0	+	1	18.4	sentence	13
6.744199999999992	0.3	le	1	18.4	sentence	14
7.143999999999991	0.3	vacancier	1	18.4	sentence	15
7.543899999999994	0.3	écoute	1	18.4	sentence	16
7.943699999999993	0.3	le	1	18.4	sentence	17
8.343499999999992	0.3	bruit	1	18.4	sentence	18
8.74329999999999	0.3	des	1	18.4	sentence	19
9.14309999999999	0.3	vagues	1	18.4	sentence	20
9.542999999999992	0.3	qui	1	18.4	sentence	21
9.942799999999991	0.3	déferlent	1	18.4	sentence	22
10.34259999999999	0.3	sur	1	18.4	sentence	23
10.74239999999999	0.3	le	1	18.4	sentence	24
11.142199999999988	0.3	rivage	1	18.4	sentence	25
11.54209999999999	2.0	+	1	18.4	sentence	26
13.54119999999999	0.3	elle	1	18.4	sentence	27
13.940999999999988	0.3	a	1	18.4	sentence	28
14.340800000000002	0.3	brûlé	1	18.4	sentence	29
14.7406	0.3	toutes	1	18.4	sentence	30
15.140499999999989	0.3	les	1	18.4	sentence	31
15.540300000000002	0.3	lettres	1	18.4	sentence	32
15.940100000000001	0.3	de	1	18.4	sentence	33
16.3399	0.3	son	1	18.4	sentence	34
16.7397	0.3	ancien	1	18.4	sentence	35
17.1396	0.3	fiancé	1	18.4	sentence	36
17.5394	0.3	trop	1	18.4	sentence	37
17.9392	0.3	infidèle	1	18.4	sentence	38
18.339	2.0	+	1	18.4	sentence	39
20.338099999999997	8.0	+	1	18.4	sentence	40
28.534499999999994	0.3	us	2	18.4	pseudo	1
28.950999999999993	0.3	paunais	2	18.4	pseudo	2
29.350799999999992	0.3	boq	2	18.4	pseudo	3
29.75059999999999	0.3	los	2	18.4	pseudo	4
30.15039999999999	0.3	scrym	2	18.4	pseudo	5
30.55019999999999	0.3	tis	2	18.4	pseudo	6
30.950099999999992	0.3	reles	2	18.4	pseudo	7
31.34989999999999	0.3	gi	2	18.4	pseudo	8
31.74969999999999	0.3	ze	2	18.4	pseudo	9
32.14949999999999	0.3	afval	2	18.4	pseudo	10
32.54939999999999	0.3	crop	2	18.4	pseudo	11
32.94919999999999	0.3	acges	2	18.4	pseudo	12
33.34899999999999	0.3	cliquez	2	18.4	pseudo	13
34.3652	2.0	+	2	18.4	pseudo	14
35.34809999999999	0.3	sow	2	18.4	pseudo	15
35.69789999999999	0.3	ipé	2	18.4	pseudo	16
36.09779999999999	0.3	culployer	2	18.4	pseudo	17
36.49759999999999	0.3	kai	2	18.4	pseudo	18
36.89739999999999	0.3	indain	2	18.4	pseudo	19
37.29719999999999	0.3	um	2	18.4	pseudo	20
37.69709999999999	0.3	briponmisi	2	18.4	pseudo	21
38.09689999999999	0.3	mégusais	2	18.4	pseudo	22
38.49669999999999	0.3	zà	2	18.4	pseudo	23
38.89649999999999	0.3	rentofla	2	18.4	pseudo	24
39.29629999999999	0.3	guèque	2	18.4	pseudo	25
39.69619999999999	0.3	mébant	2	18.4	pseudo	26
40.09599999999999	2.0	+	2	18.4	pseudo	27
42.09509999999999	0.3	gû	2	18.4	pseudo	28
42.4949	0.3	gnarc	2	18.4	pseudo	29
42.8947	0.3	gû	2	18.4	pseudo	30
43.2945	0.3	voyapadi	2	18.4	pseudo	31
43.6944	0.3	ar	2	18.4	pseudo	32
44.0942	0.3	zû	2	18.4	pseudo	33
44.494	0.3	décarmi	2	18.4	pseudo	34
44.8938	0.3	i	2	18.4	pseudo	35
45.2937	0.3	ko	2	18.4	pseudo	36
45.6935	0.3	trissenvait	2	18.4	pseudo	37
46.0933	0.3	stas	2	18.4	pseudo	38
46.4931	0.3	sphegs	2	18.4	pseudo	39
46.8929	2.0	+	2	18.4	pseudo	40
48.892099999999985	8.0	+	2	18.4	pseudo	41
57.138400000000004	0.3	le	3	18.4	sentence	1
57.55489999999999	0.3	passant	3	18.4	sentence	2
57.938	0.3	examine	3	18.4	sentence	3
58.3378	0.3	le	3	18.4	sentence	4
58.737700000000004	0.3	luxueux	3	18.4	sentence	5
59.1375	0.3	canapé	3	18.4	sentence	6
59.5373	0.3	abandonné	3	18.4	sentence	7
59.9371	0.3	sur	3	18.4	sentence	8
60.3369	0.3	le	3	18.4	sentence	9
60.7368	0.3	bord	3	18.4	sentence	10
61.153199999999984	0.3	du	3	18.4	sentence	11
61.5364	0.3	trottoir	3	18.4	sentence	12
61.9362	2.0	+	3	18.4	sentence	13
63.9353	0.3	la	3	18.4	sentence	14
64.35179999999998	0.3	petite	3	18.4	sentence	15
64.735	0.3	regarde	3	18.4	sentence	16
65.1348	0.3	comment	3	18.4	sentence	17
65.55129999999998	0.3	son	3	18.4	sentence	18
65.95109999999998	0.3	père	3	18.4	sentence	19
66.35089999999998	0.3	grille	3	18.4	sentence	20
66.75070000000001	0.3	les	3	18.4	sentence	21
67.15059999999998	0.3	épis	3	18.4	sentence	22
67.55039999999998	0.3	de	3	18.4	sentence	23
67.95019999999998	0.3	maïs	3	18.4	sentence	24
68.35000000000001	0.3	mur	3	18.4	sentence	25
68.74989999999998	2.0	+	3	18.4	sentence	26
70.74899999999998	0.3	le	3	18.4	sentence	27
71.14880000000001	0.3	promeneur	3	18.4	sentence	28
71.54860000000001	0.3	lâche	3	18.4	sentence	29
71.9484	0.3	la	3	18.4	sentence	30
72.34830000000001	0.3	laisse	3	18.4	sentence	31
72.74810000000001	0.3	de	3	18.4	sentence	32
73.1479	0.3	son	3	18.4	sentence	33
73.5477	0.3	chien	3	18.4	sentence	34
73.9475	0.3	qui	3	18.4	sentence	35
74.34740000000001	0.3	aboie	3	18.4	sentence	36
74.7472	0.3	sans	3	18.4	sentence	37
75.147	0.3	arrêt	3	18.4	sentence	38
