onset	duration	conditions
7596	2000	local congruent
12378	2000	local incongruent
19142	2000	global congruent
23890	2000	local incongruent
30620	2000	global congruent
34351	2000	global incongruent
41015	2000	local incongruent
46779	2000	global incongruent
52527	2000	global incongruent
56275	2000	global congruent
61056	2000	local congruent
65821	2000	local incongruent
71585	2000	local incongruent
77316	2000	global congruent
84046	2000	global incongruent
89794	2000	global congruent
93559	2000	local incongruent
99289	2000	local incongruent
106053	2000	local congruent
112817	2000	local congruent
116599	2000	global congruent
123362	2000	local incongruent
128110	2000	global incongruent
133857	2000	local congruent
138622	2000	local congruent
144436	2000	local congruent
150217	2000	global incongruent
154982	2000	global congruent
158730	2000	local incongruent
162545	2000	global incongruent
168309	2000	global congruent
175123	2000	local congruent
179887	2000	global congruent
183619	2000	local incongruent
190366	2000	global incongruent
195097	2000	global incongruent
198878	2000	local congruent
202510	2000	global incongruent
208241	2000	local congruent
212989	2000	global incongruent
219753	2000	global congruent
224484	2000	global congruent
230281	2000	local incongruent
234963	2000	local congruent
241726	2000	local incongruent
248473	2000	global incongruent
252205	2000	global congruent
255937	2000	local congruent
